id,year_joined,start_month,recruitment_channel,awards,fte
74,2010.0,4,Job Boards,3,1
75,2006.0,12,Referred by employees,5,1
76,2010.0,4,Job Boards,0,1
77,2006.0,10,Job Boards,5,0.5
78,2008.0,3,Job Boards,2,1
79,2011.0,2,Referred by employees,5,0.25
80,2007.0,5,Job Boards,3,0.5
81,2016.0,9,Referred by employees,3,1
82,2009.0,5,Referred by employees,2,1
83,2013.0,12,Job Boards,2,1
84,2010.0,8,Job Boards,4,1
85,2005.0,8,Referred by employees,5,1
86,2012.0,6,Job Boards,2,1
87,2006.0,5,Job Boards,5,0.5
88,2010.0,1,Referred by employees,2,1
89,2009.0,3,Job Boards,5,1
90,2008.0,12,Career Site,5,1
91,2006.0,4,Referred by employees,1,1
92,2013.0,12,Career Site,2,1
93,2012.0,5,Referred by employees,3,1
94,2013.0,5,Career Site,0,1
95,2011.0,6,Job Boards,4,1
96,2011.0,7,Job Boards,2,0.5
97,2010.0,8,Job Boards,0,1
98,2015.0,12,Career Site,5,1
99,2011.0,3,Career Site,1,1
100,2015.0,7,Job Boards,5,0.25
101,2012.0,12,Job Boards,3,1
102,2014.0,12,Job Boards,5,1
103,2008.0,3,Job Boards,5,1
104,2013.0,12,Referred by employees,0,1
105,2010.0,8,Career Site,5,1
106,2016.0,1,Referred by employees,2,1
107,2012.0,9,Referred by employees,1,1
108,2011.0,10,Career Site,2,1
109,2015.0,7,Career Site,4,1
110,2005.0,2,Career Site,4,1
111,2015.0,8,Career Site,3,1
112,2009.0,12,Job Boards,0,1
113,2011.0,10,Job Boards,1,0.5
114,2010.0,1,Referred by employees,2,1
115,2011.0,9,Career Site,1,1
116,2013.0,12,Referred by employees,5,1
117,2012.0,10,Job Boards,5,1
118,2012.0,5,Job Boards,0,1
119,2016.0,11,Job Boards,5,1
120,2016.0,9,Job Boards,4,1
121,2015.0,10,Career Site,5,0.5
122,2008.0,1,Job Boards,3,0.5
123,2017.0,1,Referred by employees,2,0.5
124,2014.0,8,Career Site,5,1
125,2011.0,1,Job Boards,3,0.5
126,2010.0,2,Referred by employees,2,0.25
127,2009.0,8,Referred by employees,1,1
128,2012.0,12,Job Boards,3,1
129,2012.0,9,Career Site,0,1
130,2011.0,4,Referred by employees,3,1
131,2009.0,10,Career Site,1,1
132,2015.0,12,Job Boards,1,1
133,2011.0,11,Referred by employees,1,0.5
134,2005.0,7,Career Site,1,1
135,2011.0,4,Job Boards,0,0.5
136,2009.0,2,Career Site,1,0.5
137,2011.0,9,Job Boards,1,1
138,2011.0,7,Career Site,3,0.5
139,2015.0,8,Job Boards,5,1
140,2014.0,11,Referred by employees,2,1
141,2014.0,3,Career Site,5,1
142,2012.0,6,Referred by employees,1,0.5
143,2010.0,1,Referred by employees,5,1
144,2010.0,4,Job Boards,1,0.5
145,2015.0,2,Referred by employees,1,1
146,2011.0,8,Referred by employees,3,1
147,2017.0,3,Career Site,3,1
148,2010.0,6,Referred by employees,3,1
149,2012.0,2,Job Boards,1,0.5
150,2006.0,8,Career Site,3,1
151,2014.0,4,Job Boards,3,1
152,2006.0,4,Referred by employees,3,0.5
153,2011.0,11,Job Boards,3,1
154,2010.0,7,Job Boards,2,1
155,2010.0,2,Job Boards,3,1
156,2011.0,1,Career Site,5,1
157,2014.0,12,Referred by employees,2,1
158,2013.0,5,Job Boards,5,1
159,2008.0,9,Job Boards,1,1
160,2010.0,12,Referred by employees,4,1
161,2013.0,12,Job Boards,3,0.5
162,2010.0,2,Job Boards,1,1
163,2015.0,2,Referred by employees,5,1
164,2010.0,8,Job Boards,1,1
165,2008.0,9,Career Site,4,1
166,2012.0,4,Referred by employees,2,0.5
167,2011.0,3,Job Boards,4,1
168,2011.0,4,Career Site,4,0.5
169,2008.0,4,Career Site,3,0.5
170,2008.0,2,Career Site,0,1
171,2012.0,12,Job Boards,4,1
172,2010.0,8,Referred by employees,2,1
173,2011.0,7,Career Site,3,1
174,2011.0,12,Referred by employees,2,1
175,2014.0,9,Referred by employees,1,1
176,2011.0,11,Referred by employees,1,0.5
177,2011.0,11,Job Boards,2,1
178,2011.0,8,Job Boards,5,1
179,2014.0,9,Referred by employees,2,1
180,2014.0,12,Referred by employees,5,1
181,2008.0,7,Career Site,5,1
182,2008.0,12,Referred by employees,5,0.25
183,2016.0,7,Job Boards,1,1
184,2014.0,4,Career Site,1,1
185,2012.0,12,Career Site,5,1
186,2016.0,4,Referred by employees,3,1
187,2015.0,7,Referred by employees,0,1
188,2009.0,11,Referred by employees,1,1
189,2009.0,5,Referred by employees,3,1
190,2007.0,1,Referred by employees,1,1
191,2016.0,10,Job Boards,1,1
192,2006.0,3,Referred by employees,5,0.5
193,2010.0,2,Career Site,4,1
194,2014.0,7,Job Boards,1,1
195,2011.0,9,Referred by employees,2,1
196,2016.0,7,Job Boards,4,1
197,2015.0,6,Career Site,5,1
198,2012.0,2,Job Boards,1,1
199,2011.0,6,Career Site,0,1
200,2016.0,7,Job Boards,1,1
201,2014.0,9,Career Site,3,0.5
202,2007.0,4,Job Boards,0,0.5
203,2011.0,1,Referred by employees,4,1
204,2010.0,6,Job Boards,4,1
205,2011.0,5,Job Boards,5,1
206,2016.0,10,Career Site,1,1
207,2012.0,4,Career Site,5,1
208,2010.0,2,Referred by employees,2,1
209,2012.0,10,Job Boards,5,1
210,2010.0,7,Referred by employees,0,1
211,2008.0,8,Referred by employees,5,1
212,2012.0,12,Job Boards,3,1
213,2015.0,8,Job Boards,5,0.5
214,2007.0,8,Career Site,2,1
215,2010.0,8,Career Site,1,1
216,2013.0,7,Job Boards,3,1
217,2016.0,7,Referred by employees,5,1
218,2013.0,12,Career Site,1,1
219,2017.0,12,Job Boards,5,1
220,2010.0,5,Career Site,3,1
221,2016.0,6,Job Boards,3,1
222,2010.0,8,Career Site,4,1
223,2011.0,1,Job Boards,5,0.5
224,2011.0,7,Job Boards,1,1
225,2014.0,8,Referred by employees,4,1
226,2009.0,11,Job Boards,2,1
227,2014.0,9,Referred by employees,0,1
228,2013.0,3,Job Boards,1,1
229,2007.0,4,Referred by employees,2,1
230,2013.0,11,Referred by employees,4,1
231,2007.0,10,Referred by employees,0,0.5
232,2012.0,3,Career Site,1,1
233,2009.0,3,Referred by employees,2,1
234,2017.0,7,Referred by employees,0,1
235,2016.0,10,Career Site,5,0.5
236,2007.0,6,Job Boards,0,0.5
237,2011.0,5,Career Site,0,1
238,2011.0,11,Referred by employees,3,0.5
239,2015.0,1,Referred by employees,1,1
240,2015.0,3,Job Boards,4,1
241,2013.0,4,Referred by employees,2,0.25
242,2014.0,1,Job Boards,2,0.5
243,2009.0,6,Referred by employees,0,1
244,2015.0,11,Referred by employees,3,0.5
245,2011.0,3,Career Site,5,1
246,2011.0,7,Referred by employees,2,1
247,2016.0,8,Job Boards,4,1
248,2012.0,3,Job Boards,4,1
249,2012.0,6,Career Site,4,1
250,2017.0,9,Job Boards,2,0.25
251,2012.0,9,Referred by employees,5,1
252,2008.0,10,Career Site,0,1
253,2011.0,12,Referred by employees,5,1
254,2012.0,8,Referred by employees,5,1
255,2012.0,9,Referred by employees,0,1
256,2019.0,7,Job Boards,0,1
257,2016.0,7,Job Boards,5,1
258,2009.0,3,Career Site,4,1
259,2014.0,12,Career Site,5,1
260,2010.0,4,Career Site,2,0.5
261,2011.0,8,Career Site,5,1
262,2012.0,1,Job Boards,0,1
263,2012.0,9,Career Site,3,1
264,2012.0,6,Career Site,5,1
265,2014.0,12,Career Site,3,1
266,2014.0,12,Referred by employees,3,1
267,2012.0,2,Job Boards,5,1
268,2011.0,6,Career Site,1,0.5
269,2012.0,10,Career Site,1,1
270,2014.0,7,Career Site,2,1
271,2014.0,7,Referred by employees,5,1
272,2011.0,5,Referred by employees,0,1
273,2016.0,5,Referred by employees,3,1
274,2011.0,12,Job Boards,4,1
275,2010.0,9,Referred by employees,0,0.5
276,2016.0,8,Job Boards,1,1
277,2009.0,7,Referred by employees,3,1
278,2012.0,7,Career Site,0,1
279,2011.0,11,Referred by employees,1,0.5
280,2015.0,4,Job Boards,5,1
281,2006.0,8,Career Site,5,0.5
282,2007.0,12,Job Boards,0,1
283,2010.0,4,Career Site,3,1
284,2016.0,6,Job Boards,2,1
285,2016.0,1,Career Site,4,1
286,2016.0,5,Career Site,4,1
287,2008.0,9,Job Boards,2,1
288,2013.0,8,Career Site,4,0.5
289,2015.0,6,Career Site,5,0.5
290,2013.0,5,Referred by employees,0,1
291,2008.0,5,Job Boards,0,1
292,2011.0,11,Referred by employees,4,1
293,2012.0,8,Job Boards,4,1
294,2009.0,12,Referred by employees,5,1
295,2012.0,4,Job Boards,3,1
296,2013.0,5,Career Site,4,1
297,2015.0,2,Referred by employees,4,1
298,2010.0,7,Referred by employees,3,1
299,2015.0,12,Career Site,0,1
300,2012.0,4,Referred by employees,2,1
301,2010.0,12,Job Boards,0,1
302,2016.0,3,Referred by employees,0,0.5
303,2009.0,12,Referred by employees,1,1
304,2009.0,11,Referred by employees,0,0.5
305,2009.0,12,Career Site,2,1
306,2015.0,9,Job Boards,0,0.5
307,2010.0,4,Referred by employees,5,1
308,2012.0,1,Job Boards,3,1
309,2013.0,12,Referred by employees,0,1
310,2010.0,12,Career Site,5,1
311,2015.0,11,Referred by employees,5,1
312,2009.0,6,Career Site,1,1
313,2009.0,9,Referred by employees,3,1
314,2011.0,6,Career Site,1,1
315,2010.0,7,Referred by employees,5,1
316,2011.0,7,Career Site,1,1
317,2010.0,6,Career Site,1,1
318,2010.0,5,Career Site,0,1
319,2014.0,3,Referred by employees,0,1
320,2009.0,1,Referred by employees,4,1
321,2011.0,8,Referred by employees,1,1
322,2011.0,8,Job Boards,2,1
323,2013.0,5,Referred by employees,4,1
324,2016.0,8,Referred by employees,0,1
325,2009.0,5,Job Boards,3,1
326,2010.0,2,Career Site,3,1
327,2005.0,9,Job Boards,4,0.25
328,2013.0,8,Career Site,5,1
329,2009.0,11,Job Boards,0,1
330,2014.0,4,Referred by employees,2,0.25
331,2007.0,9,Referred by employees,5,0.5
332,2014.0,12,Referred by employees,0,0.25
333,2017.0,9,Referred by employees,0,1
334,2015.0,9,Career Site,0,1
335,2011.0,5,Career Site,0,1
336,2013.0,5,Job Boards,0,1
337,2012.0,5,Job Boards,0,0.5
338,2015.0,5,Referred by employees,1,1
339,2006.0,2,Job Boards,4,1
340,2009.0,4,Referred by employees,4,1
341,2012.0,10,Career Site,5,1
342,2014.0,6,Referred by employees,5,0.5
343,2013.0,2,Career Site,0,0.25
344,2011.0,12,Referred by employees,0,1
345,2012.0,4,Job Boards,2,1
346,2010.0,9,Job Boards,2,1
347,2009.0,11,Job Boards,5,1
348,2010.0,7,Job Boards,4,0.5
349,2012.0,2,Job Boards,1,0.5
350,2009.0,2,Career Site,2,1
351,2008.0,1,Referred by employees,3,1
352,2016.0,4,Referred by employees,4,1
353,2014.0,10,Referred by employees,3,1
354,2014.0,12,Referred by employees,4,0.5
355,2013.0,3,Referred by employees,1,0.25
356,2017.0,4,Referred by employees,1,1
357,2009.0,7,Job Boards,3,1
358,2006.0,5,Job Boards,2,1
359,2007.0,1,Job Boards,2,1
360,2008.0,4,Referred by employees,2,1
361,2015.0,12,Job Boards,3,1
362,2013.0,11,Referred by employees,1,1
363,2006.0,9,Referred by employees,2,1
364,2014.0,9,Career Site,4,1
365,2016.0,11,Career Site,2,0.5
366,2012.0,8,Referred by employees,5,1
367,2017.0,5,Career Site,4,1
368,2016.0,8,Referred by employees,1,1
369,2017.0,12,Referred by employees,0,1
370,2009.0,9,Referred by employees,0,1
371,2015.0,3,Career Site,3,1
372,2015.0,7,Job Boards,1,1
373,2017.0,4,Referred by employees,5,1
374,2017.0,4,Career Site,1,0.5
375,2017.0,4,Referred by employees,1,1
376,2011.0,1,Career Site,2,0.5
377,2012.0,10,Referred by employees,1,1
378,2011.0,9,Job Boards,1,1
379,2009.0,5,Referred by employees,4,0.5
380,2012.0,5,Referred by employees,0,0.25
381,2014.0,1,Job Boards,3,1
382,2015.0,12,Job Boards,4,1
383,2011.0,2,Job Boards,3,1
384,2011.0,9,Career Site,3,1
385,2015.0,10,Career Site,3,1
386,2005.0,2,Referred by employees,4,1
387,2012.0,2,Job Boards,3,1
388,2017.0,9,Job Boards,1,1
389,2011.0,8,Career Site,1,1
390,2015.0,8,Job Boards,2,0.5
391,2010.0,7,Referred by employees,3,1
392,2016.0,8,Referred by employees,1,1
393,2009.0,2,Job Boards,5,1
394,2012.0,8,Referred by employees,5,1
395,2008.0,12,Referred by employees,2,1
396,2011.0,4,Referred by employees,0,1
397,2011.0,3,Career Site,4,1
398,2012.0,9,Referred by employees,5,1
399,2005.0,9,Referred by employees,0,1
400,2012.0,3,Referred by employees,1,1
401,2017.0,9,Job Boards,5,1
402,2008.0,10,Career Site,2,1
403,2011.0,12,Job Boards,3,1
404,2011.0,12,Referred by employees,3,1
405,2017.0,9,Career Site,3,1
406,2012.0,9,Job Boards,1,1
407,2011.0,7,Job Boards,2,1
408,2010.0,3,Referred by employees,4,1
409,2010.0,5,Job Boards,3,1
410,2010.0,12,Job Boards,4,1
411,2012.0,4,Career Site,2,1
412,2011.0,11,Career Site,5,0.5
413,2017.0,3,Job Boards,3,1
414,2011.0,10,Referred by employees,3,0.25
415,2012.0,3,Career Site,0,1
416,2016.0,3,Career Site,0,1
417,2007.0,12,Referred by employees,1,1
418,2006.0,4,Referred by employees,3,1
419,2011.0,3,Job Boards,1,1
420,2006.0,8,Referred by employees,0,0.25
421,2012.0,7,Referred by employees,1,1
422,2013.0,6,Referred by employees,1,1
423,2007.0,10,Referred by employees,1,1
424,2010.0,5,Job Boards,4,0.5
425,2007.0,3,Job Boards,2,1
426,2012.0,12,Job Boards,3,1
427,2009.0,4,Referred by employees,4,0.5
428,2014.0,7,Career Site,0,1
429,2007.0,6,Career Site,1,1
430,2016.0,4,Career Site,5,1
431,2014.0,11,Referred by employees,3,1
432,2008.0,9,Job Boards,1,0.5
433,2009.0,1,Career Site,5,1
434,2012.0,9,Job Boards,0,1
435,2008.0,10,Referred by employees,1,0.5
436,2017.0,7,Career Site,5,1
437,2009.0,5,Career Site,4,0.5
438,2016.0,4,Referred by employees,2,1
439,2011.0,5,Career Site,1,1
440,2017.0,5,Job Boards,2,1
441,2011.0,10,Career Site,2,0.5
442,2010.0,7,Career Site,2,1
443,2010.0,2,Job Boards,0,0.5
444,2010.0,1,Referred by employees,0,1
445,2008.0,3,Referred by employees,4,1
446,2008.0,10,Job Boards,1,1
447,2007.0,1,Career Site,2,1
448,2011.0,2,Career Site,5,1
449,2009.0,10,Referred by employees,1,1
450,2007.0,2,Referred by employees,4,1
451,2011.0,2,Career Site,4,1
452,2015.0,4,Career Site,5,0.5
453,2009.0,3,Career Site,1,1
454,2014.0,4,Referred by employees,1,1
455,2014.0,4,Referred by employees,0,1
456,2010.0,1,Referred by employees,4,1
457,2010.0,4,Job Boards,2,1
458,2012.0,3,Job Boards,5,1
459,2014.0,12,Career Site,0,1
460,2007.0,4,Job Boards,5,1
461,2010.0,2,Referred by employees,5,1
462,2013.0,5,Referred by employees,0,1
463,2013.0,10,Job Boards,2,1
464,2009.0,7,Job Boards,1,1
465,2016.0,6,Job Boards,0,1
466,2011.0,8,Referred by employees,5,1
467,2015.0,7,Referred by employees,1,0.5
468,2011.0,9,Career Site,4,1
469,2016.0,9,Job Boards,0,1
470,2006.0,4,Job Boards,5,1
471,2009.0,4,Referred by employees,0,0.5
472,2011.0,7,Job Boards,4,1
473,2009.0,2,Job Boards,3,1
474,2009.0,12,Career Site,1,1
475,2010.0,8,Career Site,4,1
476,2010.0,5,Job Boards,0,0.5
477,2011.0,4,Career Site,1,1
478,2016.0,4,Career Site,3,1
479,2005.0,12,Job Boards,5,0.5
480,2010.0,10,Job Boards,5,1
481,2011.0,5,Career Site,4,0.5
482,2016.0,1,Career Site,0,0.5
483,2009.0,1,Career Site,2,1
484,2006.0,3,Referred by employees,5,1
485,2012.0,1,Job Boards,5,1
486,2011.0,2,Referred by employees,3,1
487,2013.0,3,Referred by employees,5,1
488,2011.0,5,Career Site,2,1
489,2010.0,9,Referred by employees,2,1
490,2010.0,4,Career Site,5,1
491,2006.0,7,Job Boards,3,1
492,2011.0,5,Career Site,4,1
493,2010.0,4,Job Boards,3,1
494,2010.0,7,Referred by employees,2,1
495,2016.0,10,Referred by employees,4,1
496,2010.0,9,Job Boards,2,1
497,2010.0,1,Job Boards,2,1
498,2016.0,11,Career Site,5,1
499,2006.0,7,Job Boards,1,1
500,2010.0,6,Career Site,1,1
501,2016.0,1,Job Boards,2,0.5
502,2012.0,9,Job Boards,2,1
503,2015.0,5,Career Site,1,0.5
504,2011.0,4,Career Site,0,1
505,2013.0,1,Referred by employees,0,1
506,2016.0,4,Referred by employees,4,0.5
507,2015.0,1,Job Boards,2,1
508,2011.0,6,Job Boards,1,0.5
509,2009.0,8,Job Boards,4,0.5
510,2015.0,5,Job Boards,3,1
511,2011.0,7,Career Site,0,0.5
512,2006.0,9,Job Boards,5,1
513,2006.0,8,Referred by employees,1,1
514,2016.0,9,Career Site,5,1
515,2013.0,12,Referred by employees,5,0.5
516,2012.0,4,Job Boards,1,1
517,2013.0,11,Job Boards,4,1
518,2011.0,3,Job Boards,1,0.5
519,2010.0,8,Referred by employees,4,1
520,2012.0,2,Career Site,4,1
521,2010.0,2,Career Site,0,1
522,2012.0,11,Job Boards,5,1
523,2015.0,9,Referred by employees,3,1
524,2011.0,7,Career Site,5,1
525,2010.0,11,Job Boards,5,1
526,2009.0,6,Job Boards,1,1
527,2016.0,4,Referred by employees,3,1
528,2008.0,4,Referred by employees,5,0.5
529,2007.0,2,Career Site,4,0.25
530,2012.0,2,Job Boards,5,1
531,2010.0,9,Referred by employees,2,1
532,2007.0,7,Referred by employees,5,1
533,2011.0,8,Referred by employees,4,1
534,2013.0,12,Career Site,3,1
535,2012.0,2,Career Site,4,1
536,2012.0,11,Job Boards,5,1
537,2015.0,7,Referred by employees,1,1
538,2011.0,8,Referred by employees,4,0.5
539,2011.0,5,Career Site,0,1
540,2016.0,1,Referred by employees,2,1
541,2008.0,4,Job Boards,5,1
542,2016.0,10,Referred by employees,4,0.5
543,2012.0,2,Career Site,5,1
544,2015.0,10,Career Site,3,1
545,2010.0,4,Career Site,4,0.5
546,2011.0,2,Job Boards,2,1
547,2011.0,8,Job Boards,1,0.5
548,2015.0,8,Career Site,3,1
549,2012.0,3,Job Boards,0,1
550,2011.0,6,Job Boards,4,1
551,2015.0,3,Referred by employees,2,1
552,2014.0,12,Job Boards,5,0.5
553,2013.0,5,Referred by employees,3,1
554,2014.0,11,Referred by employees,0,1
555,2008.0,1,Referred by employees,5,0.5
556,2011.0,2,Job Boards,1,1
557,2007.0,9,Job Boards,5,1
558,2013.0,12,Referred by employees,0,0.25
559,2012.0,5,Job Boards,0,1
560,2006.0,5,Referred by employees,0,1
561,2012.0,10,Referred by employees,3,0.5
562,2012.0,3,Career Site,0,1
563,2008.0,9,Job Boards,0,1
564,2012.0,9,Job Boards,5,1
565,2009.0,11,Job Boards,4,1
566,2012.0,3,Job Boards,2,0.5
567,2012.0,6,Career Site,5,1
568,2016.0,1,Referred by employees,2,0.5
569,2017.0,4,Referred by employees,4,0.5
570,2010.0,1,Career Site,0,1
571,2014.0,7,Job Boards,4,1
572,2016.0,3,Job Boards,2,1
573,2009.0,8,Career Site,0,1
574,2010.0,9,Referred by employees,3,1
575,2010.0,1,Job Boards,1,1
576,2005.0,12,Job Boards,4,1
577,2011.0,4,Referred by employees,1,1
578,2016.0,12,Referred by employees,0,1
579,2012.0,1,Referred by employees,1,1
580,2010.0,8,Job Boards,3,0.5
581,2006.0,1,Career Site,1,1
582,2007.0,9,Job Boards,1,0.5
583,2012.0,12,Referred by employees,0,1
584,2009.0,2,Referred by employees,5,1
585,2015.0,2,Career Site,4,1
586,2009.0,5,Job Boards,5,1
587,2012.0,9,Referred by employees,1,1
588,2010.0,5,Job Boards,2,1
589,2010.0,5,Career Site,3,0.5
590,2008.0,12,Job Boards,4,1
591,2007.0,10,Career Site,3,1
592,2009.0,5,Job Boards,3,0.5
593,2007.0,10,Referred by employees,0,1
594,2015.0,9,Job Boards,2,1
595,2014.0,10,Referred by employees,5,0.5
596,2014.0,7,Referred by employees,2,1
597,2011.0,3,Referred by employees,3,1
598,2010.0,3,Referred by employees,3,1
599,2010.0,4,Referred by employees,3,1
600,2014.0,11,Career Site,3,1
601,2008.0,8,Job Boards,1,1
602,2007.0,4,Referred by employees,5,0.5
603,2009.0,12,Career Site,5,1
604,2015.0,11,Job Boards,4,1
605,2015.0,11,Career Site,4,1
606,2011.0,12,Job Boards,2,1
607,2009.0,10,Job Boards,1,1
608,2012.0,8,Job Boards,4,1
609,2012.0,11,Job Boards,2,1
610,2011.0,9,Career Site,2,1
611,2008.0,8,Career Site,5,1
612,2010.0,6,Job Boards,5,1
613,2011.0,10,Career Site,2,1
614,2009.0,6,Career Site,1,0.5
615,2011.0,5,Career Site,4,1
616,2008.0,5,Referred by employees,0,1
617,2011.0,2,Job Boards,2,1
618,2010.0,11,Referred by employees,5,0.5
619,2008.0,7,Career Site,1,1
620,2005.0,5,Job Boards,1,1
621,2012.0,12,Job Boards,3,1
622,2015.0,5,Career Site,1,1
623,2016.0,10,Referred by employees,1,1
624,2016.0,6,Job Boards,2,1
625,2010.0,8,Career Site,4,1
626,2015.0,10,Career Site,3,1
627,2014.0,1,Job Boards,3,1
628,2016.0,4,Referred by employees,0,0.5
629,2011.0,9,Referred by employees,4,1
630,2011.0,6,Referred by employees,2,0.5
631,2013.0,8,Job Boards,4,0.5
632,2015.0,11,Referred by employees,3,0.5
633,2006.0,7,Job Boards,5,1
634,2008.0,6,Job Boards,5,1
635,2010.0,9,Job Boards,2,1
636,2014.0,1,Career Site,2,1
637,2015.0,4,Job Boards,1,1
638,2012.0,9,Job Boards,4,1
639,2009.0,11,Job Boards,0,1
640,2009.0,2,Career Site,1,1
641,2011.0,4,Referred by employees,1,1
642,2011.0,5,Career Site,4,0.5
643,2009.0,6,Career Site,1,0.5
644,2010.0,3,Referred by employees,0,1
645,2012.0,1,Job Boards,1,1
646,2011.0,3,Referred by employees,5,0.5
647,2015.0,12,Job Boards,5,1
648,2011.0,11,Job Boards,1,1
649,2011.0,1,Job Boards,0,0.5
650,2011.0,5,Career Site,4,0.25
651,2010.0,3,Job Boards,2,1
652,2011.0,10,Referred by employees,5,1
653,2011.0,7,Referred by employees,0,1
654,2010.0,4,Referred by employees,3,1
655,2006.0,2,Job Boards,1,0.5
656,2010.0,10,Referred by employees,1,1
657,2018.0,5,Career Site,0,1
658,2013.0,7,Referred by employees,4,1
659,2010.0,5,Career Site,0,1
660,2009.0,7,Job Boards,0,1
661,2016.0,3,Career Site,4,1
662,2011.0,2,Career Site,2,1
663,2010.0,12,Job Boards,3,1
664,2014.0,10,Referred by employees,0,1
665,2009.0,3,Referred by employees,1,1
666,2011.0,3,Job Boards,2,1
667,2006.0,10,Job Boards,5,1
668,2011.0,10,Job Boards,5,1
669,2009.0,10,Job Boards,5,1
670,2011.0,12,Job Boards,1,0.5
671,2007.0,12,Career Site,5,1
672,2014.0,4,Career Site,3,1
673,2014.0,10,Referred by employees,1,1
674,2015.0,10,Job Boards,1,1
675,2010.0,4,Career Site,1,1
676,2011.0,2,Referred by employees,0,1
677,2016.0,7,Job Boards,1,1
678,2014.0,6,Referred by employees,3,0.25
679,2014.0,12,Referred by employees,3,1
680,2014.0,11,Job Boards,4,1
681,2014.0,2,Career Site,2,1
682,2008.0,2,Referred by employees,2,1
683,2012.0,6,Job Boards,5,1
684,2012.0,7,Job Boards,5,1
685,2015.0,10,Career Site,0,1
686,2017.0,6,Referred by employees,1,0.5
687,2010.0,1,Career Site,4,1
688,2015.0,6,Job Boards,2,1
689,2009.0,6,Job Boards,0,1
690,2014.0,2,Career Site,3,1
691,2014.0,5,Career Site,0,0.25
692,2016.0,4,Career Site,1,1
693,2013.0,6,Referred by employees,2,1
694,2006.0,11,Job Boards,3,0.5
695,2013.0,3,Career Site,3,0.5
696,2015.0,7,Referred by employees,3,1
697,2014.0,9,Referred by employees,3,1
698,2014.0,12,Referred by employees,0,1
699,2010.0,4,Referred by employees,3,1
700,2012.0,1,Career Site,0,0.25
701,2011.0,4,Career Site,5,1
702,2013.0,1,Career Site,1,1
703,2007.0,3,Career Site,0,1
704,2016.0,2,Career Site,4,0.5
705,2014.0,3,Referred by employees,4,1
706,2014.0,7,Referred by employees,5,1
707,2009.0,7,Job Boards,3,0.5
708,2009.0,2,Referred by employees,5,1
709,2011.0,9,Referred by employees,0,1
710,2014.0,5,Referred by employees,0,1
711,2011.0,12,Career Site,0,0.5
712,2013.0,6,Career Site,0,1
713,2016.0,8,Job Boards,4,1
714,2014.0,7,Referred by employees,3,1
715,2012.0,10,Career Site,3,1
716,2009.0,9,Referred by employees,2,1
