id,p_start,exp_yr_count,job_title,department,grade,salary,medical_leaves
17,2016,6,Associate Data Analyst,Analytics Department,4,77963,5
17,2017,7,Data Analyst,Analytics Department,5,88484,7
17,2018,8,Data Analyst,Analytics Department,5,104628,5
17,2019,9,Data Analyst,Analytics Department,5,106655,12
18,2009,1,Associate Frontend Engineer,IT Department,4,55409,14
18,2010,2,Associate Frontend Engineer,IT Department,4,59429,13
18,2011,3,Associate Frontend Engineer,IT Department,4,61442,7
18,2012,4,Associate Frontend Engineer,IT Department,4,63457,15
18,2013,5,Associate Frontend Engineer,IT Department,4,65474,15
18,2014,6,Associate Frontend Engineer,IT Department,4,67493,14
18,2015,7,Frontend Engineer,IT Department,5,71062,13
18,2016,8,Frontend Engineer,IT Department,5,87190,9
18,2017,9,Frontend Engineer,IT Department,5,89215,14
18,2018,10,Frontend Engineer,IT Department,5,91242,20
18,2019,11,Frontend Engineer,IT Department,5,93271,9
19,2014,1,Backend Engineer,IT Department,5,71728,20
19,2015,2,Backend Engineer,IT Department,5,75758,7
19,2016,3,Backend Engineer,IT Department,5,77776,18
19,2017,4,Backend Engineer,IT Department,5,79796,12
19,2018,5,Backend Engineer,IT Department,5,81818,6
19,2019,6,Backend Engineer,IT Department,5,83842,7
20,2011,1,Sr Backend Engineer,IT Department,7,121400,19
20,2012,2,Sr Backend Engineer,IT Department,7,125424,8
20,2013,3,Sr Backend Engineer,IT Department,7,127439,19
20,2014,4,Sr Backend Engineer,IT Department,7,129456,16
20,2015,5,Sr Backend Engineer,IT Department,7,131475,14
20,2016,6,Sr Backend Engineer,IT Department,7,133496,1
20,2017,7,Team Lead,IT Department,8,170079,19
20,2018,8,Team Lead,IT Department,8,186223,9
20,2019,9,Team Lead,IT Department,8,188250,14
21,2010,1,Frontend Engineer II,IT Department,6,95781,9
21,2011,2,Frontend Engineer II,IT Department,6,99803,6
21,2012,3,Frontend Engineer II,IT Department,6,101817,4
21,2013,4,Frontend Engineer II,IT Department,6,103833,10
21,2014,5,Frontend Engineer II,IT Department,6,105851,8
21,2015,6,Frontend Engineer II,IT Department,6,107871,20
21,2016,7,Sr Frontend Engineer,IT Department,7,119657,7
21,2017,8,Sr Frontend Engineer,IT Department,7,135793,4
21,2018,9,Sr Frontend Engineer,IT Department,7,137819,12
21,2019,10,Sr Frontend Engineer,IT Department,7,139847,2
22,2015,1,Data Analyst II,Analytics Department,6,115837,6
22,2016,2,Data Analyst II,Analytics Department,6,119869,12
22,2017,3,Data Analyst II,Analytics Department,6,121888,6
22,2018,4,Data Analyst II,Analytics Department,6,123909,6
22,2019,5,Data Analyst II,Analytics Department,6,125932,17
23,2016,1,Sr Backend Engineer,IT Department,7,121475,7
23,2017,2,Sr Backend Engineer,IT Department,7,125509,11
23,2018,3,Sr Backend Engineer,IT Department,7,127529,18
23,2019,4,Sr Backend Engineer,IT Department,7,129551,4
24,2016,1,Data Analyst II,Analytics Department,6,115877,0
24,2017,2,Data Analyst II,Analytics Department,6,119911,4
24,2018,3,Data Analyst II,Analytics Department,6,121931,13
24,2019,4,Data Analyst II,Analytics Department,6,123953,1
25,2012,1,Associate Frontend Engineer,IT Department,4,55234,19
25,2013,2,Associate Frontend Engineer,IT Department,4,59260,16
25,2014,3,Associate Frontend Engineer,IT Department,4,61276,6
25,2015,4,Associate Frontend Engineer,IT Department,4,63294,9
25,2016,5,Associate Frontend Engineer,IT Department,4,65314,3
25,2017,6,Associate Frontend Engineer,IT Department,4,67336,14
25,2018,7,Frontend Engineer,IT Department,5,70887,11
25,2019,8,Frontend Engineer,IT Department,5,87039,6
26,2012,1,Associate Data Analyst,Analytics Department,4,66052,13
26,2013,2,Associate Data Analyst,Analytics Department,4,70078,20
26,2014,3,Associate Data Analyst,Analytics Department,4,72094,7
26,2015,4,Associate Data Analyst,Analytics Department,4,74112,20
26,2016,5,Associate Data Analyst,Analytics Department,4,76132,15
26,2017,6,Associate Data Analyst,Analytics Department,4,78154,15
26,2018,7,Data Analyst,Analytics Department,5,88664,17
26,2019,8,Data Analyst,Analytics Department,5,104816,6
27,2011,1,Backend Engineer,IT Department,5,71928,19
27,2012,2,Backend Engineer,IT Department,5,75952,10
27,2013,3,Backend Engineer,IT Department,5,77967,2
27,2014,4,Backend Engineer,IT Department,5,79984,4
27,2015,5,Backend Engineer,IT Department,5,82003,9
27,2016,6,Backend Engineer,IT Department,5,84024,17
27,2017,7,Backend Engineer II,IT Department,6,91710,1
27,2018,8,Backend Engineer II,IT Department,6,107854,6
27,2019,9,Backend Engineer II,IT Department,6,109881,11
28,2015,1,Frontend Engineer II,IT Department,6,95606,3
28,2016,2,Frontend Engineer II,IT Department,6,99638,0
28,2017,3,Frontend Engineer II,IT Department,6,101657,3
28,2018,4,Frontend Engineer II,IT Department,6,103678,15
28,2019,5,Frontend Engineer II,IT Department,6,105701,6
29,2011,1,Associate Data Analyst,Analytics Department,4,66107,18
29,2012,2,Associate Data Analyst,Analytics Department,4,70131,11
29,2013,3,Associate Data Analyst,Analytics Department,4,72146,8
29,2014,4,Associate Data Analyst,Analytics Department,4,74163,2
29,2015,5,Associate Data Analyst,Analytics Department,4,76182,15
29,2016,6,Associate Data Analyst,Analytics Department,4,78203,9
29,2017,7,Data Analyst,Analytics Department,5,88724,18
29,2018,8,Data Analyst,Analytics Department,5,104868,18
29,2019,9,Data Analyst,Analytics Department,5,106895,18
30,2009,1,Backend Engineer,IT Department,5,72003,10
30,2010,2,Backend Engineer,IT Department,5,76023,1
30,2011,3,Backend Engineer,IT Department,5,78036,20
30,2012,4,Backend Engineer,IT Department,5,80051,3
30,2013,5,Backend Engineer,IT Department,5,82068,1
30,2014,6,Backend Engineer,IT Department,5,84087,17
30,2015,7,Backend Engineer II,IT Department,6,91785,10
30,2016,8,Backend Engineer II,IT Department,6,107913,1
30,2017,9,Backend Engineer II,IT Department,6,109938,14
30,2018,10,Backend Engineer II,IT Department,6,111965,13
30,2019,11,Backend Engineer II,IT Department,6,113994,14
31,2014,1,Backend Engineer,IT Department,5,72028,7
31,2015,2,Backend Engineer,IT Department,5,76058,7
31,2016,3,Backend Engineer,IT Department,5,78076,9
31,2017,4,Backend Engineer,IT Department,5,80096,20
31,2018,5,Backend Engineer,IT Department,5,82118,3
31,2019,6,Backend Engineer,IT Department,5,84142,15
32,2009,1,Backend Engineer II,IT Department,6,91835,16
32,2010,2,Backend Engineer II,IT Department,6,95855,1
32,2011,3,Backend Engineer II,IT Department,6,97868,5
32,2012,4,Backend Engineer II,IT Department,6,99883,12
32,2013,5,Backend Engineer II,IT Department,6,101900,0
32,2014,6,Backend Engineer II,IT Department,6,103919,7
32,2015,7,Sr Backend Engineer,IT Department,7,121700,20
32,2016,8,Sr Backend Engineer,IT Department,7,137828,0
32,2017,9,Sr Backend Engineer,IT Department,7,139853,15
32,2018,10,Sr Backend Engineer,IT Department,7,141880,9
32,2019,11,Sr Backend Engineer,IT Department,7,143909,17
33,2008,1,Associate Frontend Engineer,IT Department,4,55034,18
33,2009,2,Associate Frontend Engineer,IT Department,4,59052,11
33,2010,3,Associate Frontend Engineer,IT Department,4,61064,17
33,2011,4,Associate Frontend Engineer,IT Department,4,63078,0
33,2012,5,Associate Frontend Engineer,IT Department,4,65094,1
33,2013,6,Associate Frontend Engineer,IT Department,4,67112,16
33,2014,7,Frontend Engineer,IT Department,5,70687,19
33,2015,8,Frontend Engineer,IT Department,5,86807,12
33,2016,9,Frontend Engineer,IT Department,5,88831,19
33,2017,10,Frontend Engineer,IT Department,5,90857,16
33,2018,11,Frontend Engineer,IT Department,5,92885,12
33,2019,12,Frontend Engineer II,IT Department,6,95481,2
34,2011,1,Backend Engineer,IT Department,5,72103,8
34,2012,2,Backend Engineer,IT Department,5,76127,2
34,2013,3,Backend Engineer,IT Department,5,78142,2
34,2014,4,Backend Engineer,IT Department,5,80159,6
34,2015,5,Backend Engineer,IT Department,5,82178,0
34,2016,6,Backend Engineer,IT Department,5,84199,9
34,2017,7,Backend Engineer II,IT Department,6,91885,3
34,2018,8,Backend Engineer II,IT Department,6,108029,20
34,2019,9,Backend Engineer II,IT Department,6,110056,12
35,2009,1,Backend Engineer,IT Department,5,72128,2
35,2010,2,Backend Engineer,IT Department,5,76148,20
35,2011,3,Backend Engineer,IT Department,5,78161,5
35,2012,4,Backend Engineer,IT Department,5,80176,14
35,2013,5,Backend Engineer,IT Department,5,82193,7
35,2014,6,Backend Engineer,IT Department,5,84212,5
35,2015,7,Backend Engineer II,IT Department,6,91910,5
35,2016,8,Backend Engineer II,IT Department,6,108038,3
35,2017,9,Backend Engineer II,IT Department,6,110063,1
35,2018,10,Backend Engineer II,IT Department,6,112090,19
35,2019,11,Backend Engineer II,IT Department,6,114119,5
36,2012,1,Associate Data Analyst,Analytics Department,4,66252,10
36,2013,2,Associate Data Analyst,Analytics Department,4,70278,19
36,2014,3,Associate Data Analyst,Analytics Department,4,72294,3
36,2015,4,Associate Data Analyst,Analytics Department,4,74312,15
36,2016,5,Associate Data Analyst,Analytics Department,4,76332,14
36,2017,6,Associate Data Analyst,Analytics Department,4,78354,16
36,2018,7,Data Analyst,Analytics Department,5,88864,1
36,2019,8,Data Analyst,Analytics Department,5,105016,11
37,2011,1,Data Analyst II,Analytics Department,6,116137,0
37,2012,2,Data Analyst II,Analytics Department,6,120161,1
37,2013,3,Data Analyst II,Analytics Department,6,122176,3
37,2014,4,Data Analyst II,Analytics Department,6,124193,3
37,2015,5,Data Analyst II,Analytics Department,6,126212,2
37,2016,6,Data Analyst II,Analytics Department,6,128233,2
37,2017,7,Data Scientist,Analytics Department,7,149904,5
37,2018,8,Data Scientist,Analytics Department,7,166048,17
37,2019,9,Data Scientist,Analytics Department,7,168075,18
38,2011,1,Sr Backend Engineer,IT Department,7,121850,3
38,2012,2,Sr Backend Engineer,IT Department,7,125874,3
38,2013,3,Sr Backend Engineer,IT Department,7,127889,10
38,2014,4,Sr Backend Engineer,IT Department,7,129906,9
38,2015,5,Sr Backend Engineer,IT Department,7,131925,20
38,2016,6,Sr Backend Engineer,IT Department,7,133946,16
38,2017,7,Team Lead,IT Department,8,170439,5
38,2018,8,Team Lead,IT Department,8,186583,9
38,2019,9,Team Lead,IT Department,8,188610,12
39,2010,1,Frontend Engineer II,IT Department,6,95331,17
39,2011,2,Frontend Engineer II,IT Department,6,99353,15
39,2012,3,Frontend Engineer II,IT Department,6,101367,18
39,2013,4,Frontend Engineer II,IT Department,6,103383,4
39,2014,5,Frontend Engineer II,IT Department,6,105401,6
39,2015,6,Frontend Engineer II,IT Department,6,107421,14
39,2016,7,Sr Frontend Engineer,IT Department,7,119207,9
39,2017,8,Sr Frontend Engineer,IT Department,7,135343,9
39,2018,9,Sr Frontend Engineer,IT Department,7,137369,8
39,2019,10,Sr Frontend Engineer,IT Department,7,139397,14
40,2011,1,Sr Backend Engineer,IT Department,7,121900,7
40,2012,2,Sr Backend Engineer,IT Department,7,125924,11
40,2013,3,Sr Backend Engineer,IT Department,7,127939,17
40,2014,4,Sr Backend Engineer,IT Department,7,129956,8
40,2015,5,Sr Backend Engineer,IT Department,7,131975,19
40,2016,6,Sr Backend Engineer,IT Department,7,133996,5
40,2017,7,Team Lead,IT Department,8,170479,1
40,2018,8,Team Lead,IT Department,8,186623,2
40,2019,9,Team Lead,IT Department,8,188650,13
41,2011,1,Associate Frontend Engineer,IT Department,4,54834,5
41,2012,2,Associate Frontend Engineer,IT Department,4,58858,5
41,2013,3,Associate Frontend Engineer,IT Department,4,60873,5
41,2014,4,Associate Frontend Engineer,IT Department,4,62890,11
41,2015,5,Associate Frontend Engineer,IT Department,4,64909,5
41,2016,6,Associate Frontend Engineer,IT Department,4,66930,4
41,2017,7,Frontend Engineer,IT Department,5,70487,19
41,2018,8,Frontend Engineer,IT Department,5,86631,3
41,2019,9,Frontend Engineer,IT Department,5,88658,13
42,2015,1,Associate Data Analyst,Analytics Department,4,66387,17
42,2016,2,Associate Data Analyst,Analytics Department,4,70419,12
42,2017,3,Associate Data Analyst,Analytics Department,4,72438,15
42,2018,4,Associate Data Analyst,Analytics Department,4,74459,13
42,2019,5,Associate Data Analyst,Analytics Department,4,76482,19
43,2006,1,Associate Data Analyst,Analytics Department,4,66362,13
43,2007,2,Associate Data Analyst,Analytics Department,4,70376,4
43,2008,3,Associate Data Analyst,Analytics Department,4,72386,5
43,2009,4,Associate Data Analyst,Analytics Department,4,74398,10
43,2010,5,Associate Data Analyst,Analytics Department,4,76412,14
43,2011,6,Associate Data Analyst,Analytics Department,4,78428,5
43,2012,7,Data Analyst,Analytics Department,5,89004,20
43,2013,8,Data Analyst,Analytics Department,5,105108,10
43,2014,9,Data Analyst,Analytics Department,5,107130,3
43,2015,10,Data Analyst,Analytics Department,5,109154,17
43,2016,11,Data Analyst,Analytics Department,5,111180,1
43,2017,12,Data Analyst II,Analytics Department,6,116257,4
43,2018,13,Data Analyst II,Analytics Department,6,142491,8
43,2019,14,Data Analyst II,Analytics Department,6,144523,15
44,2005,1,Backend Engineer,IT Department,5,72353,15
44,2006,2,Backend Engineer,IT Department,5,76365,13
44,2007,3,Backend Engineer,IT Department,5,78374,7
44,2008,4,Backend Engineer,IT Department,5,80385,10
44,2009,5,Backend Engineer,IT Department,5,82398,17
44,2010,6,Backend Engineer,IT Department,5,84413,14
44,2011,7,Backend Engineer II,IT Department,6,92135,16
44,2012,8,Backend Engineer II,IT Department,6,108231,9
44,2013,9,Backend Engineer II,IT Department,6,110252,20
44,2014,10,Backend Engineer II,IT Department,6,112275,12
44,2015,11,Backend Engineer II,IT Department,6,114300,13
44,2016,12,Sr Backend Engineer,IT Department,7,122000,2
44,2017,13,Sr Backend Engineer,IT Department,7,148221,0
44,2018,14,Sr Backend Engineer,IT Department,7,150252,7
44,2019,15,Sr Backend Engineer,IT Department,7,152285,13
45,2012,1,Backend Engineer,IT Department,5,72378,5
45,2013,2,Backend Engineer,IT Department,5,76404,0
45,2014,3,Backend Engineer,IT Department,5,78420,6
45,2015,4,Backend Engineer,IT Department,5,80438,6
45,2016,5,Backend Engineer,IT Department,5,82458,4
45,2017,6,Backend Engineer,IT Department,5,84480,18
45,2018,7,Backend Engineer II,IT Department,6,92160,11
45,2019,8,Backend Engineer II,IT Department,6,108312,13
46,2016,1,Frontend Engineer II,IT Department,6,95156,17
46,2017,2,Frontend Engineer II,IT Department,6,99190,1
46,2018,3,Frontend Engineer II,IT Department,6,101210,4
46,2019,4,Frontend Engineer II,IT Department,6,103232,13
47,2013,1,Associate Data Analyst,Analytics Department,4,66477,6
47,2014,2,Associate Data Analyst,Analytics Department,4,70505,20
47,2015,3,Associate Data Analyst,Analytics Department,4,72522,2
47,2016,4,Associate Data Analyst,Analytics Department,4,74541,4
47,2017,5,Associate Data Analyst,Analytics Department,4,76562,18
47,2018,6,Associate Data Analyst,Analytics Department,4,78585,8
47,2019,7,Data Analyst,Analytics Department,5,89084,7
48,2006,1,Backend Engineer,IT Department,5,72453,8
48,2007,2,Backend Engineer,IT Department,5,76467,9
48,2008,3,Backend Engineer,IT Department,5,78477,8
48,2009,4,Backend Engineer,IT Department,5,80489,1
48,2010,5,Backend Engineer,IT Department,5,82503,1
48,2011,6,Backend Engineer,IT Department,5,84519,18
48,2012,7,Backend Engineer II,IT Department,6,92235,6
48,2013,8,Backend Engineer II,IT Department,6,108339,11
48,2014,9,Backend Engineer II,IT Department,6,110361,7
48,2015,10,Backend Engineer II,IT Department,6,112385,19
48,2016,11,Backend Engineer II,IT Department,6,114411,16
48,2017,12,Sr Backend Engineer,IT Department,7,122100,20
48,2018,13,Sr Backend Engineer,IT Department,7,148334,4
48,2019,14,Sr Backend Engineer,IT Department,7,150366,7
49,2011,1,Backend Engineer,IT Department,5,72478,1
49,2012,2,Backend Engineer,IT Department,5,76502,18
49,2013,3,Backend Engineer,IT Department,5,78517,10
49,2014,4,Backend Engineer,IT Department,5,80534,1
49,2015,5,Backend Engineer,IT Department,5,82553,20
49,2016,6,Backend Engineer,IT Department,5,84574,20
49,2017,7,Backend Engineer II,IT Department,6,92260,0
49,2018,8,Backend Engineer II,IT Department,6,108404,10
49,2019,9,Backend Engineer II,IT Department,6,110431,6
50,2012,1,Associate Data Analyst,Analytics Department,4,66532,0
50,2013,2,Associate Data Analyst,Analytics Department,4,70558,7
50,2014,3,Associate Data Analyst,Analytics Department,4,72574,19
50,2015,4,Associate Data Analyst,Analytics Department,4,74592,2
50,2016,5,Associate Data Analyst,Analytics Department,4,76612,0
50,2017,6,Associate Data Analyst,Analytics Department,4,78634,16
50,2018,7,Data Analyst,Analytics Department,5,89144,15
50,2019,8,Data Analyst,Analytics Department,5,105296,6
51,2011,1,Sr Backend Engineer,IT Department,7,122175,16
51,2012,2,Sr Backend Engineer,IT Department,7,126199,3
51,2013,3,Sr Backend Engineer,IT Department,7,128214,7
51,2014,4,Sr Backend Engineer,IT Department,7,130231,14
51,2015,5,Sr Backend Engineer,IT Department,7,132250,20
51,2016,6,Sr Backend Engineer,IT Department,7,134271,18
51,2017,7,Team Lead,IT Department,8,170699,0
51,2018,8,Team Lead,IT Department,8,186843,8
51,2019,9,Team Lead,IT Department,8,188870,20
52,2008,1,Backend Engineer II,IT Department,6,92335,14
52,2009,2,Backend Engineer II,IT Department,6,96353,8
52,2010,3,Backend Engineer II,IT Department,6,98365,9
52,2011,4,Backend Engineer II,IT Department,6,100379,13
52,2012,5,Backend Engineer II,IT Department,6,102395,18
52,2013,6,Backend Engineer II,IT Department,6,104413,13
52,2014,7,Sr Backend Engineer,IT Department,7,122200,10
52,2015,8,Sr Backend Engineer,IT Department,7,138320,17
52,2016,9,Sr Backend Engineer,IT Department,7,140344,11
52,2017,10,Sr Backend Engineer,IT Department,7,142370,10
52,2018,11,Sr Backend Engineer,IT Department,7,144398,6
52,2019,12,Team Lead,IT Department,8,170719,5
53,2012,1,Sr Manager,Administration Department,10,206564,10
53,2013,2,Sr Manager,Administration Department,10,210590,9
53,2014,3,Sr Manager,Administration Department,10,212606,5
53,2015,4,Sr Manager,Administration Department,10,214624,1
53,2016,5,Sr Manager,Administration Department,10,216644,2
53,2017,6,Sr Manager,Administration Department,10,218666,17
53,2018,7,Director,Administration Department,12,423658,11
53,2019,8,Director,Administration Department,12,439810,7
54,2016,1,Sr Backend Engineer,IT Department,7,122250,17
54,2017,2,Sr Backend Engineer,IT Department,7,126284,14
54,2018,3,Sr Backend Engineer,IT Department,7,128304,1
54,2019,4,Sr Backend Engineer,IT Department,7,130326,20
55,2011,1,Associate Data Analyst,Analytics Department,4,66627,7
55,2012,2,Associate Data Analyst,Analytics Department,4,70651,20
55,2013,3,Associate Data Analyst,Analytics Department,4,72666,7
55,2014,4,Associate Data Analyst,Analytics Department,4,74683,18
55,2015,5,Associate Data Analyst,Analytics Department,4,76702,5
55,2016,6,Associate Data Analyst,Analytics Department,4,78723,17
55,2017,7,Data Analyst,Analytics Department,5,89244,18
55,2018,8,Data Analyst,Analytics Department,5,105388,0
55,2019,9,Data Analyst,Analytics Department,5,107415,12
56,2014,1,Backend Engineer,IT Department,5,72653,20
56,2015,2,Backend Engineer,IT Department,5,76683,6
56,2016,3,Backend Engineer,IT Department,5,78701,13
56,2017,4,Backend Engineer,IT Department,5,80721,18
56,2018,5,Backend Engineer,IT Department,5,82743,8
56,2019,6,Backend Engineer,IT Department,5,84767,16
57,2011,1,Data Analyst II,Analytics Department,6,116537,14
57,2012,2,Data Analyst II,Analytics Department,6,120561,17
57,2013,3,Data Analyst II,Analytics Department,6,122576,20
57,2014,4,Data Analyst II,Analytics Department,6,124593,5
57,2015,5,Data Analyst II,Analytics Department,6,126612,18
57,2016,6,Data Analyst II,Analytics Department,6,128633,1
57,2017,7,Data Scientist,Analytics Department,7,150304,10
57,2018,8,Data Scientist,Analytics Department,7,166448,18
57,2019,9,Data Scientist,Analytics Department,7,168475,12
58,2008,1,Assistant Manager,Administration Department,7,128333,18
58,2009,2,Assistant Manager,Administration Department,7,132351,10
58,2010,3,Assistant Manager,Administration Department,7,134363,4
58,2011,4,Assistant Manager,Administration Department,7,136377,12
58,2012,5,Assistant Manager,Administration Department,7,138393,3
58,2013,6,Assistant Manager,Administration Department,7,140411,19
58,2014,7,Manager,Administration Department,9,158770,8
58,2015,8,Manager,Administration Department,9,174890,12
58,2016,9,Manager,Administration Department,9,176914,2
58,2017,10,Manager,Administration Department,9,178940,4
58,2018,11,Manager,Administration Department,9,180968,20
58,2019,12,Sr Manager,Administration Department,10,206664,1
59,2009,1,Backend Engineer,IT Department,5,72728,3
59,2010,2,Backend Engineer,IT Department,5,76748,2
59,2011,3,Backend Engineer,IT Department,5,78761,14
59,2012,4,Backend Engineer,IT Department,5,80776,0
59,2013,5,Backend Engineer,IT Department,5,82793,0
59,2014,6,Backend Engineer,IT Department,5,84812,17
