id,job_title,department,p_start,start_month,p_end,end_month,grade,start_salary
47,Associate Data Analyst,Analytics Department,2013,10,2019,2,4,66477
47,Data Analyst,Analytics Department,2019,2,-99,-99,5,89084
48,Associate Backend Engineer,IT Department,2006,4,2012,2,4,63951
48,Backend Engineer,IT Department,2012,2,2017,6,5,72453
48,Backend Engineer II,IT Department,2017,6,-99,-99,6,92235
49,Associate Backend Engineer,IT Department,2011,4,2017,9,4,63991
49,Backend Engineer,IT Department,2017,9,-99,-99,5,72478
50,Associate Data Analyst,Analytics Department,2012,10,2018,10,4,66532
50,Data Analyst,Analytics Department,2018,10,-99,-99,5,89144
51,Backend Engineer II,IT Department,2011,11,2017,3,6,92310
51,Sr Backend Engineer,IT Department,2017,3,-99,-99,7,122175
52,Backend Engineer,IT Department,2008,2,2014,2,5,72553
52,Backend Engineer II,IT Department,2014,2,2019,3,6,92335
52,Sr Backend Engineer,IT Department,2019,3,-99,-99,7,122200
53,Manager,Administration Department,2012,5,2018,5,9,159646
53,Sr Manager,Administration Department,2018,5,-99,-99,10,208975
54,Backend Engineer II,IT Department,2016,9,-99,-99,6,92385
55,Associate Data Analyst,Analytics Department,2011,4,2017,7,4,66627
55,Data Analyst,Analytics Department,2017,7,-99,-99,5,89244
56,Associate Backend Engineer,IT Department,2014,4,-99,-99,4,64175
57,Data Analyst II,Analytics Department,2011,7,2017,3,6,116537
57,Data Scientist,Analytics Department,2017,3,-99,-99,7,150304
58,Associate Manager,Administration Department,2008,3,2014,10,7,98497
58,Assistant Manager,Administration Department,2014,10,2019,3,8,116054
58,Manager,Administration Department,2019,3,-99,-99,9,159746
59,Associate Backend Engineer,IT Department,2009,4,2015,6,4,64235
59,Backend Engineer,IT Department,2015,6,-99,-99,5,72728
60,Manager,Administration Department,2010,5,2016,11,9,159786
60,Sr Manager,Administration Department,2016,11,-99,-99,10,209115
61,Backend Engineer II,IT Department,2010,1,2016,9,6,92560
61,Sr Backend Engineer,IT Department,2016,9,-99,-99,7,122425
62,Associate Manager,Administration Department,2013,12,2019,2,7,98667
62,Assistant Manager,Administration Department,2019,2,-99,-99,8,116134
63,Data Analyst II,Analytics Department,2010,4,2016,4,6,116657
63,Data Scientist,Analytics Department,2016,4,-99,-99,7,150424
64,Associate Backend Engineer,IT Department,2011,1,2017,11,4,64366
64,Backend Engineer,IT Department,2017,11,-99,-99,5,72853
65,Associate Data Analyst,Analytics Department,2014,3,-99,-99,4,66842
66,Data Analyst II,Analytics Department,2012,12,2018,1,6,116717
66,Data Scientist,Analytics Department,2018,1,-99,-99,7,150484
67,Associate Frontend Engineer,IT Department,2015,6,-99,-99,4,60229
68,Backend Engineer II,IT Department,2011,4,2017,9,6,92735
68,Sr Backend Engineer,IT Department,2017,9,-99,-99,7,122600
69,Associate Backend Engineer,IT Department,2013,3,2019,11,4,64497
69,Backend Engineer,IT Department,2019,11,-99,-99,5,72978
70,Data Analyst II,Analytics Department,2010,11,2016,6,6,116797
70,Data Scientist,Analytics Department,2016,6,-99,-99,7,150564
71,Associate Backend Engineer,IT Department,2012,3,2018,6,4,64544
71,Backend Engineer,IT Department,2018,6,-99,-99,5,73028
72,Data Analyst II,Analytics Department,2016,2,-99,-99,6,116837
73,Backend Engineer,IT Department,2008,11,2014,4,5,73078
73,Backend Engineer II,IT Department,2014,4,2019,12,6,92860
73,Sr Backend Engineer,IT Department,2019,12,-99,-99,7,122725
74,Associate Data Analyst,Analytics Department,2010,4,2016,9,4,67002
74,Data Analyst,Analytics Department,2016,9,-99,-99,5,89624
75,Associate Frontend Engineer,IT Department,2006,12,2012,9,4,60002
75,Frontend Engineer,IT Department,2012,9,2017,12,5,69637
75,Frontend Engineer II,IT Department,2017,12,-99,-99,6,94431
76,Data Analyst II,Analytics Department,2010,4,2016,9,6,116917
76,Data Scientist,Analytics Department,2016,9,-99,-99,7,150684
77,Associate Data Analyst,Analytics Department,2006,10,2012,12,4,67042
77,Data Analyst,Analytics Department,2012,12,2017,3,5,89684
77,Data Analyst II,Analytics Department,2017,3,-99,-99,6,116937
78,Associate Backend Engineer,IT Department,2008,3,2014,1,4,64707
78,Backend Engineer,IT Department,2014,1,2019,9,5,73203
78,Backend Engineer II,IT Department,2019,9,-99,-99,6,92985
79,Data Analyst II,Analytics Department,2016,2,-99,-99,6,116977
80,Associate Frontend Engineer,IT Department,2007,5,2013,3,4,59880
80,Frontend Engineer,IT Department,2013,3,2018,5,5,69512
80,Frontend Engineer II,IT Department,2018,5,-99,-99,6,94306
81,Associate Backend Engineer,IT Department,2015,9,-99,-99,4,64803
82,Associate Backend Engineer,IT Department,2009,5,2015,10,4,64810
82,Backend Engineer,IT Department,2015,10,-99,-99,5,73303
83,Associate Data Analyst,Analytics Department,2013,12,2019,3,4,67197
83,Data Analyst,Analytics Department,2019,3,-99,-99,5,89804
84,Backend Engineer II,IT Department,2010,8,2016,11,6,93135
84,Sr Backend Engineer,IT Department,2016,11,-99,-99,7,123000
85,Associate Data Analyst,Analytics Department,2005,8,2011,1,4,67197
85,Data Analyst,Analytics Department,2011,1,2016,12,5,89844
85,Data Analyst II,Analytics Department,2016,12,-99,-99,6,117097
86,Data Analyst II,Analytics Department,2012,6,2018,5,6,117117
86,Data Scientist,Analytics Department,2018,5,-99,-99,7,150884
87,Associate Backend Engineer,IT Department,2006,5,2012,12,4,64926
87,Backend Engineer,IT Department,2012,12,2017,1,5,73428
87,Backend Engineer II,IT Department,2017,1,-99,-99,6,93210
88,Associate Data Analyst,Analytics Department,2010,1,2016,5,4,67282
88,Data Analyst,Analytics Department,2016,5,-99,-99,5,89904
89,Associate Backend Engineer,IT Department,2009,3,2015,11,4,64985
89,Backend Engineer,IT Department,2015,11,-99,-99,5,73478
90,Backend Engineer,IT Department,2008,12,2014,6,5,73503
90,Backend Engineer II,IT Department,2014,6,2019,1,6,93285
90,Sr Backend Engineer,IT Department,2019,1,-99,-99,7,123150
91,Associate Manager,Administration Department,2006,4,2012,5,7,99640
91,Assistant Manager,Administration Department,2012,5,2017,12,8,116714
91,Manager,Administration Department,2017,12,-99,-99,9,160406
92,Associate Frontend Engineer,IT Department,2013,12,2019,9,4,59598
92,Frontend Engineer,IT Department,2019,9,-99,-99,5,69212
93,Backend Engineer II,IT Department,2012,5,2018,7,6,93360
93,Sr Backend Engineer,IT Department,2018,7,-99,-99,7,123225
94,Associate Backend Engineer,IT Department,2013,5,2019,4,4,65122
94,Backend Engineer,IT Department,2019,4,-99,-99,5,73603
95,Frontend Engineer II,IT Department,2011,6,2017,12,6,93931
95,Sr Frontend Engineer,IT Department,2017,12,-99,-99,7,117807
96,Backend Engineer II,IT Department,2011,7,2017,5,6,93435
96,Sr Backend Engineer,IT Department,2017,5,-99,-99,7,123300
97,Backend Engineer II,IT Department,2010,8,2016,2,6,93460
97,Sr Backend Engineer,IT Department,2016,2,-99,-99,7,123325
98,Data Analyst II,Analytics Department,2015,12,-99,-99,6,117357
99,Data Analyst II,Analytics Department,2011,3,2017,12,6,117377
99,Data Scientist,Analytics Department,2017,12,-99,-99,7,151144
100,Associate Backend Engineer,IT Department,2014,7,-99,-99,4,65275
101,Associate Backend Engineer,IT Department,2011,12,2017,11,4,65291
101,Backend Engineer,IT Department,2017,11,-99,-99,5,73778
102,Associate Data Analyst,Analytics Department,2013,12,2019,5,4,67577
102,Data Analyst,Analytics Department,2019,5,-99,-99,5,90184
103,Associate Backend Engineer,IT Department,2008,3,2014,12,4,65332
103,Backend Engineer,IT Department,2014,12,2019,9,5,73828
103,Backend Engineer II,IT Department,2019,9,-99,-99,6,93610
104,Associate Backend Engineer,IT Department,2013,12,2019,8,4,65372
104,Backend Engineer,IT Department,2019,8,-99,-99,5,73853
105,Backend Engineer II,IT Department,2010,8,2016,7,6,93660
105,Sr Backend Engineer,IT Department,2016,7,-99,-99,7,123525
106,Associate Backend Engineer,IT Department,2015,1,-99,-99,4,65428
107,Frontend Engineer II,IT Department,2012,9,2018,12,6,93631
107,Sr Frontend Engineer,IT Department,2018,12,-99,-99,7,117507
108,Data Analyst II,Analytics Department,2011,10,2017,1,6,117557
108,Data Scientist,Analytics Department,2017,1,-99,-99,7,151324
109,Associate Frontend Engineer,IT Department,2015,7,-99,-99,4,59179
110,Associate Backend Engineer,IT Department,2005,2,2011,5,4,65498
110,Backend Engineer,IT Department,2011,5,2016,5,5,74003
110,Backend Engineer II,IT Department,2016,5,-99,-99,6,93785
111,Backend Engineer II,IT Department,2015,8,-99,-99,6,93810
112,Associate Backend Engineer,IT Department,2009,12,2015,3,4,65560
112,Backend Engineer,IT Department,2015,3,-99,-99,5,74053
113,Data Analyst II,Analytics Department,2011,10,2017,11,6,117657
113,Data Scientist,Analytics Department,2017,11,-99,-99,7,151424
114,Associate Backend Engineer,IT Department,2009,1,2015,2,4,65610
114,Backend Engineer,IT Department,2015,2,-99,-99,5,74103
115,Associate Backend Engineer,IT Department,2011,9,2017,4,4,65641
115,Backend Engineer,IT Department,2017,4,-99,-99,5,74128
116,Associate Backend Engineer,IT Department,2013,12,2019,6,4,65672
116,Backend Engineer,IT Department,2019,6,-99,-99,5,74153
117,Backend Engineer II,IT Department,2017,10,-99,-99,6,93960
118,Associate Backend Engineer,IT Department,2011,5,2017,6,4,65716
118,Backend Engineer,IT Department,2017,6,-99,-99,5,74203
119,Associate Frontend Engineer,IT Department,2015,11,-99,-99,4,58929
120,Data Analyst II,Analytics Department,2016,9,-99,-99,6,117797
121,Associate Backend Engineer,IT Department,2014,10,-99,-99,4,65800
122,Associate Frontend Engineer,IT Department,2008,1,2014,1,4,58833
122,Frontend Engineer,IT Department,2014,1,2019,12,5,68462
122,Frontend Engineer II,IT Department,2019,12,-99,-99,6,93256
123,Frontend Engineer II,IT Department,2017,1,-99,-99,6,93231
124,Associate Backend Engineer,IT Department,2013,8,2019,12,4,65872
124,Backend Engineer,IT Department,2019,12,-99,-99,5,74353
125,Backend Engineer II,IT Department,2011,1,2017,2,6,94160
125,Sr Backend Engineer,IT Department,2017,2,-99,-99,7,124025
126,Associate Manager,Administration Department,2010,2,2016,12,7,100889
126,Assistant Manager,Administration Department,2016,12,-99,-99,8,117414
127,Frontend Engineer,IT Department,2009,8,2015,10,5,68337
127,Frontend Engineer II,IT Department,2015,10,-99,-99,6,93131
128,Associate Frontend Engineer,IT Department,2011,12,2017,10,4,58692
128,Frontend Engineer,IT Department,2017,10,-99,-99,5,68312
129,Frontend Engineer II,IT Department,2012,9,2018,7,6,93081
129,Sr Frontend Engineer,IT Department,2018,7,-99,-99,7,116957
130,Associate Data Analyst,Analytics Department,2010,4,2016,9,4,68122
130,Data Analyst,Analytics Department,2016,9,-99,-99,5,90744
131,Associate Data Analyst,Analytics Department,2009,10,2015,6,4,68137
131,Data Analyst,Analytics Department,2015,6,-99,-99,5,90764
132,Associate Data Analyst,Analytics Department,2014,12,-99,-99,4,68182
133,Backend Engineer II,IT Department,2011,11,2017,6,6,94360
133,Sr Backend Engineer,IT Department,2017,6,-99,-99,7,124225
134,Associate Data Analyst,Analytics Department,2005,7,2011,1,4,68177
134,Data Analyst,Analytics Department,2011,1,2016,1,5,90824
134,Data Analyst II,Analytics Department,2016,1,-99,-99,6,118077
135,Backend Engineer II,IT Department,2011,4,2017,9,6,94410
135,Sr Backend Engineer,IT Department,2017,9,-99,-99,7,124275
136,Backend Engineer,IT Department,2009,2,2015,2,5,74653
136,Backend Engineer II,IT Department,2015,2,-99,-99,6,94435
137,Data Analyst II,Analytics Department,2011,9,2017,2,6,118137
137,Data Scientist,Analytics Department,2017,2,-99,-99,7,151904
138,Associate Data Analyst,Analytics Department,2011,7,2017,12,4,68287
138,Data Analyst,Analytics Department,2017,12,-99,-99,5,90904
139,Associate Frontend Engineer,IT Department,2014,8,-99,-99,4,58426
140,Data Analyst II,Analytics Department,2014,11,-99,-99,6,118197
141,Associate Manager,Administration Department,2013,3,2019,2,7,101432
141,Assistant Manager,Administration Department,2019,2,-99,-99,8,117714
142,Associate Manager,Administration Department,2011,6,2017,2,7,101455
142,Assistant Manager,Administration Department,2017,2,-99,-99,8,117734
143,Frontend Engineer II,IT Department,2010,1,2016,11,6,92731
143,Sr Frontend Engineer,IT Department,2016,11,-99,-99,7,116607
144,Backend Engineer II,IT Department,2010,4,2016,1,6,94635
144,Sr Backend Engineer,IT Department,2016,1,-99,-99,7,124500
145,Backend Engineer II,IT Department,2015,2,-99,-99,6,94660
146,Associate Data Analyst,Analytics Department,2010,8,2016,9,4,68442
146,Data Analyst,Analytics Department,2016,9,-99,-99,5,91064
147,Backend Engineer II,IT Department,2017,3,-99,-99,6,94710
148,Associate Data Analyst,Analytics Department,2009,6,2015,12,4,68477
148,Data Analyst,Analytics Department,2015,12,-99,-99,5,91104
149,Associate Data Analyst,Analytics Department,2011,2,2017,4,4,68507
149,Data Analyst,Analytics Department,2017,4,-99,-99,5,91124
150,Associate Data Analyst,Analytics Department,2006,8,2012,5,4,68502
150,Data Analyst,Analytics Department,2012,5,2017,11,5,91144
150,Data Analyst II,Analytics Department,2017,11,-99,-99,6,118397
151,Backend Engineer II,IT Department,2011,4,2017,8,6,94810
151,Sr Backend Engineer,IT Department,2017,8,-99,-99,7,124675
152,Associate Data Analyst,Analytics Department,2006,4,2012,5,4,68542
152,Data Analyst,Analytics Department,2012,5,2017,3,5,91184
152,Data Analyst II,Analytics Department,2017,3,-99,-99,6,118437
153,Associate Data Analyst,Analytics Department,2010,11,2016,8,4,68582
153,Data Analyst,Analytics Department,2016,8,-99,-99,5,91204
154,Associate Frontend Engineer,IT Department,2010,7,2016,10,4,58039
154,Frontend Engineer,IT Department,2016,10,-99,-99,5,67662
155,Manager,Administration Department,2010,2,2016,4,9,161686
155,Sr Manager,Administration Department,2016,4,-99,-99,10,211015
156,Associate Manager,Administration Department,2011,1,2017,6,7,101945
156,Assistant Manager,Administration Department,2017,6,-99,-99,8,118014
157,Data Analyst II,Analytics Department,2011,12,2017,9,6,118537
157,Data Scientist,Analytics Department,2017,9,-99,-99,7,152304
158,Associate Backend Engineer,IT Department,2013,5,2019,11,4,66722
158,Backend Engineer,IT Department,2019,11,-99,-99,5,75203
159,Associate Backend Engineer,IT Department,2008,9,2014,5,4,66732
159,Backend Engineer,IT Department,2014,5,2019,1,5,75228
159,Backend Engineer II,IT Department,2019,1,-99,-99,6,95010
160,Associate Frontend Engineer,IT Department,2010,12,2016,6,4,57889
160,Frontend Engineer,IT Department,2016,6,-99,-99,5,67512
161,Associate Data Analyst,Analytics Department,2013,12,2019,9,4,68757
161,Data Analyst,Analytics Department,2019,9,-99,-99,5,91364
162,Associate Manager,Administration Department,2010,2,2016,2,7,102149
162,Assistant Manager,Administration Department,2016,2,-99,-99,8,118134
163,Associate Backend Engineer,IT Department,2014,2,-99,-99,4,66850
164,Associate Data Analyst,Analytics Department,2010,8,2016,10,4,68802
164,Data Analyst,Analytics Department,2016,10,-99,-99,5,91424
165,Backend Engineer II,IT Department,2011,6,2017,12,6,95160
165,Sr Backend Engineer,IT Department,2017,12,-99,-99,7,125025
166,Frontend Engineer II,IT Department,2012,4,2018,8,6,92156
166,Sr Frontend Engineer,IT Department,2018,8,-99,-99,7,116032
167,Frontend Engineer II,IT Department,2011,3,2017,4,6,92131
167,Sr Frontend Engineer,IT Department,2017,4,-99,-99,7,116007
168,Associate Backend Engineer,IT Department,2010,4,2016,8,4,66963
168,Backend Engineer,IT Department,2016,8,-99,-99,5,75453
169,Data Analyst,Analytics Department,2008,4,2014,10,5,91524
169,Data Analyst II,Analytics Department,2014,10,2019,3,6,118777
169,Data Scientist,Analytics Department,2019,3,-99,-99,7,152544
170,Associate Data Analyst,Analytics Department,2008,2,2014,2,4,68912
170,Data Analyst,Analytics Department,2014,2,2019,4,5,91544
170,Data Analyst II,Analytics Department,2019,4,-99,-99,6,118797
171,Backend Engineer II,IT Department,2012,12,2018,3,6,95310
171,Sr Backend Engineer,IT Department,2018,3,-99,-99,7,125175
172,Backend Engineer II,IT Department,2015,8,-99,-99,6,95335
173,Associate Backend Engineer,IT Department,2010,7,2016,7,4,67088
173,Backend Engineer,IT Department,2016,7,-99,-99,5,75578
174,Backend Engineer II,IT Department,2011,12,2017,9,6,95385
174,Sr Backend Engineer,IT Department,2017,9,-99,-99,7,125250
175,Associate Frontend Engineer,IT Department,2013,9,2019,5,4,57523
175,Frontend Engineer,IT Department,2019,5,-99,-99,5,67137
176,Associate Backend Engineer,IT Department,2011,11,2017,1,4,67166
176,Backend Engineer,IT Department,2017,1,-99,-99,5,75653
177,Data Analyst II,Analytics Department,2011,11,2017,12,6,118937
177,Data Scientist,Analytics Department,2017,12,-99,-99,7,152704
178,Associate Backend Engineer,IT Department,2011,8,2017,7,4,67216
178,Backend Engineer,IT Department,2017,7,-99,-99,5,75703
179,Associate Data Analyst,Analytics Department,2013,9,2019,11,4,69117
179,Data Analyst,Analytics Department,2019,11,-99,-99,5,91724
180,Associate Backend Engineer,IT Department,2014,12,-99,-99,4,67275
181,Associate Backend Engineer,IT Department,2008,7,2014,3,4,67282
181,Backend Engineer,IT Department,2014,3,2019,9,5,75778
181,Backend Engineer II,IT Department,2019,9,-99,-99,6,95560
182,Associate Data Analyst,Analytics Department,2008,12,2014,10,4,69152
182,Data Analyst,Analytics Department,2014,10,2019,2,5,91784
182,Data Analyst II,Analytics Department,2019,2,-99,-99,6,119037
183,Data Analyst II,Analytics Department,2016,7,-99,-99,6,119057
184,Associate Frontend Engineer,IT Department,2013,4,2019,7,4,57298
184,Frontend Engineer,IT Department,2019,7,-99,-99,5,66912
185,Manager,Administration Department,2012,12,2018,7,9,162286
185,Sr Manager,Administration Department,2018,7,-99,-99,10,211615
186,Associate Backend Engineer,IT Department,2015,4,-99,-99,4,67428
187,Associate Backend Engineer,IT Department,2015,7,-99,-99,4,67453
188,Associate Backend Engineer,IT Department,2009,11,2015,3,4,67460
188,Backend Engineer,IT Department,2015,3,-99,-99,5,75953
189,Associate Frontend Engineer,IT Department,2009,5,2015,2,4,57161
189,Frontend Engineer,IT Department,2015,2,-99,-99,5,66787
190,Associate Data Analyst,Analytics Department,2007,1,2013,8,4,69307
190,Data Analyst,Analytics Department,2013,8,2018,11,5,91944
190,Data Analyst II,Analytics Department,2018,11,-99,-99,6,119197
191,Backend Engineer II,IT Department,2016,10,-99,-99,6,95810
192,Associate Frontend Engineer,IT Department,2006,3,2012,12,4,57077
192,Frontend Engineer,IT Department,2012,12,2017,11,5,66712
192,Frontend Engineer II,IT Department,2017,11,-99,-99,6,91506
193,Associate Backend Engineer,IT Department,2010,2,2016,11,4,67588
193,Backend Engineer,IT Department,2016,11,-99,-99,5,76078
194,Associate Data Analyst,Analytics Department,2013,7,2019,2,4,69417
194,Data Analyst,Analytics Department,2019,2,-99,-99,5,92024
195,Data Analyst II,Analytics Department,2011,9,2017,4,6,119297
195,Data Scientist,Analytics Department,2017,4,-99,-99,7,153064
196,Associate Data Analyst,Analytics Department,2015,7,-99,-99,4,69467
197,Data Analyst II,Analytics Department,2015,6,-99,-99,6,119337
198,Manager,Administration Department,2012,2,2018,11,9,162546
198,Sr Manager,Administration Department,2018,11,-99,-99,10,211875
199,Backend Engineer II,IT Department,2011,6,2017,11,6,96010
199,Sr Backend Engineer,IT Department,2017,11,-99,-99,7,125875
200,Backend Engineer II,IT Department,2016,7,-99,-99,6,96035
201,Associate Backend Engineer,IT Department,2013,9,2019,5,4,67797
201,Backend Engineer,IT Department,2019,5,-99,-99,5,76278
202,Associate Frontend Engineer,IT Department,2007,4,2013,1,4,56830
202,Frontend Engineer,IT Department,2013,1,2018,2,5,66462
202,Frontend Engineer II,IT Department,2018,2,-99,-99,6,91256
203,Backend Engineer II,IT Department,2011,1,2017,1,6,96110
203,Sr Backend Engineer,IT Department,2017,1,-99,-99,7,125975
204,Backend Engineer II,IT Department,2015,6,-99,-99,6,96135
205,Manager,Administration Department,2011,5,2017,10,9,162686
205,Sr Manager,Administration Department,2017,10,-99,-99,10,212015
206,Manager,Administration Department,2016,10,-99,-99,9,162706
207,Data Analyst II,Analytics Department,2012,4,2018,4,6,119537
207,Data Scientist,Analytics Department,2018,4,-99,-99,7,153304
208,Backend Engineer II,IT Department,2015,2,-99,-99,6,96235
209,Associate Data Analyst,Analytics Department,2011,10,2017,5,4,69707
209,Data Analyst,Analytics Department,2017,5,-99,-99,5,92324
210,Backend Engineer II,IT Department,2010,7,2016,4,6,96285
210,Sr Backend Engineer,IT Department,2016,4,-99,-99,7,126150
211,Associate Data Analyst,Analytics Department,2008,8,2014,1,4,69732
211,Data Analyst,Analytics Department,2014,1,2019,5,5,92364
211,Data Analyst II,Analytics Department,2019,5,-99,-99,6,119617
212,Backend Engineer II,IT Department,2012,12,2018,2,6,96335
212,Sr Backend Engineer,IT Department,2018,2,-99,-99,7,126200
213,Frontend Engineer II,IT Department,2015,8,-99,-99,6,90981
214,Associate Backend Engineer,IT Department,2007,8,2013,10,4,68104
214,Backend Engineer,IT Department,2013,10,2018,12,5,76603
214,Backend Engineer II,IT Department,2018,12,-99,-99,6,96385
215,Associate Frontend Engineer,IT Department,2010,8,2016,6,4,56514
215,Frontend Engineer,IT Department,2016,6,-99,-99,5,66137
216,Associate Backend Engineer,IT Department,2012,7,2018,4,4,68169
216,Backend Engineer,IT Department,2018,4,-99,-99,5,76653
217,Backend Engineer II,IT Department,2016,7,-99,-99,6,96460
218,Associate Data Analyst,Analytics Department,2013,12,2019,7,4,69897
218,Data Analyst,Analytics Department,2019,7,-99,-99,5,92504
219,Associate Data Analyst,Analytics Department,2017,12,-99,-99,4,69937
220,Associate Frontend Engineer,IT Department,2010,5,2016,8,4,56389
220,Frontend Engineer,IT Department,2016,8,-99,-99,5,66012
221,Associate Backend Engineer,IT Department,2015,6,-99,-99,4,68303
222,Associate Data Analyst,Analytics Department,2010,8,2016,5,4,69962
222,Data Analyst,Analytics Department,2016,5,-99,-99,5,92584
223,Backend Engineer II,IT Department,2011,1,2017,7,6,96610
223,Sr Backend Engineer,IT Department,2017,7,-99,-99,7,126475
224,Backend Engineer II,IT Department,2011,7,2017,3,6,96635
224,Sr Backend Engineer,IT Department,2017,3,-99,-99,7,126500
225,Associate Backend Engineer,IT Department,2013,8,2019,1,4,68397
225,Backend Engineer,IT Department,2019,1,-99,-99,5,76878
226,Associate Backend Engineer,IT Department,2009,11,2015,10,4,68410
226,Backend Engineer,IT Department,2015,10,-99,-99,5,76903
