id,job_title,department,p_start,start_month,p_end,end_month
85,Data Analyst,Analytics Department,2011.0,1,2016.0,12
85,Data Analyst II,Analytics Department,2016.0,12,-99.0,9
86,Data Analyst II,Analytics Department,2012.0,6,2018.0,5
86,Data Scientist,Analytics Department,2018.0,5,-99.0,9
87,Associate Backend Engineer,Analytics Department,2006.0,5,2012.0,12
87,Backend Engineer,Analytics Department,2012.0,12,2017.0,1
87,Backend Engineer II,Analytics Department,2017.0,1,-99.0,1
88,Associate Data Analyst,Analytics Department,2010.0,1,2016.0,5
88,Data Analyst,Analytics Department,2016.0,5,-99.0,3
89,Associate Backend Engineer,Analytics Department,2009.0,3,2015.0,11
89,Backend Engineer,Analytics Department,2015.0,11,-99.0,10
90,Backend Engineer,Analytics Department,2008.0,12,2014.0,6
90,Backend Engineer II,Analytics Department,2014.0,6,2019.0,1
90,Sr Backend Engineer,Analytics Department,2019.0,1,-99.0,4
91,Associate Manager,Administration Department,2006.0,4,2012.0,5
91,Assistant Manager,Administration Department,2012.0,5,2017.0,12
91,Manager,Administration Department,2017.0,12,-99.0,5
92,Jr Frontend Engineer,IT Department,2013.0,12,2019.0,9
92,Associate Frontend Engineer,IT Department,2019.0,9,-99.0,3
93,Backend Engineer II,IT Department,2012.0,5,2018.0,7
93,Team Lead,IT Department,2018.0,7,-99.0,9
94,Jr Backend Engineer,Analytics Department,2013.0,5,2019.0,4
94,Associate Backend Engineer,Analytics Department,2019.0,4,-99.0,2
95,Frontend Engineer II,IT Department,2011.0,6,2017.0,12
95,Sr Frontend Engineer,IT Department,2017.0,12,-99.0,5
96,Backend Engineer II,Analytics Department,2011.0,7,2017.0,5
96,Team Lead,Analytics Department,2017.0,5,-99.0,1
97,Backend Engineer II,IT Department,2010.0,8,2016.0,2
97,Team Lead,IT Department,2016.0,2,-99.0,7
98,Data Analyst II,Analytics Department,2015.0,12,-99.0,11
99,Data Analyst II,Analytics Department,2011.0,3,2017.0,12
99,Data Scientist,Analytics Department,2017.0,12,-99.0,12
100,Associate Backend Engineer,Analytics Department,2015.0,7,-99.0,5
101,Associate Backend Engineer,IT Department,2012.0,12,2018.0,11
101,Backend Engineer,IT Department,2018.0,11,-99.0,10
102,Associate Data Analyst,Analytics Department,2014.0,12,-99.0,5
103,Associate Backend Engineer,Analytics Department,2008.0,3,2014.0,12
103,Backend Engineer,Analytics Department,2014.0,12,2019.0,9
103,Backend Engineer II,Analytics Department,2019.0,9,-99.0,5
104,Jr Backend Engineer,Analytics Department,2013.0,12,2019.0,8
104,Associate Backend Engineer,Analytics Department,2019.0,8,-99.0,9
105,Backend Engineer II,IT Department,2010.0,8,2016.0,7
105,Team Lead,IT Department,2016.0,7,-99.0,7
106,Associate Backend Engineer,Analytics Department,2016.0,1,-99.0,11
107,Frontend Engineer II,IT Department,2012.0,9,2018.0,12
107,Sr Frontend Engineer,IT Department,2018.0,12,-99.0,11
108,Data Analyst II,Analytics Department,2011.0,10,2017.0,1
108,Data Scientist,Analytics Department,2017.0,1,-99.0,1
109,Associate Frontend Engineer,IT Department,2015.0,7,-99.0,10
110,Associate Backend Engineer,Analytics Department,2005.0,2,2011.0,5
110,Backend Engineer,Analytics Department,2011.0,5,2016.0,5
110,Backend Engineer II,Analytics Department,2016.0,5,-99.0,11
111,Backend Engineer II,Analytics Department,2015.0,8,-99.0,12
112,Associate Backend Engineer,Analytics Department,2009.0,12,2015.0,3
112,Backend Engineer,Analytics Department,2015.0,3,-99.0,3
113,Data Analyst II,Analytics Department,2011.0,10,2017.0,11
113,Data Scientist,Analytics Department,2017.0,11,-99.0,11
114,Associate Backend Engineer,Analytics Department,2010.0,1,2016.0,2
114,Backend Engineer,Analytics Department,2016.0,2,-99.0,7
115,Associate Backend Engineer,IT Department,2011.0,9,2017.0,4
115,Backend Engineer,IT Department,2017.0,4,-99.0,10
116,Jr Backend Engineer,IT Department,2013.0,12,2019.0,6
116,Associate Backend Engineer,IT Department,2019.0,6,-99.0,6
117,Backend Engineer II,Analytics Department,2012.0,10,2018.0,1
117,Team Lead,Analytics Department,2018.0,1,-99.0,6
118,Associate Backend Engineer,IT Department,2012.0,5,2018.0,6
118,Backend Engineer,IT Department,2018.0,6,-99.0,8
119,Associate Frontend Engineer,IT Department,2016.0,11,-99.0,6
120,Data Analyst II,Analytics Department,2016.0,9,-99.0,6
121,Associate Backend Engineer,Analytics Department,2015.0,10,-99.0,11
122,Associate Frontend Engineer,IT Department,2008.0,1,2014.0,1
122,Frontend Engineer,IT Department,2014.0,1,2019.0,12
122,Frontend Engineer II,IT Department,2019.0,12,-99.0,1
123,Frontend Engineer II,IT Department,2017.0,1,-99.0,10
124,Associate Backend Engineer,IT Department,2014.0,8,-99.0,12
125,Backend Engineer II,Analytics Department,2011.0,1,2017.0,2
125,Team Lead,Analytics Department,2017.0,2,-99.0,9
126,Associate Manager,Administration Department,2010.0,2,2016.0,12
126,Assistant Manager,Administration Department,2016.0,12,-99.0,4
127,Frontend Engineer,IT Department,2009.0,8,2015.0,10
127,Frontend Engineer II,IT Department,2015.0,10,-99.0,8
128,Associate Frontend Engineer,IT Department,2012.0,12,2018.0,10
128,Frontend Engineer,IT Department,2018.0,10,-99.0,5
129,Frontend Engineer II,IT Department,2012.0,9,2018.0,7
129,Sr Frontend Engineer,IT Department,2018.0,7,-99.0,7
130,Associate Data Analyst,Analytics Department,2011.0,4,2017.0,9
130,Data Analyst,Analytics Department,2017.0,9,-99.0,7
131,Associate Data Analyst,Analytics Department,2009.0,10,2015.0,6
131,Data Analyst,Analytics Department,2015.0,6,-99.0,8
132,Associate Data Analyst,Analytics Department,2015.0,12,-99.0,2
133,Backend Engineer II,Analytics Department,2011.0,11,2017.0,6
133,Team Lead,Analytics Department,2017.0,6,-99.0,6
134,Associate Data Analyst,Analytics Department,2005.0,7,2011.0,1
134,Data Analyst,Analytics Department,2011.0,1,2016.0,1
134,Data Analyst II,Analytics Department,2016.0,1,-99.0,12
135,Backend Engineer II,IT Department,2011.0,4,2017.0,9
135,Team Lead,IT Department,2017.0,9,-99.0,10
136,Backend Engineer,Analytics Department,2009.0,2,2015.0,2
136,Backend Engineer II,Analytics Department,2015.0,2,-99.0,7
137,Data Analyst II,Analytics Department,2011.0,9,2017.0,2
137,Data Scientist,Analytics Department,2017.0,2,-99.0,6
138,Associate Data Analyst,Analytics Department,2011.0,7,2017.0,12
138,Data Analyst,Analytics Department,2017.0,12,-99.0,9
139,Associate Frontend Engineer,IT Department,2015.0,8,-99.0,12
140,Data Analyst II,Analytics Department,2014.0,11,-99.0,4
141,Associate Manager,Administration Department,2014.0,3,-99.0,2
142,Associate Manager,Administration Department,2012.0,6,2018.0,2
142,Assistant Manager,Administration Department,2018.0,2,-99.0,11
143,Frontend Engineer II,IT Department,2010.0,1,2016.0,11
143,Sr Frontend Engineer,IT Department,2016.0,11,-99.0,8
144,Backend Engineer II,Analytics Department,2010.0,4,2016.0,1
144,Team Lead,Analytics Department,2016.0,1,-99.0,2
145,Backend Engineer II,Analytics Department,2015.0,2,-99.0,8
146,Associate Data Analyst,Analytics Department,2011.0,8,2017.0,9
146,Data Analyst,Analytics Department,2017.0,9,-99.0,1
147,Backend Engineer II,IT Department,2017.0,3,-99.0,1
148,Associate Data Analyst,Analytics Department,2010.0,6,2016.0,12
148,Data Analyst,Analytics Department,2016.0,12,-99.0,9
149,Associate Data Analyst,Analytics Department,2012.0,2,2018.0,4
149,Data Analyst,Analytics Department,2018.0,4,-99.0,3
150,Associate Data Analyst,Analytics Department,2006.0,8,2012.0,5
150,Data Analyst,Analytics Department,2012.0,5,2017.0,11
150,Data Analyst II,Analytics Department,2017.0,11,-99.0,9
151,Backend Engineer II,Analytics Department,2014.0,4,-99.0,8
152,Associate Data Analyst,Analytics Department,2006.0,4,2012.0,5
152,Data Analyst,Analytics Department,2012.0,5,2017.0,3
152,Data Analyst II,Analytics Department,2017.0,3,-99.0,11
153,Associate Data Analyst,Analytics Department,2011.0,11,2017.0,8
153,Data Analyst,Analytics Department,2017.0,8,-99.0,1
154,Associate Frontend Engineer,IT Department,2010.0,7,2016.0,10
154,Frontend Engineer,IT Department,2016.0,10,-99.0,8
155,Sr Manager,Administration Department,2010.0,2,2016.0,4
155,,Administration Department,2016.0,4,-99.0,6
156,Associate Manager,Administration Department,2011.0,1,2017.0,6
156,Assistant Manager,Administration Department,2017.0,6,-99.0,3
157,Data Analyst II,Analytics Department,2014.0,12,-99.0,9
158,Jr Backend Engineer,IT Department,2013.0,5,2019.0,11
158,Associate Backend Engineer,IT Department,2019.0,11,-99.0,8
159,Associate Backend Engineer,IT Department,2008.0,9,2014.0,5
159,Backend Engineer,IT Department,2014.0,5,2019.0,1
159,Backend Engineer II,IT Department,2019.0,1,-99.0,6
160,Associate Frontend Engineer,IT Department,2010.0,12,2016.0,6
160,Frontend Engineer,IT Department,2016.0,6,-99.0,2
161,Jr Data Analyst,Analytics Department,2013.0,12,2019.0,9
161,Associate Data Analyst,Analytics Department,2019.0,9,-99.0,12
162,Associate Manager,Administration Department,2010.0,2,2016.0,2
162,Assistant Manager,Administration Department,2016.0,2,-99.0,7
163,Associate Backend Engineer,Analytics Department,2015.0,2,-99.0,3
164,Associate Data Analyst,Analytics Department,2010.0,8,2016.0,10
164,Data Analyst,Analytics Department,2016.0,10,-99.0,11
165,Backend Engineer,IT Department,2008.0,9,2014.0,12
165,Backend Engineer II,IT Department,2014.0,12,2019.0,7
165,Sr Backend Engineer,IT Department,2019.0,7,-99.0,11
166,Frontend Engineer II,IT Department,2012.0,4,2018.0,8
166,Sr Frontend Engineer,IT Department,2018.0,8,-99.0,8
167,Frontend Engineer II,IT Department,2011.0,3,2017.0,4
167,Sr Frontend Engineer,IT Department,2017.0,4,-99.0,3
168,Associate Backend Engineer,IT Department,2011.0,4,2017.0,8
168,Backend Engineer,IT Department,2017.0,8,-99.0,9
169,Data Analyst,Analytics Department,2008.0,4,2014.0,10
169,Data Analyst II,Analytics Department,2014.0,10,2019.0,3
169,Data Scientist,Analytics Department,2019.0,3,-99.0,9
170,Associate Data Analyst,Analytics Department,2008.0,2,2014.0,2
170,Data Analyst,Analytics Department,2014.0,2,2019.0,4
170,Data Analyst II,Analytics Department,2019.0,4,-99.0,10
171,Backend Engineer II,Analytics Department,2012.0,12,2018.0,3
171,Team Lead,Analytics Department,2018.0,3,-99.0,8
172,Backend Engineer II,Analytics Department,2010.0,8,2016.0,12
172,Team Lead,Analytics Department,2016.0,12,-99.0,6
173,Associate Backend Engineer,IT Department,2011.0,7,2017.0,7
173,Backend Engineer,IT Department,2017.0,7,-99.0,2
174,Backend Engineer II,Analytics Department,2011.0,12,2017.0,9
174,Team Lead,Analytics Department,2017.0,9,-99.0,3
175,Associate Frontend Engineer,IT Department,2014.0,9,-99.0,5
176,Associate Backend Engineer,IT Department,2011.0,11,2017.0,1
176,Backend Engineer,IT Department,2017.0,1,-99.0,7
177,Data Analyst II,Analytics Department,2011.0,11,2017.0,12
177,Data Scientist,Analytics Department,2017.0,12,-99.0,9
178,Associate Backend Engineer,IT Department,2011.0,8,2017.0,7
178,Backend Engineer,IT Department,2017.0,7,-99.0,8
179,Associate Data Analyst,Analytics Department,2014.0,9,-99.0,11
180,Jr Backend Engineer,Analytics Department,2014.0,12,-99.0,7
181,Associate Backend Engineer,Analytics Department,2008.0,7,2014.0,3
181,Backend Engineer,Analytics Department,2014.0,3,2019.0,9
181,Backend Engineer II,Analytics Department,2019.0,9,-99.0,2
182,Associate Data Analyst,Analytics Department,2008.0,12,2014.0,10
182,Data Analyst,Analytics Department,2014.0,10,2019.0,2
182,Data Analyst II,Analytics Department,2019.0,2,-99.0,11
183,Data Analyst II,Analytics Department,2016.0,7,-99.0,12
184,Associate Frontend Engineer,IT Department,2014.0,4,-99.0,7
185,Sr Manager,Administration Department,2012.0,12,2018.0,7
185,,Administration Department,2018.0,7,-99.0,7
186,Associate Backend Engineer,IT Department,2016.0,4,-99.0,2
187,Jr Backend Engineer,Analytics Department,2015.0,7,-99.0,6
188,Associate Backend Engineer,IT Department,2009.0,11,2015.0,3
188,Backend Engineer,IT Department,2015.0,3,-99.0,3
189,Associate Frontend Engineer,IT Department,2009.0,5,2015.0,2
189,Frontend Engineer,IT Department,2015.0,2,-99.0,9
190,Associate Data Analyst,Analytics Department,2007.0,1,2013.0,8
190,Data Analyst,Analytics Department,2013.0,8,2018.0,11
190,Data Analyst II,Analytics Department,2018.0,11,-99.0,5
191,Backend Engineer II,Analytics Department,2016.0,10,-99.0,3
192,Associate Frontend Engineer,IT Department,2006.0,3,2012.0,12
192,Frontend Engineer,IT Department,2012.0,12,2017.0,11
192,Frontend Engineer II,IT Department,2017.0,11,-99.0,8
193,Associate Backend Engineer,IT Department,2010.0,2,2016.0,11
193,Backend Engineer,IT Department,2016.0,11,-99.0,1
194,Associate Data Analyst,Analytics Department,2014.0,7,-99.0,2
195,Data Analyst II,Analytics Department,2011.0,9,2017.0,4
195,Data Scientist,Analytics Department,2017.0,4,-99.0,12
196,Associate Data Analyst,Analytics Department,2016.0,7,-99.0,11
197,Data Analyst II,Analytics Department,2015.0,6,-99.0,10
198,Sr Manager,Administration Department,2012.0,2,2018.0,11
198,,Administration Department,2018.0,11,-99.0,12
199,Backend Engineer II,IT Department,2011.0,6,2017.0,11
199,Team Lead,IT Department,2017.0,11,-99.0,8
200,Backend Engineer II,Analytics Department,2016.0,7,-99.0,9
201,Associate Backend Engineer,IT Department,2014.0,9,-99.0,5
202,Associate Frontend Engineer,IT Department,2007.0,4,2013.0,1
202,Frontend Engineer,IT Department,2013.0,1,2018.0,2
202,Frontend Engineer II,IT Department,2018.0,2,-99.0,3
203,Backend Engineer II,Analytics Department,2011.0,1,2017.0,1
203,Team Lead,Analytics Department,2017.0,1,-99.0,5
204,Backend Engineer II,IT Department,2010.0,6,2016.0,1
204,Team Lead,IT Department,2016.0,1,-99.0,2
205,Sr Manager,Administration Department,2011.0,5,2017.0,10
205,,Administration Department,2017.0,10,-99.0,5
206,Sr Manager,Administration Department,2016.0,10,-99.0,2
207,Data Analyst II,Analytics Department,2012.0,4,2018.0,4
207,Data Scientist,Analytics Department,2018.0,4,-99.0,6
208,Backend Engineer II,IT Department,2010.0,2,2016.0,8
208,Team Lead,IT Department,2016.0,8,-99.0,4
209,Associate Data Analyst,Analytics Department,2012.0,10,2018.0,5
209,Data Analyst,Analytics Department,2018.0,5,-99.0,6
210,Backend Engineer II,Analytics Department,2010.0,7,2016.0,4
210,Team Lead,Analytics Department,2016.0,4,-99.0,7
211,Associate Data Analyst,Analytics Department,2008.0,8,2014.0,1
211,Data Analyst,Analytics Department,2014.0,1,2019.0,5
211,Data Analyst II,Analytics Department,2019.0,5,-99.0,6
212,Backend Engineer II,IT Department,2012.0,12,2018.0,2
212,Team Lead,IT Department,2018.0,2,-99.0,3
213,Frontend Engineer II,IT Department,2015.0,8,-99.0,9
214,Associate Backend Engineer,IT Department,2007.0,8,2013.0,10
214,Backend Engineer,IT Department,2013.0,10,2018.0,12
214,Backend Engineer II,IT Department,2018.0,12,-99.0,9
215,Associate Frontend Engineer,IT Department,2010.0,8,2016.0,6
215,Frontend Engineer,IT Department,2016.0,6,-99.0,5
216,Associate Backend Engineer,IT Department,2013.0,7,2019.0,4
216,Backend Engineer,IT Department,2019.0,4,-99.0,3
217,Backend Engineer II,Analytics Department,2016.0,7,-99.0,4
218,Jr Data Analyst,Analytics Department,2013.0,12,2019.0,7
218,Associate Data Analyst,Analytics Department,2019.0,7,-99.0,6
219,Jr Data Analyst,Analytics Department,2017.0,12,-99.0,9
220,Associate Frontend Engineer,IT Department,2010.0,5,2016.0,8
220,Frontend Engineer,IT Department,2016.0,8,-99.0,11
221,Associate Backend Engineer,IT Department,2016.0,6,-99.0,6
222,Associate Data Analyst,Analytics Department,2010.0,8,2016.0,5
222,Data Analyst,Analytics Department,2016.0,5,-99.0,8
223,Backend Engineer II,IT Department,2011.0,1,2017.0,7
223,Team Lead,IT Department,2017.0,7,-99.0,8
224,Backend Engineer II,Analytics Department,2011.0,7,2017.0,3
224,Team Lead,Analytics Department,2017.0,3,-99.0,2
225,Associate Backend Engineer,IT Department,2014.0,8,-99.0,1
226,Associate Backend Engineer,Analytics Department,2009.0,11,2015.0,10
226,Backend Engineer,Analytics Department,2015.0,10,-99.0,10
227,Associate Backend Engineer,IT Department,2014.0,9,-99.0,10
228,Frontend Engineer II,IT Department,2013.0,3,2019.0,1
228,Sr Frontend Engineer,IT Department,2019.0,1,-99.0,9
229,Associate Data Analyst,Administration Department,2007.0,4,2013.0,5
229,Data Analyst,Administration Department,2013.0,5,2018.0,9
229,Data Analyst II,Administration Department,2018.0,9,-99.0,5
230,Backend Engineer II,IT Department,2013.0,11,2019.0,7
230,Team Lead,IT Department,2019.0,7,-99.0,3
231,Associate Data Analyst,Analytics Department,2007.0,10,2013.0,3
231,Data Analyst,Analytics Department,2013.0,3,2018.0,12
231,Data Analyst II,Analytics Department,2018.0,12,-99.0,10
232,Associate Backend Engineer,IT Department,2012.0,3,2018.0,6
232,Backend Engineer,IT Department,2018.0,6,-99.0,5
233,Associate Data Analyst,Analytics Department,2009.0,3,2015.0,6
233,Data Analyst,Analytics Department,2015.0,6,-99.0,9
234,Frontend Engineer II,IT Department,2017.0,7,-99.0,6
235,Backend Engineer II,IT Department,2016.0,10,-99.0,2
236,Associate Backend Engineer,Analytics Department,2007.0,6,2013.0,8
236,Backend Engineer,Analytics Department,2013.0,8,2018.0,4
236,Backend Engineer II,Analytics Department,2018.0,4,-99.0,6
237,Backend Engineer II,Analytics Department,2011.0,5,2017.0,9
237,Team Lead,Analytics Department,2017.0,9,-99.0,8
238,Data Analyst II,Analytics Department,2011.0,11,2017.0,12
238,Data Scientist,Analytics Department,2017.0,12,-99.0,1
239,Frontend Engineer II,IT Department,2015.0,1,-99.0,2
240,Associate Data Analyst,Analytics Department,2015.0,3,-99.0,9
