id,degree_type,degree,major,edu_start,start_month,start_day,edu_end,end_month,end_day
34,Masters's Degree,Master of Business Administration,Operations,1988,8,14,1990,12,11
35,Bachelor's Degree,Bachelor of Arts,Geography,1992,8,6,1995,12,9
35,Masters's Degree,Master of Science,Managament,1996,8,27,1998,12,6
36,Bachelor's Degree,Bachelor of Science,Biology,1997,9,26,2001,4,12
36,PhD Degree,PhD,Communication,2001,8,12,2006,5,12
37,Bachelor's Degree,Bachelor of Business Administration,HR,1991,8,9,1995,12,12
38,Bachelor's Degree,Bachelor of Business Administration,Engineering,1990,1,13,1993,12,10
39,Bachelor's Degree,Bachelor of Technology,Engineering,1982,8,24,1985,12,13
40,Bachelor's Degree,Bachelor of Arts,Geography,1996,8,20,2000,5,19
41,Bachelor's Degree,Bachelor of Arts,Geography,1991,1,20,1994,12,20
42,Bachelor's Degree,Bachelor of Arts,Mathematics,1981,9,27,1986,7,14
43,Bachelor's Degree,Bachelor of Technology,Engineering,1988,9,21,1991,12,17
43,Masters's Degree,Master of Science,Business Analytics,1992,9,6,1994,12,21
44,Bachelor's Degree,Bachelor of Science,Physics,1985,2,24,1989,12,11
44,Masters's Degree,Master of Philosphy,History,1990,8,12,1992,7,24
45,Bachelor's Degree,Bachelor of Science,Physics,1981,9,17,1985,5,7
45,Masters's Degree,Master of Philosphy,History,1985,8,10,1986,12,17
46,Bachelor's Degree,Bachelor of Arts,History,1996,1,17,1999,12,16
47,Bachelor's Degree,Bachelor of Business Administration,Operations,1988,1,17,1992,5,16
47,Masters's Degree,Master of Science,Managament,1992,8,25,1994,12,17
48,Bachelor's Degree,Bachelor of Arts,Geography,2009,2,13,2013,12,14
48,Masters's Degree,Master of Business Administration,Operations,2014,1,8,2016,4,13
49,Bachelor's Degree,Bachelor of Technology,Engineering,2001,1,20,2004,12,16
50,Bachelor's Degree,Bachelor of Arts,Geography,2007,8,1,2011,5,15
50,Masters's Degree,Master of Philosphy,History,2011,8,25,2013,12,1
51,Bachelor's Degree,Bachelor of Arts,Commerce,1985,2,28,1989,5,8
51,Masters's Degree,Master of Business Administration,Finance,1989,8,3,1990,7,28
52,Bachelor's Degree,Bachelor of Business Administration,Operations,1988,5,8,1992,5,7
52,Masters's Degree,Master of Business Administration,Finance,1992,8,6,1994,7,8
53,Bachelor's Degree,Bachelor of Business Administration,HR,1995,2,3,1999,5,13
54,Bachelor's Degree,Bachelor of Business Administration,Operations,1986,8,21,1990,4,15
55,Bachelor's Degree,Bachelor of Science,Physics,2003,2,23,2007,4,20
55,PhD Degree,PhD,Sociology,2008,5,17,2013,4,15
56,Bachelor's Degree,Bachelor of Business Administration,Finance,1995,8,11,1998,12,14
56,Masters's Degree,Master of Science,Managament,1999,9,10,2001,12,11
57,Bachelor's Degree,Bachelor of Arts,History,1986,8,2,1989,12,15
57,PhD Degree,PhD,Communication,1990,1,16,1994,12,17
58,Bachelor's Degree,Bachelor of Arts,Mathematics,1991,1,19,1995,4,18
58,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1995,8,23,1999,5,16
59,Bachelor's Degree,Bachelor of Science,Chemistry,1999,1,11,2002,12,8
59,PhD Degree,Doctor of Philosophy PhD,English Language Studies,2003,2,23,2006,5,12
60,Bachelor's Degree,Bachelor of Science,Chemistry,1982,8,10,1987,7,7
60,Masters's Degree,Master of Business Administration,Finance,1987,8,15,1989,12,10
61,Bachelor's Degree,Bachelor of Science,Physics,2007,1,17,2012,7,9
62,Bachelor's Degree,Bachelor of Technology,Engineering,2002,8,11,2006,5,15
63,Bachelor's Degree,Bachelor of Business Administration,Operations,2000,1,15,2003,12,20
64,Bachelor's Degree,Bachelor of Arts,Geography,1999,8,12,2003,12,11
65,Bachelor's Degree,Bachelor of Arts,Geography,1992,8,7,1995,12,16
66,Bachelor's Degree,Bachelor of Arts,Commerce,1994,1,18,1998,4,16
67,Bachelor's Degree,Bachelor of Technology,Engineering,1990,8,27,1994,5,9
68,Bachelor's Degree,Bachelor of Science,Chemistry,2005,1,16,2009,5,12
69,Bachelor's Degree,Bachelor of Business Administration,Operations,1997,9,14,2001,12,20
70,Bachelor's Degree,Bachelor of Business Administration,Engineering,1986,8,21,1989,12,14
70,Masters's Degree,Master of Science,Business Analytics,1990,8,12,1992,12,21
71,Bachelor's Degree,Bachelor of Arts,Geography,2001,8,26,2004,12,11
71,Masters's Degree,Master of Science,Data Science,2005,8,25,2007,12,26
72,Bachelor's Degree,Bachelor of Technology,Engineering,1983,8,6,1987,12,15
72,Masters's Degree,Master of Science,Computer Science,1988,8,19,1990,12,6
73,Bachelor's Degree,Bachelor of Business Administration,Operations,1987,1,28,1990,12,19
74,Bachelor's Degree,Bachelor of Arts,Geography,2008,1,26,2011,12,8
75,Bachelor's Degree,Bachelor of Technology,Engineering,1990,1,14,1994,4,10
75,PhD Degree,Doctor of Philosophy PhD,English Language Studies,1995,8,7,1998,12,12
76,Bachelor's Degree,Bachelor of Arts,Geography,2005,2,21,2009,5,15
77,Bachelor's Degree,Bachelor of Science,Biology,2008,1,19,2012,5,15
78,Bachelor's Degree,Bachelor of Technology,Engineering,2008,1,1,2013,7,19
78,Masters's Degree,Master of Business Administration,Operations,2013,8,16,2015,5,1
79,Bachelor's Degree,Bachelor of Arts,Commerce,2006,9,13,2010,5,18
80,Bachelor's Degree,Bachelor of Arts,History,1987,2,4,1990,12,9
81,Bachelor's Degree,Bachelor of Technology,Engineering,1999,1,21,2003,5,10
81,Masters's Degree,Master of Science,Computer Science,2003,8,21,2005,5,21
82,Bachelor's Degree,Bachelor of Business Administration,Operations,1999,1,6,2003,5,15
82,Masters's Degree,Master of Business Administration,Finance,2003,8,28,2005,5,6
83,Bachelor's Degree,Bachelor of Technology,Engineering,1988,2,19,1994,7,9
83,PhD Degree,Doctor of Business Administration,Marketing,1996,8,5,2000,12,13
84,Bachelor's Degree,Bachelor of Engineering,Engineering,1997,8,12,2000,12,7
85,Bachelor's Degree,Bachelor of Arts,Mathematics,1987,1,8,1991,12,16
85,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1992,9,19,1995,12,14
86,Bachelor's Degree,Bachelor of Business Administration,Finance,2006,8,23,2009,12,10
86,PhD Degree,PhD,Management Studies,2010,1,5,2013,12,10
87,Bachelor's Degree,Bachelor of Business Administration,HR,2006,5,11,2011,7,17
87,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2012,8,15,2016,12,17
88,Bachelor's Degree,Bachelor of Business Administration,HR,1998,2,25,2003,7,18
88,Masters's Degree,Master of Business Administration,Finance,2003,8,15,2004,4,25
89,Bachelor's Degree,Bachelor of Arts,Mathematics,1992,1,14,1995,12,15
89,PhD Degree,PhD,Sociology,1996,1,25,2001,7,9
90,Bachelor's Degree,Bachelor of Arts,History,1985,9,6,1989,5,14
90,Masters's Degree,Master of Philosphy,History,1989,8,22,1990,12,6
90,PhD Degree,PhD,Sociology,1991,8,23,1995,12,14
91,Bachelor's Degree,Bachelor of Arts,Mathematics,1989,8,27,1993,12,8
92,Bachelor's Degree,Bachelor of Arts,Economics,1988,1,16,1992,12,12
92,Masters's Degree,Master of Business Administration,HR,1993,8,14,1995,5,16
93,Bachelor's Degree,Bachelor of Business Administration,Operations,1994,2,6,1998,5,15
93,Masters's Degree,Master of Science,Business Analytics,1998,8,16,2000,7,6
94,Bachelor's Degree,Bachelor of Engineering,Engineering,2002,1,19,2006,12,10
94,PhD Degree,PhD,Management Studies,2008,1,7,2013,5,16
95,Bachelor's Degree,Bachelor of Technology,Engineering,1999,1,2,2002,12,19
95,PhD Degree,Doctor of Philosophy PhD,English Language Studies,2003,1,5,2006,12,12
96,Bachelor's Degree,Bachelor of Arts,Economics,2003,8,24,2006,12,13
96,Masters's Degree,Master of Business Administration,Operations,2007,9,5,2010,12,24
97,Bachelor's Degree,Bachelor of Science,Biology,2006,1,5,2010,5,15
98,Bachelor's Degree,Bachelor of Business Administration,Operations,1991,1,23,1994,12,15
99,Bachelor's Degree,Bachelor of Arts,Economics,1996,2,5,2000,4,9
99,Masters's Degree,Master of Philosphy,Economics,2000,8,6,2001,7,5
99,PhD Degree,Doctor of Business Administration,HR,2003,8,27,2007,12,13
100,Bachelor's Degree,Bachelor of Arts,Geography,2002,8,7,2007,7,20
101,Bachelor's Degree,Bachelor of Engineering,Engineering,1994,1,26,1998,5,17
102,Bachelor's Degree,Bachelor of Business Administration,HR,2005,9,15,2011,7,15
102,Masters's Degree,Master of Business Administration,Finance,2011,8,4,2012,12,15
103,Bachelor's Degree,Bachelor of Technology,Engineering,2002,1,21,2006,5,11
104,Bachelor's Degree,Bachelor of Engineering,Engineering,1987,8,1,1990,12,7
104,PhD Degree,PhD,Communication,1992,2,7,1996,12,8
105,Bachelor's Degree,Bachelor of Business Administration,Operations,2009,2,5,2012,12,13
106,Bachelor's Degree,Bachelor of Technology,Engineering,1986,8,21,1989,12,12
107,Bachelor's Degree,Bachelor of Business Administration,HR,2003,8,13,2007,12,9
108,Bachelor's Degree,Bachelor of Arts,Economics,2000,8,12,2004,5,14
109,Bachelor's Degree,Bachelor of Science,Chemistry,2003,8,26,2007,12,11
109,Masters's Degree,Master of Business Administration,Finance,2008,8,12,2010,12,26
109,PhD Degree,PhD,Communication,2011,8,8,2015,12,19
110,Bachelor's Degree,Bachelor of Business Administration,Finance,1999,8,21,2003,5,12
111,Bachelor's Degree,Bachelor of Technology,Engineering,1989,8,2,1992,12,20
111,Masters's Degree,Master of Science,Business Analytics,1993,8,4,1995,12,2
112,Bachelor's Degree,Bachelor of Science,Chemistry,1995,2,4,1999,4,20
113,Bachelor's Degree,Bachelor of Arts,History,1987,1,14,1991,12,17
114,Bachelor's Degree,Bachelor of Business Administration,Finance,1995,1,21,1998,12,19
114,PhD Degree,PhD,Management Studies,1999,1,6,2003,5,18
115,Bachelor's Degree,Bachelor of Arts,Mathematics,1990,8,13,1994,4,11
115,Masters's Degree,Master of Science,Computer Science,1994,8,5,1995,12,13
116,Bachelor's Degree,Bachelor of Science,Biology,1998,8,17,2001,12,11
116,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2003,1,2,2007,12,15
117,Bachelor's Degree,Bachelor of Arts,Economics,2006,1,14,2009,12,8
118,Bachelor's Degree,Bachelor of Technology,Engineering,2005,1,3,2008,12,13
119,Bachelor's Degree,Bachelor of Arts,Commerce,1984,9,25,1987,12,15
120,Bachelor's Degree,Bachelor of Business Administration,Marketing,1989,2,15,1993,12,9
121,Bachelor's Degree,Bachelor of Business Administration,Operations,1986,1,24,1990,4,16
121,Masters's Degree,Master of Philosphy,English,1990,8,6,1991,5,24
122,Bachelor's Degree,Bachelor of Arts,Economics,2007,8,2,2011,12,18
122,Masters's Degree,Master of Science,Managament,2012,8,13,2014,12,2
123,Bachelor's Degree,Bachelor of Arts,Economics,2008,2,16,2012,12,18
124,Bachelor's Degree,Bachelor of Engineering,Engineering,1987,8,25,1990,12,16
124,Masters's Degree,Master of Science,Business Analytics,1991,9,9,1993,12,25
124,PhD Degree,Doctor of Philosophy PhD,Philosophy,1994,1,1,1997,5,10
125,Bachelor's Degree,Bachelor of Business Administration,HR,2004,2,10,2008,5,13
126,Bachelor's Degree,Bachelor of Arts,Geography,1989,1,23,1993,12,18
127,Bachelor's Degree,Bachelor of Technology,Engineering,2003,9,13,2007,12,14
128,Bachelor's Degree,Bachelor of Technology,Engineering,2001,2,23,2005,4,7
129,Bachelor's Degree,Bachelor of Science,Biology,2006,8,27,2009,12,7
130,Bachelor's Degree,Bachelor of Science,Biology,1992,8,14,1995,12,16
131,Bachelor's Degree,Bachelor of Business Administration,Engineering,2003,8,28,2007,12,14
131,Masters's Degree,Master of Business Administration,Finance,2008,8,27,2010,12,28
132,Bachelor's Degree,Bachelor of Science,Chemistry,2005,1,14,2010,7,20
132,PhD Degree,PhD,Sociology,2010,8,10,2014,12,15
133,Bachelor's Degree,Bachelor of Engineering,Engineering,1989,8,6,1992,12,12
134,Bachelor's Degree,Bachelor of Business Administration,Finance,1993,8,22,1997,5,16
135,Bachelor's Degree,Bachelor of Technology,Engineering,1984,1,1,1988,5,13
136,Bachelor's Degree,Bachelor of Technology,Engineering,1991,1,16,1995,4,19
136,Masters's Degree,Master of Business Administration,Finance,1995,8,6,1996,5,16
137,Bachelor's Degree,Bachelor of Engineering,Engineering,1988,1,18,1992,4,7
137,Masters's Degree,Master of Business Administration,Operations,1992,8,24,1993,5,18
138,Bachelor's Degree,Bachelor of Business Administration,Engineering,2004,2,2,2007,12,15
139,Bachelor's Degree,Bachelor of Technology,Engineering,1986,1,25,1991,7,7
139,Masters's Degree,Master of Science,Physics,1991,8,13,1995,5,25
140,Bachelor's Degree,Bachelor of Business Administration,Operations,2004,2,28,2008,5,8
141,Bachelor's Degree,Bachelor of Business Administration,Operations,1990,9,21,1993,12,20
141,Masters's Degree,Master of Philosphy,English,1994,8,8,1996,12,21
142,Bachelor's Degree,Bachelor of Technology,Engineering,1993,1,4,1996,12,16
143,Bachelor's Degree,Bachelor of Arts,Mathematics,1987,8,25,1992,7,8
143,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1992,8,1,1997,4,11
144,Bachelor's Degree,Bachelor of Arts,Mathematics,1986,8,16,1990,5,16
145,Bachelor's Degree,Bachelor of Business Administration,Finance,1991,1,28,1995,5,17
145,Masters's Degree,Master of Science,Managament,1995,8,11,1996,5,28
146,Bachelor's Degree,Bachelor of Arts,Mathematics,1994,9,5,1999,7,8
146,Masters's Degree,Master of Science,Business Analytics,1999,8,12,2003,12,5
147,Bachelor's Degree,Bachelor of Arts,Commerce,1997,1,23,2001,5,9
148,Bachelor's Degree,Bachelor of Business Administration,Engineering,1985,1,9,1989,12,11
149,Bachelor's Degree,Bachelor of Business Administration,Engineering,1986,1,15,1989,12,8
149,Masters's Degree,Master of Business Administration,Operations,1990,8,28,1992,5,15
150,Bachelor's Degree,Bachelor of Arts,Geography,1999,9,8,2005,7,8
150,Masters's Degree,Master of Science,Computer Science,2005,8,3,2007,12,8
151,Bachelor's Degree,Bachelor of Technology,Engineering,2005,8,6,2008,12,9
151,Masters's Degree,Master of Science,Data Science,2009,8,17,2011,12,6
152,Bachelor's Degree,Bachelor of Arts,Economics,1991,8,13,1995,5,16
152,Masters's Degree,Master of Science,Managament,1995,8,7,1996,12,13
153,Bachelor's Degree,Bachelor of Business Administration,Engineering,1984,1,3,1988,12,11
154,Bachelor's Degree,Bachelor of Engineering,Engineering,2006,1,1,2010,5,18
155,Bachelor's Degree,Bachelor of Technology,Engineering,1995,1,5,1998,12,19
155,Masters's Degree,Master of Science,Business Analytics,1999,9,14,2001,5,5
156,Bachelor's Degree,Bachelor of Technology,Engineering,1983,1,5,1986,12,12
157,Bachelor's Degree,Bachelor of Business Administration,Engineering,1994,9,17,1997,12,19
158,Bachelor's Degree,Bachelor of Engineering,Engineering,1993,2,28,1996,12,17
159,Bachelor's Degree,Bachelor of Science,Chemistry,1994,9,22,1997,12,8
160,Bachelor's Degree,Bachelor of Science,Physics,2003,1,26,2007,5,14
160,Masters's Degree,Master of Business Administration,Finance,2007,8,1,2008,5,26
161,Bachelor's Degree,Bachelor of Business Administration,Finance,1991,2,18,1995,5,16
161,PhD Degree,PhD,Communication,1997,8,14,2002,5,18
162,Bachelor's Degree,Bachelor of Business Administration,HR,1998,2,16,2003,7,9
162,Masters's Degree,Master of Business Administration,Marketing,2003,8,6,2007,4,16
163,Bachelor's Degree,Bachelor of Business Administration,HR,2000,1,13,2003,12,15
163,Masters's Degree,Master of Business Administration,Marketing,2004,9,8,2006,5,13
164,Bachelor's Degree,Bachelor of Arts,Economics,1996,8,2,1999,12,9
165,Bachelor's Degree,Bachelor of Science,Physics,2006,1,16,2010,5,20
166,Bachelor's Degree,Bachelor of Engineering,Engineering,2006,2,13,2010,5,13
167,Bachelor's Degree,Bachelor of Arts,Mathematics,1986,1,9,1990,12,18
167,Masters's Degree,Master of Business Administration,HR,1991,1,26,1993,5,9
168,Bachelor's Degree,Bachelor of Business Administration,Engineering,1986,2,10,1989,12,9
168,PhD Degree,PhD,Sociology,1991,1,10,1995,12,10
169,Bachelor's Degree,Bachelor of Business Administration,Finance,1985,8,27,1989,12,19
169,Masters's Degree,Master of Business Administration,Finance,1990,8,5,1992,12,27
170,Bachelor's Degree,Bachelor of Business Administration,Operations,1997,9,9,2001,5,8
171,Bachelor's Degree,Bachelor of Technology,Engineering,1999,1,15,2003,5,9
172,Bachelor's Degree,Bachelor of Science,Chemistry,1990,8,13,1993,12,15
173,Bachelor's Degree,Bachelor of Business Administration,HR,1987,1,20,1991,12,13
174,Bachelor's Degree,Bachelor of Arts,Mathematics,1984,5,19,1987,12,17
174,Masters's Degree,Master of Science,Managament,1988,8,11,1990,7,19
174,PhD Degree,PhD,Communication,1990,8,6,1994,12,10
175,Bachelor's Degree,Bachelor of Science,Physics,1988,1,2,1992,12,14
176,Bachelor's Degree,Bachelor of Business Administration,Finance,2000,8,9,2004,12,8
176,Masters's Degree,Master of Science,Computer Science,2005,8,3,2007,12,9
177,Bachelor's Degree,Bachelor of Engineering,Engineering,2008,2,26,2012,5,9
178,Bachelor's Degree,Bachelor of Engineering,Engineering,1996,1,3,2000,4,17
179,Bachelor's Degree,Bachelor of Arts,Mathematics,1989,2,21,1992,12,11
180,Bachelor's Degree,Bachelor of Science,Biology,1999,2,22,2003,5,14
180,PhD Degree,Doctor of Philosophy PhD,English Language Studies,2003,8,3,2007,12,12
181,Bachelor's Degree,Bachelor of Arts,Economics,2003,8,11,2007,5,15
181,PhD Degree,PhD,Management Studies,2007,8,2,2011,12,20
182,Bachelor's Degree,Bachelor of Science,Biology,1983,1,22,1989,7,12
183,Bachelor's Degree,Bachelor of Arts,Geography,1998,1,26,2002,5,16
184,Bachelor's Degree,Bachelor of Business Administration,Engineering,1985,1,19,1989,5,10
184,PhD Degree,Doctor of Business Administration,Business management,1989,8,2,1994,4,17
185,Bachelor's Degree,Bachelor of Arts,Geography,2000,1,17,2004,5,10
186,Bachelor's Degree,Bachelor of Business Administration,Finance,2001,1,16,2005,5,12
186,Masters's Degree,Master of Business Administration,Finance,2005,8,9,2007,5,16
186,PhD Degree,PhD,Management Studies,2007,8,17,2012,5,12
187,Bachelor's Degree,Bachelor of Business Administration,Finance,2005,1,1,2009,5,20
188,Bachelor's Degree,Bachelor of Technology,Engineering,1999,2,4,2003,12,11
189,Bachelor's Degree,Bachelor of Arts,Geography,1997,9,16,2001,12,19
190,Bachelor's Degree,Bachelor of Business Administration,HR,1989,2,21,1993,5,7
191,Bachelor's Degree,Bachelor of Business Administration,HR,1987,1,9,1991,12,8
192,Bachelor's Degree,Bachelor of Arts,Mathematics,1996,8,6,2002,7,14
193,Bachelor's Degree,Bachelor of Business Administration,Operations,1986,1,6,1990,12,10
193,PhD Degree,PhD,Communication,1991,1,26,1997,7,10
194,Bachelor's Degree,Bachelor of Technology,Engineering,1987,8,6,1991,5,17
194,Masters's Degree,Master of Science,Computer Science,1991,8,16,1993,12,6
195,Bachelor's Degree,Bachelor of Business Administration,Marketing,2001,1,6,2004,12,8
195,Masters's Degree,Master of Philosphy,History,2005,8,12,2007,12,6
196,Bachelor's Degree,Bachelor of Business Administration,Engineering,1998,2,23,2002,12,18
196,PhD Degree,PhD,Management Studies,2003,2,10,2007,12,14
197,Bachelor's Degree,Bachelor of Business Administration,HR,1990,8,3,1993,12,10
198,Bachelor's Degree,Bachelor of Technology,Engineering,1990,2,5,1993,12,14
198,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1994,1,4,1997,12,10
199,Bachelor's Degree,Bachelor of Arts,Economics,1982,1,12,1986,12,10
199,Masters's Degree,Master of Business Administration,HR,1987,1,12,1989,12,12
200,Bachelor's Degree,Bachelor of Engineering,Engineering,1983,1,16,1986,12,11
201,Bachelor's Degree,Bachelor of Technology,Engineering,1987,5,21,1991,5,12
202,Bachelor's Degree,Bachelor of Engineering,Engineering,1988,8,5,1992,5,11
202,PhD Degree,Doctor of Philosophy PhD,English Language Studies,1992,8,18,1996,5,9
203,Bachelor's Degree,Bachelor of Technology,Engineering,1984,1,2,1987,12,12
203,Masters's Degree,Master of Business Administration,Finance,1988,8,14,1990,5,2
204,Bachelor's Degree,Bachelor of Technology,Engineering,2002,8,12,2006,12,20
205,Bachelor's Degree,Bachelor of Business Administration,Operations,1987,1,2,1991,12,8
206,Bachelor's Degree,Bachelor of Science,Chemistry,1998,8,27,2002,5,7
207,Bachelor's Degree,Bachelor of Business Administration,HR,1985,1,13,1989,5,14
207,Masters's Degree,Master of Business Administration,Finance,1989,8,28,1991,4,13
208,Bachelor's Degree,Bachelor of Engineering,Engineering,1994,8,25,1998,5,12
209,Bachelor's Degree,Bachelor of Business Administration,HR,2000,8,1,2003,12,16
209,Masters's Degree,Master of Science,Computer Science,2004,9,11,2006,12,1
210,Bachelor's Degree,Bachelor of Arts,Geography,1984,8,3,1988,5,18
211,Bachelor's Degree,Bachelor of Arts,Geography,1995,8,16,1999,5,16
211,PhD Degree,PhD,Sociology,1999,8,9,2002,12,10
212,Bachelor's Degree,Bachelor of Arts,Mathematics,2006,8,19,2010,5,7
212,Masters's Degree,Master of Business Administration,Finance,2010,8,11,2011,12,19
213,Bachelor's Degree,Bachelor of Arts,Geography,1992,8,7,1997,4,16
214,Bachelor's Degree,Bachelor of Technology,Engineering,1985,8,12,1988,12,19
215,Bachelor's Degree,Bachelor of Business Administration,Operations,1996,9,25,1999,12,15
215,Masters's Degree,Master of Science,Computer Science,2000,8,18,2002,12,25
215,PhD Degree,Doctor of Philosophy PhD,Philosophy,2004,1,3,2008,12,8
216,Bachelor's Degree,Bachelor of Arts,Commerce,2004,8,27,2007,12,15
216,Masters's Degree,Master of Science,Managament,2008,9,6,2010,12,27
217,Bachelor's Degree,Bachelor of Business Administration,Operations,1986,8,24,1990,5,12
218,Bachelor's Degree,Bachelor of Business Administration,Marketing,1998,1,8,2001,12,12
218,Masters's Degree,Master of Science,Physics,2002,8,27,2004,5,8
218,PhD Degree,PhD,Sociology,2004,8,22,2008,12,8
219,Bachelor's Degree,Bachelor of Engineering,Engineering,1982,8,11,1986,5,7
219,Masters's Degree,Master of Science,Managament,1986,8,9,1987,12,11
219,PhD Degree,Doctor of Business Administration,HR,1989,9,18,1993,12,16
220,Bachelor's Degree,Bachelor of Arts,Geography,1999,8,19,2002,12,17
221,Bachelor's Degree,Bachelor of Arts,Mathematics,1999,2,22,2003,5,12
221,Masters's Degree,Master of Business Administration,Finance,2003,8,1,2005,7,22
222,Bachelor's Degree,Bachelor of Arts,History,1992,1,24,1995,12,18
223,Bachelor's Degree,Bachelor of Business Administration,Engineering,2006,9,7,2010,12,10
223,Masters's Degree,Master of Business Administration,Finance,2011,8,22,2013,12,7
224,Bachelor's Degree,Bachelor of Arts,Mathematics,1994,9,19,1998,5,18
225,Bachelor's Degree,Bachelor of Arts,History,1992,8,20,1996,5,7
226,Bachelor's Degree,Bachelor of Business Administration,Finance,1986,8,23,1989,12,19
226,Masters's Degree,Master of Science,Computer Science,1990,9,27,1992,12,23
227,Bachelor's Degree,Bachelor of Arts,Economics,1987,8,10,1992,7,16
227,Masters's Degree,Master of Philosphy,English,1992,8,19,1993,12,10
228,Bachelor's Degree,Bachelor of Arts,History,1997,1,4,2002,4,11
229,Bachelor's Degree,Bachelor of Arts,Commerce,1983,1,7,1987,5,12
229,PhD Degree,PhD,Management Studies,1989,1,4,1993,12,18
230,Bachelor's Degree,Bachelor of Arts,Mathematics,2000,9,13,2006,7,11
