id,start_year,start_month,end_year,end_month,job_title,department
40,2002.0,1,2014.0,5,Backend Engineer II,IT Department
41,2008.0,12,2012.0,7,Associate Frontend Engineer,IT Department
42,2012.0,12,2016.0,3,Associate Data Analyst,Analytics Department
43,2000.0,7,2006.0,3,Associate Data Analyst,Analytics Department
44,1999.0,5,2005.0,9,Associate Backend Engineer,Analytics Department
45,2009.0,12,2013.0,12,Associate Backend Engineer,IT Department
46,1987.0,5,1993.0,9,Associate Frontend Engineer,IT Department
46,1994.0,9,1999.0,3,Frontend Engineer,IT Department
46,1999.0,3,2011.0,10,Frontend Engineer II,IT Department
47,2010.0,5,2014.0,10,Associate Data Analyst,Analytics Department
48,2000.0,12,2006.0,4,Associate Backend Engineer,IT Department
49,2008.0,12,2012.0,4,Associate Backend Engineer,IT Department
50,2009.0,12,2013.0,10,Associate Data Analyst,Analytics Department
51,1999.0,12,2005.0,6,Associate Backend Engineer,Analytics Department
51,2005.0,6,2010.0,11,Backend Engineer,Analytics Department
51,2010.0,11,2011.0,11,Backend Engineer II,Analytics Department
52,1997.0,12,2003.0,5,Associate Backend Engineer,Analytics Department
52,2003.0,5,2008.0,2,Backend Engineer,Analytics Department
53,1990.0,12,1996.0,2,Associate Manager,Administration Department
53,1997.0,2,2002.0,10,Assistant Manager,Administration Department
53,2003.0,10,2015.0,5,Manager,Administration Department
54,1993.0,5,1999.0,11,Associate Frontend Engineer,IT Department
54,1999.0,11,2004.0,11,Frontend Engineer,IT Department
54,2004.0,11,2016.0,9,Backend Engineer II,IT Department
55,2005.0,4,2011.0,4,Associate Data Analyst,Analytics Department
57,1996.0,12,2002.0,4,Associate Data Analyst,Analytics Department
57,2002.0,4,2007.0,10,Data Analyst,Analytics Department
57,2007.0,10,2011.0,7,Data Analyst II,Analytics Department
58,2002.0,5,2008.0,3,Associate Manager,Administration Department
59,2003.0,5,2009.0,4,Associate Backend Engineer,IT Department
60,1989.0,5,1995.0,8,Associate Manager,Administration Department
60,1996.0,8,2001.0,11,Assistant Manager,Administration Department
60,2001.0,11,2013.0,5,Manager,Administration Department
61,1990.0,12,1996.0,11,Associate Backend Engineer,Analytics Department
61,1996.0,11,2001.0,12,Backend Engineer,Analytics Department
61,2001.0,12,2013.0,1,Backend Engineer II,Analytics Department
63,1994.0,5,2000.0,9,Associate Data Analyst,Analytics Department
63,2001.0,9,2006.0,11,Data Analyst,Analytics Department
63,2006.0,11,2010.0,4,Data Analyst II,Analytics Department
64,2008.0,7,2012.0,1,Associate Backend Engineer,Analytics Department
65,2011.0,12,2015.0,3,Associate Data Analyst,Analytics Department
66,1999.0,12,2005.0,10,Associate Data Analyst,Analytics Department
66,2005.0,10,2010.0,3,Data Analyst,Analytics Department
66,2011.0,3,2012.0,12,Data Analyst II,Analytics Department
67,2012.0,12,2016.0,6,Associate Frontend Engineer,IT Department
68,1999.0,12,2005.0,4,Associate Backend Engineer,IT Department
68,2005.0,4,2010.0,3,Backend Engineer,IT Department
68,2010.0,3,2011.0,4,Backend Engineer II,IT Department
69,2010.0,5,2014.0,3,Associate Backend Engineer,Analytics Department
70,1994.0,12,2000.0,4,Associate Data Analyst,Analytics Department
70,2000.0,4,2005.0,4,Data Analyst,Analytics Department
70,2006.0,4,2010.0,11,Data Analyst II,Analytics Department
71,2009.0,5,2013.0,3,Associate Backend Engineer,Analytics Department
72,1993.0,12,1999.0,12,Associate Data Analyst,Analytics Department
72,1999.0,12,2004.0,2,Data Analyst,Analytics Department
72,2004.0,2,2016.0,2,Data Analyst II,Analytics Department
73,1996.0,4,2002.0,1,Associate Backend Engineer,IT Department
73,2003.0,1,2008.0,11,Backend Engineer,IT Department
74,2004.0,12,2010.0,4,Associate Data Analyst,Analytics Department
75,2000.0,12,2006.0,12,Associate Frontend Engineer,IT Department
76,1995.0,4,2001.0,6,Associate Data Analyst,Analytics Department
76,2001.0,6,2006.0,7,Data Analyst,Analytics Department
76,2006.0,7,2010.0,4,Data Analyst II,Analytics Department
77,2000.0,12,2006.0,10,Associate Data Analyst,Analytics Department
78,2002.0,5,2008.0,3,Associate Backend Engineer,IT Department
79,1987.0,7,1993.0,2,Associate Data Analyst,Analytics Department
79,1994.0,2,1999.0,4,Data Analyst,Analytics Department
79,1999.0,4,2011.0,2,Data Analyst II,Analytics Department
80,2001.0,12,2007.0,5,Associate Frontend Engineer,IT Department
81,2012.0,12,2016.0,9,Associate Backend Engineer,IT Department
82,2003.0,5,2009.0,5,Associate Backend Engineer,IT Department
84,1995.0,12,2001.0,6,Associate Backend Engineer,Analytics Department
84,2001.0,6,2006.0,7,Backend Engineer,Analytics Department
84,2006.0,7,2010.0,8,Backend Engineer II,Analytics Department
85,1999.0,12,2005.0,8,Associate Data Analyst,Analytics Department
86,1998.0,12,2004.0,1,Associate Data Analyst,Analytics Department
86,2005.0,1,2010.0,11,Data Analyst,Analytics Department
86,2011.0,11,2012.0,6,Data Analyst II,Analytics Department
87,2000.0,12,2006.0,5,Associate Backend Engineer,Analytics Department
88,2004.0,7,2010.0,1,Associate Data Analyst,Analytics Department
89,2003.0,7,2009.0,3,Associate Backend Engineer,Analytics Department
90,1997.0,12,2003.0,12,Associate Backend Engineer,Analytics Department
90,2003.0,12,2008.0,12,Backend Engineer,Analytics Department
91,2000.0,12,2006.0,4,Associate Manager,Administration Department
93,1996.0,5,2002.0,10,Associate Backend Engineer,IT Department
93,2002.0,10,2007.0,9,Backend Engineer,IT Department
93,2008.0,9,2012.0,5,Backend Engineer II,IT Department
95,1997.0,12,2003.0,9,Associate Frontend Engineer,IT Department
95,2004.0,9,2009.0,3,Frontend Engineer,IT Department
95,2010.0,3,2011.0,6,Frontend Engineer II,IT Department
96,1995.0,12,2001.0,5,Associate Backend Engineer,Analytics Department
96,2001.0,5,2006.0,4,Backend Engineer,Analytics Department
96,2007.0,4,2011.0,7,Backend Engineer II,Analytics Department
97,1993.0,12,1999.0,5,Associate Backend Engineer,IT Department
97,2000.0,5,2005.0,1,Backend Engineer,IT Department
97,2006.0,1,2010.0,8,Backend Engineer II,IT Department
98,1991.0,7,1997.0,8,Associate Data Analyst,Analytics Department
98,1997.0,8,2002.0,10,Data Analyst,Analytics Department
98,2003.0,10,2015.0,12,Data Analyst II,Analytics Department
99,1996.0,12,2002.0,10,Associate Data Analyst,Analytics Department
99,2002.0,10,2007.0,6,Data Analyst,Analytics Department
99,2007.0,6,2011.0,3,Data Analyst II,Analytics Department
100,2011.0,12,2015.0,7,Associate Backend Engineer,Analytics Department
101,2008.0,12,2012.0,12,Associate Backend Engineer,IT Department
102,2010.0,5,2014.0,12,Associate Data Analyst,Analytics Department
103,2002.0,5,2008.0,3,Associate Backend Engineer,Analytics Department
105,1995.0,5,2001.0,1,Associate Frontend Engineer,IT Department
105,2001.0,1,2006.0,3,Frontend Engineer,IT Department
105,2006.0,3,2010.0,8,Backend Engineer II,IT Department
106,2012.0,12,2016.0,1,Associate Backend Engineer,Analytics Department
107,1996.0,5,2002.0,4,Associate Frontend Engineer,IT Department
107,2003.0,4,2008.0,12,Frontend Engineer,IT Department
107,2008.0,12,2012.0,9,Frontend Engineer II,IT Department
108,1995.0,7,2001.0,11,Associate Data Analyst,Analytics Department
108,2001.0,11,2006.0,11,Data Analyst,Analytics Department
108,2007.0,11,2011.0,10,Data Analyst II,Analytics Department
109,2011.0,12,2015.0,7,Associate Frontend Engineer,IT Department
110,1999.0,7,2005.0,2,Associate Backend Engineer,Analytics Department
111,1991.0,7,1997.0,1,Associate Backend Engineer,Analytics Department
111,1997.0,1,2002.0,7,Backend Engineer,Analytics Department
111,2003.0,7,2015.0,8,Backend Engineer II,Analytics Department
112,2003.0,12,2009.0,12,Associate Backend Engineer,Analytics Department
113,1998.0,12,2004.0,12,Associate Data Analyst,Analytics Department
113,2004.0,12,2009.0,2,Data Analyst,Analytics Department
113,2010.0,2,2011.0,10,Data Analyst II,Analytics Department
114,2006.0,5,2010.0,1,Associate Backend Engineer,Analytics Department
115,2005.0,5,2011.0,9,Associate Backend Engineer,IT Department
117,1988.0,5,1994.0,10,Associate Backend Engineer,Analytics Department
117,1994.0,10,1999.0,8,Backend Engineer,Analytics Department
117,2000.0,8,2012.0,10,Backend Engineer II,Analytics Department
118,2008.0,12,2012.0,5,Associate Backend Engineer,IT Department
119,2012.0,12,2016.0,11,Associate Frontend Engineer,IT Department
120,1992.0,7,1998.0,8,Associate Data Analyst,Analytics Department
120,1998.0,8,2003.0,9,Data Analyst,Analytics Department
120,2004.0,9,2016.0,9,Data Analyst II,Analytics Department
121,2011.0,12,2015.0,10,Associate Backend Engineer,Analytics Department
122,2002.0,12,2008.0,1,Associate Frontend Engineer,IT Department
123,1993.0,5,1999.0,11,Associate Frontend Engineer,IT Department
123,2000.0,11,2005.0,10,Frontend Engineer,IT Department
123,2005.0,10,2017.0,1,Frontend Engineer II,IT Department
124,2010.0,5,2014.0,8,Associate Backend Engineer,IT Department
125,1994.0,12,2000.0,5,Associate Backend Engineer,Analytics Department
125,2001.0,5,2006.0,12,Backend Engineer,Analytics Department
125,2007.0,12,2011.0,1,Backend Engineer II,Analytics Department
126,2004.0,7,2010.0,2,Associate Manager,Administration Department
127,1997.0,12,2003.0,8,Associate Frontend Engineer,IT Department
127,2004.0,8,2009.0,8,Frontend Engineer,IT Department
128,2008.0,5,2012.0,12,Associate Frontend Engineer,IT Department
129,1996.0,12,2002.0,9,Associate Frontend Engineer,IT Department
129,2003.0,9,2008.0,7,Frontend Engineer,IT Department
129,2008.0,7,2012.0,9,Frontend Engineer II,IT Department
130,2007.0,7,2011.0,4,Associate Data Analyst,Analytics Department
131,2003.0,12,2009.0,10,Associate Data Analyst,Analytics Department
132,2011.0,12,2015.0,12,Associate Data Analyst,Analytics Department
133,1995.0,12,2001.0,10,Associate Backend Engineer,Analytics Department
133,2001.0,10,2006.0,1,Backend Engineer,Analytics Department
133,2007.0,1,2011.0,11,Backend Engineer II,Analytics Department
134,1999.0,5,2005.0,7,Associate Data Analyst,Analytics Department
135,1998.0,7,2004.0,6,Associate Frontend Engineer,IT Department
135,2005.0,6,2010.0,11,Frontend Engineer,IT Department
135,2010.0,11,2011.0,4,Backend Engineer II,IT Department
136,1997.0,12,2003.0,10,Associate Backend Engineer,Analytics Department
136,2004.0,10,2009.0,2,Backend Engineer,Analytics Department
137,1996.0,4,2002.0,7,Associate Data Analyst,Analytics Department
137,2002.0,7,2007.0,7,Data Analyst,Analytics Department
137,2007.0,7,2011.0,9,Data Analyst II,Analytics Department
138,2005.0,12,2011.0,7,Associate Data Analyst,Analytics Department
139,2011.0,12,2015.0,8,Associate Frontend Engineer,IT Department
140,1991.0,4,1997.0,11,Associate Data Analyst,Analytics Department
140,1997.0,11,2002.0,5,Data Analyst,Analytics Department
140,2002.0,5,2014.0,11,Data Analyst II,Analytics Department
141,2010.0,12,2014.0,3,Associate Manager,Administration Department
142,2008.0,12,2012.0,6,Associate Manager,Administration Department
143,1995.0,4,2001.0,5,Associate Frontend Engineer,IT Department
143,2001.0,5,2006.0,7,Frontend Engineer,IT Department
143,2006.0,7,2010.0,1,Frontend Engineer II,IT Department
144,1993.0,4,1999.0,10,Associate Backend Engineer,Analytics Department
144,2000.0,10,2005.0,2,Backend Engineer,Analytics Department
144,2006.0,2,2010.0,4,Backend Engineer II,Analytics Department
145,1991.0,4,1997.0,2,Associate Backend Engineer,Analytics Department
145,1998.0,2,2003.0,1,Backend Engineer,Analytics Department
145,2003.0,1,2015.0,2,Backend Engineer II,Analytics Department
146,2007.0,5,2011.0,8,Associate Data Analyst,Analytics Department
147,1994.0,12,2000.0,12,Associate Backend Engineer,IT Department
147,2000.0,12,2005.0,3,Backend Engineer,IT Department
147,2005.0,3,2017.0,3,Backend Engineer II,IT Department
148,2006.0,5,2010.0,6,Associate Data Analyst,Analytics Department
149,2008.0,5,2012.0,2,Associate Data Analyst,Analytics Department
150,2000.0,5,2006.0,8,Associate Data Analyst,Analytics Department
151,1989.0,5,1995.0,7,Associate Backend Engineer,Analytics Department
151,1996.0,7,2001.0,6,Backend Engineer,Analytics Department
151,2002.0,6,2014.0,4,Backend Engineer II,Analytics Department
152,2000.0,12,2006.0,4,Associate Data Analyst,Analytics Department
153,2007.0,12,2011.0,11,Associate Data Analyst,Analytics Department
154,2004.0,5,2010.0,7,Associate Frontend Engineer,IT Department
155,1994.0,5,2000.0,12,Associate Manager,Administration Department
155,2000.0,12,2005.0,10,Assistant Manager,Administration Department
155,2006.0,10,2010.0,2,Manager,Administration Department
156,2005.0,5,2011.0,1,Associate Manager,Administration Department
157,1990.0,12,1996.0,9,Associate Data Analyst,Analytics Department
157,1997.0,9,2002.0,4,Data Analyst,Analytics Department
157,2002.0,4,2014.0,12,Data Analyst II,Analytics Department
159,2002.0,7,2008.0,9,Associate Backend Engineer,IT Department
160,2004.0,5,2010.0,12,Associate Frontend Engineer,IT Department
162,2004.0,12,2010.0,2,Associate Manager,Administration Department
163,2011.0,12,2015.0,2,Associate Backend Engineer,Analytics Department
164,2004.0,5,2010.0,8,Associate Data Analyst,Analytics Department
165,1996.0,5,2002.0,6,Associate Backend Engineer,IT Department
165,2003.0,6,2008.0,9,Backend Engineer,IT Department
166,1996.0,12,2002.0,2,Associate Frontend Engineer,IT Department
166,2003.0,2,2008.0,12,Frontend Engineer,IT Department
166,2008.0,12,2012.0,4,Frontend Engineer II,IT Department
167,1994.0,5,2000.0,8,Associate Frontend Engineer,IT Department
167,2001.0,8,2006.0,3,Frontend Engineer,IT Department
167,2007.0,3,2011.0,3,Frontend Engineer II,IT Department
168,2007.0,12,2011.0,4,Associate Backend Engineer,IT Department
169,1996.0,5,2002.0,1,Associate Data Analyst,Analytics Department
169,2003.0,1,2008.0,4,Data Analyst,Analytics Department
170,2002.0,7,2008.0,2,Associate Data Analyst,Analytics Department
171,1995.0,12,2001.0,1,Associate Backend Engineer,Analytics Department
171,2002.0,1,2007.0,4,Backend Engineer,Analytics Department
171,2008.0,4,2012.0,12,Backend Engineer II,Analytics Department
172,1987.0,5,1993.0,7,Associate Backend Engineer,Analytics Department
172,1993.0,7,1998.0,5,Backend Engineer,Analytics Department
172,1998.0,5,2010.0,8,Backend Engineer II,Analytics Department
173,2007.0,4,2011.0,7,Associate Backend Engineer,IT Department
174,1994.0,12,2000.0,3,Associate Backend Engineer,Analytics Department
174,2001.0,3,2006.0,5,Backend Engineer,Analytics Department
174,2007.0,5,2011.0,12,Backend Engineer II,Analytics Department
175,2010.0,5,2014.0,9,Associate Frontend Engineer,IT Department
176,2005.0,5,2011.0,11,Associate Backend Engineer,IT Department
177,1998.0,12,2004.0,12,Associate Data Analyst,Analytics Department
177,2005.0,12,2010.0,3,Data Analyst,Analytics Department
177,2010.0,3,2011.0,11,Data Analyst II,Analytics Department
178,2005.0,5,2011.0,8,Associate Backend Engineer,IT Department
179,2010.0,4,2014.0,9,Associate Data Analyst,Analytics Department
181,2002.0,12,2008.0,7,Associate Backend Engineer,Analytics Department
182,2002.0,12,2008.0,12,Associate Data Analyst,Analytics Department
183,1991.0,5,1997.0,9,Associate Data Analyst,Analytics Department
183,1998.0,9,2003.0,8,Data Analyst,Analytics Department
183,2004.0,8,2016.0,7,Data Analyst II,Analytics Department
184,2010.0,4,2014.0,4,Associate Frontend Engineer,IT Department
185,1999.0,4,2005.0,1,Associate Manager,Administration Department
185,2005.0,1,2010.0,4,Assistant Manager,Administration Department
185,2011.0,4,2012.0,12,Manager,Administration Department
186,2012.0,5,2016.0,4,Associate Backend Engineer,IT Department
188,2003.0,5,2009.0,11,Associate Backend Engineer,IT Department
189,2003.0,12,2009.0,5,Associate Frontend Engineer,IT Department
190,2001.0,12,2007.0,1,Associate Data Analyst,Analytics Department
191,1992.0,12,1998.0,8,Associate Backend Engineer,Analytics Department
191,1998.0,8,2003.0,10,Backend Engineer,Analytics Department
191,2004.0,10,2016.0,10,Backend Engineer II,Analytics Department
192,2000.0,12,2006.0,3,Associate Frontend Engineer,IT Department
193,2004.0,7,2010.0,2,Associate Backend Engineer,IT Department
194,2010.0,5,2014.0,7,Associate Data Analyst,Analytics Department
195,1998.0,5,2004.0,12,Associate Data Analyst,Analytics Department
195,2005.0,12,2010.0,4,Data Analyst,Analytics Department
195,2010.0,4,2011.0,9,Data Analyst II,Analytics Department
196,2012.0,12,2016.0,7,Associate Data Analyst,Analytics Department
197,1991.0,5,1997.0,6,Associate Data Analyst,Analytics Department
197,1997.0,6,2002.0,9,Data Analyst,Analytics Department
197,2003.0,9,2015.0,6,Data Analyst II,Analytics Department
198,1995.0,12,2001.0,7,Associate Data Analyst,Administration Department
198,2002.0,7,2007.0,2,Assistant Manager,Administration Department
198,2008.0,2,2012.0,2,Manager,Administration Department
199,1994.0,12,2000.0,10,Associate Backend Engineer,IT Department
199,2001.0,10,2006.0,10,Backend Engineer,IT Department
199,2007.0,10,2011.0,6,Backend Engineer II,IT Department
200,1992.0,12,1998.0,9,Associate Backend Engineer,Analytics Department
200,1999.0,9,2004.0,6,Backend Engineer,Analytics Department
200,2004.0,6,2016.0,7,Backend Engineer II,Analytics Department
201,2010.0,4,2014.0,9,Associate Backend Engineer,IT Department
202,2001.0,5,2007.0,4,Associate Frontend Engineer,IT Department
203,1999.0,7,2005.0,8,Associate Backend Engineer,Analytics Department
203,2005.0,8,2010.0,8,Backend Engineer,Analytics Department
203,2010.0,8,2011.0,1,Backend Engineer II,Analytics Department
204,1986.0,12,1992.0,10,Associate Backend Engineer,IT Department
204,1993.0,10,1998.0,5,Backend Engineer,IT Department
204,1998.0,5,2010.0,6,Backend Engineer II,IT Department
205,1998.0,12,2004.0,11,Associate Manager,Administration Department
205,2005.0,11,2010.0,6,Assistant Manager,Administration Department
205,2010.0,6,2011.0,5,Manager,Administration Department
206,1992.0,12,1998.0,3,Associate Data Analyst,Administration Department
206,1999.0,3,2004.0,8,Assistant Manager,Administration Department
206,2004.0,8,2016.0,10,Manager,Administration Department
207,1995.0,12,2001.0,4,Associate Data Analyst,Analytics Department
207,2002.0,4,2007.0,2,Data Analyst,Analytics Department
207,2008.0,2,2012.0,4,Data Analyst II,Analytics Department
208,1986.0,12,1992.0,1,Associate Backend Engineer,IT Department
208,1992.0,1,1997.0,10,Backend Engineer,IT Department
208,1998.0,10,2010.0,2,Backend Engineer II,IT Department
209,2008.0,5,2012.0,10,Associate Data Analyst,Analytics Department
210,1995.0,5,2001.0,12,Associate Backend Engineer,Analytics Department
210,2001.0,12,2006.0,8,Backend Engineer,Analytics Department
210,2006.0,8,2010.0,7,Backend Engineer II,Analytics Department
211,2002.0,12,2008.0,8,Associate Data Analyst,Analytics Department
212,1996.0,12,2002.0,10,Associate Frontend Engineer,IT Department
212,2002.0,10,2007.0,3,Frontend Engineer,IT Department
212,2008.0,3,2012.0,12,Backend Engineer II,IT Department
213,1992.0,4,1998.0,8,Associate Frontend Engineer,IT Department
213,1998.0,8,2003.0,5,Frontend Engineer,IT Department
213,2003.0,5,2015.0,8,Frontend Engineer II,IT Department
214,2001.0,12,2007.0,8,Associate Backend Engineer,IT Department
215,2004.0,12,2010.0,8,Associate Frontend Engineer,IT Department
216,2009.0,12,2013.0,7,Associate Backend Engineer,IT Department
217,1992.0,7,1998.0,7,Associate Backend Engineer,Analytics Department
217,1999.0,7,2004.0,11,Backend Engineer,Analytics Department
217,2004.0,11,2016.0,7,Backend Engineer II,Analytics Department
220,2004.0,12,2010.0,5,Associate Frontend Engineer,IT Department
221,2012.0,7,2016.0,6,Associate Backend Engineer,IT Department
222,2004.0,12,2010.0,8,Associate Data Analyst,Analytics Department
223,1998.0,12,2004.0,9,Associate Backend Engineer,IT Department
223,2004.0,9,2009.0,10,Backend Engineer,IT Department
223,2010.0,10,2011.0,1,Backend Engineer II,IT Department
224,1999.0,12,2005.0,1,Associate Backend Engineer,Analytics Department
224,2005.0,1,2010.0,11,Backend Engineer,Analytics Department
224,2010.0,11,2011.0,7,Backend Engineer II,Analytics Department
225,2010.0,5,2014.0,8,Associate Backend Engineer,IT Department
226,2003.0,5,2009.0,11,Associate Backend Engineer,Analytics Department
227,2010.0,12,2014.0,9,Associate Backend Engineer,IT Department
228,1990.0,5,1996.0,6,Associate Frontend Engineer,IT Department
228,1996.0,6,2001.0,1,Frontend Engineer,IT Department
228,2001.0,1,2013.0,3,Frontend Engineer II,IT Department
229,2001.0,12,2007.0,4,Associate Data Analyst,Administration Department
230,1990.0,5,1996.0,7,Associate Frontend Engineer,IT Department
230,1996.0,7,2001.0,11,Frontend Engineer,IT Department
230,2001.0,11,2013.0,11,Backend Engineer II,IT Department
231,2001.0,5,2007.0,10,Associate Data Analyst,Analytics Department
232,2008.0,5,2012.0,3,Associate Backend Engineer,IT Department
233,2003.0,12,2009.0,3,Associate Data Analyst,Analytics Department
234,1992.0,5,1998.0,3,Associate Frontend Engineer,IT Department
234,1999.0,3,2004.0,4,Frontend Engineer,IT Department
234,2005.0,4,2017.0,7,Frontend Engineer II,IT Department
235,1991.0,12,1997.0,8,Associate Backend Engineer,IT Department
235,1998.0,8,2003.0,10,Backend Engineer,IT Department
235,2004.0,10,2016.0,10,Backend Engineer II,IT Department
236,2001.0,12,2007.0,6,Associate Backend Engineer,Analytics Department
237,1987.0,12,1993.0,10,Associate Backend Engineer,Analytics Department
237,1994.0,10,1999.0,7,Backend Engineer,Analytics Department
237,1999.0,7,2011.0,5,Backend Engineer II,Analytics Department
238,1994.0,12,2000.0,3,Associate Data Analyst,Analytics Department
238,2001.0,3,2006.0,1,Data Analyst,Analytics Department
238,2007.0,1,2011.0,11,Data Analyst II,Analytics Department
239,1992.0,5,1998.0,1,Associate Frontend Engineer,IT Department
239,1998.0,1,2003.0,10,Frontend Engineer,IT Department
239,2003.0,10,2015.0,1,Frontend Engineer II,IT Department
240,2011.0,7,2015.0,3,Associate Data Analyst,Analytics Department
241,1989.0,5,1995.0,11,Associate Data Analyst,Analytics Department
241,1995.0,11,2000.0,6,Data Analyst,Analytics Department
241,2001.0,6,2013.0,4,Data Analyst II,Analytics Department
242,1990.0,12,1996.0,7,Associate Backend Engineer,IT Department
242,1996.0,7,2001.0,2,Backend Engineer,IT Department
242,2002.0,2,2014.0,1,Backend Engineer II,IT Department
243,2003.0,12,2009.0,6,Associate Manager,Administration Department
244,1992.0,12,1998.0,11,Associate Data Analyst,Analytics Department
244,1998.0,11,2003.0,6,Data Analyst,Analytics Department
244,2003.0,6,2015.0,11,Data Analyst II,Analytics Department
245,1995.0,12,2001.0,10,Associate Data Analyst,Analytics Department
