department,end_month,id,job_title,p_end,p_start,start_month
Analytics Department,9,74,Associate Data Analyst,2016.0,2010.0,4
,6,74,,-99.0,2016.0,9
IT Department,9,75,Associate Frontend Engineer,2012.0,2006.0,12
,12,75,,2017.0,2012.0,9
,7,75,,-99.0,2017.0,12
Analytics Department,9,76,Data Analyst II,2016.0,2010.0,4
,10,76,,-99.0,2016.0,9
Analytics Department,12,77,Associate Data Analyst,2012.0,2006.0,10
,3,77,,2017.0,2012.0,12
,9,77,,-99.0,2017.0,3
IT Department,1,78,Associate Backend Engineer,2014.0,2008.0,3
,9,78,,2019.0,2014.0,1
,2,78,,-99.0,2019.0,9
Analytics Department,9,79,Data Analyst II,2017.0,2011.0,2
,8,79,,-99.0,2017.0,9
IT Department,3,80,Associate Frontend Engineer,2013.0,2007.0,5
,5,80,,2018.0,2013.0,3
,3,80,,-99.0,2018.0,5
IT Department,9,81,Associate Backend Engineer,-99.0,2016.0,9
IT Department,10,82,Associate Backend Engineer,2015.0,2009.0,5
,12,82,,-99.0,2015.0,10
Analytics Department,3,83,Jr Data Analyst,2019.0,2013.0,12
,7,83,,-99.0,2019.0,3
Analytics Department,11,84,Backend Engineer II,2016.0,2010.0,8
,2,84,,-99.0,2016.0,11
Analytics Department,1,85,Associate Data Analyst,2011.0,2005.0,8
,12,85,,2016.0,2011.0,1
,9,85,,-99.0,2016.0,12
Analytics Department,5,86,Data Analyst II,2018.0,2012.0,6
,9,86,,-99.0,2018.0,5
Analytics Department,12,87,Associate Backend Engineer,2012.0,2006.0,5
,1,87,,2017.0,2012.0,12
,1,87,,-99.0,2017.0,1
Analytics Department,5,88,Associate Data Analyst,2016.0,2010.0,1
,3,88,,-99.0,2016.0,5
Analytics Department,11,89,Associate Backend Engineer,2015.0,2009.0,3
,10,89,,-99.0,2015.0,11
Analytics Department,6,90,Backend Engineer,2014.0,2008.0,12
,1,90,,2019.0,2014.0,6
,4,90,,-99.0,2019.0,1
Administration Department,5,91,Associate Manager,2012.0,2006.0,4
,12,91,,2017.0,2012.0,5
,5,91,,-99.0,2017.0,12
IT Department,9,92,Jr Frontend Engineer,2019.0,2013.0,12
,3,92,,-99.0,2019.0,9
IT Department,7,93,Backend Engineer II,2018.0,2012.0,5
,9,93,,-99.0,2018.0,7
Analytics Department,4,94,Jr Backend Engineer,2019.0,2013.0,5
,2,94,,-99.0,2019.0,4
IT Department,12,95,Frontend Engineer II,2017.0,2011.0,6
,5,95,,-99.0,2017.0,12
Analytics Department,5,96,Backend Engineer II,2017.0,2011.0,7
,1,96,,-99.0,2017.0,5
IT Department,2,97,Backend Engineer II,2016.0,2010.0,8
,7,97,,-99.0,2016.0,2
Analytics Department,11,98,Data Analyst II,-99.0,2015.0,12
Analytics Department,12,99,Data Analyst II,2017.0,2011.0,3
,12,99,,-99.0,2017.0,12
Analytics Department,5,100,Associate Backend Engineer,-99.0,2015.0,7
IT Department,11,101,Associate Backend Engineer,2018.0,2012.0,12
,10,101,,-99.0,2018.0,11
Analytics Department,5,102,Associate Data Analyst,-99.0,2014.0,12
Analytics Department,12,103,Associate Backend Engineer,2014.0,2008.0,3
,9,103,,2019.0,2014.0,12
,5,103,,-99.0,2019.0,9
Analytics Department,8,104,Jr Backend Engineer,2019.0,2013.0,12
,9,104,,-99.0,2019.0,8
IT Department,7,105,Backend Engineer II,2016.0,2010.0,8
,7,105,,-99.0,2016.0,7
Analytics Department,11,106,Associate Backend Engineer,-99.0,2016.0,1
IT Department,12,107,Frontend Engineer II,2018.0,2012.0,9
,11,107,,-99.0,2018.0,12
Analytics Department,1,108,Data Analyst II,2017.0,2011.0,10
,1,108,,-99.0,2017.0,1
IT Department,10,109,Associate Frontend Engineer,-99.0,2015.0,7
Analytics Department,5,110,Associate Backend Engineer,2011.0,2005.0,2
,5,110,,2016.0,2011.0,5
,11,110,,-99.0,2016.0,5
Analytics Department,12,111,Backend Engineer II,-99.0,2015.0,8
Analytics Department,3,112,Associate Backend Engineer,2015.0,2009.0,12
,3,112,,-99.0,2015.0,3
Analytics Department,11,113,Data Analyst II,2017.0,2011.0,10
,11,113,,-99.0,2017.0,11
Analytics Department,2,114,Associate Backend Engineer,2016.0,2010.0,1
,7,114,,-99.0,2016.0,2
IT Department,4,115,Associate Backend Engineer,2017.0,2011.0,9
,10,115,,-99.0,2017.0,4
IT Department,6,116,Jr Backend Engineer,2019.0,2013.0,12
,6,116,,-99.0,2019.0,6
Analytics Department,1,117,Backend Engineer II,2018.0,2012.0,10
,6,117,,-99.0,2018.0,1
IT Department,6,118,Associate Backend Engineer,2018.0,2012.0,5
,8,118,,-99.0,2018.0,6
IT Department,6,119,Associate Frontend Engineer,-99.0,2016.0,11
Analytics Department,6,120,Data Analyst II,-99.0,2016.0,9
Analytics Department,11,121,Associate Backend Engineer,-99.0,2015.0,10
IT Department,1,122,Associate Frontend Engineer,2014.0,2008.0,1
,12,122,,2019.0,2014.0,1
,1,122,,-99.0,2019.0,12
IT Department,10,123,Frontend Engineer II,-99.0,2017.0,1
IT Department,12,124,Associate Backend Engineer,-99.0,2014.0,8
Analytics Department,2,125,Backend Engineer II,2017.0,2011.0,1
,9,125,,-99.0,2017.0,2
Administration Department,12,126,Associate Manager,2016.0,2010.0,2
,4,126,,-99.0,2016.0,12
IT Department,10,127,Frontend Engineer,2015.0,2009.0,8
,8,127,,-99.0,2015.0,10
IT Department,10,128,Associate Frontend Engineer,2018.0,2012.0,12
,5,128,,-99.0,2018.0,10
IT Department,7,129,Frontend Engineer II,2018.0,2012.0,9
,7,129,,-99.0,2018.0,7
Analytics Department,9,130,Associate Data Analyst,2017.0,2011.0,4
,7,130,,-99.0,2017.0,9
Analytics Department,6,131,Associate Data Analyst,2015.0,2009.0,10
,8,131,,-99.0,2015.0,6
Analytics Department,2,132,Associate Data Analyst,-99.0,2015.0,12
Analytics Department,6,133,Backend Engineer II,2017.0,2011.0,11
,6,133,,-99.0,2017.0,6
Analytics Department,1,134,Associate Data Analyst,2011.0,2005.0,7
,1,134,,2016.0,2011.0,1
,12,134,,-99.0,2016.0,1
IT Department,9,135,Backend Engineer II,2017.0,2011.0,4
,10,135,,-99.0,2017.0,9
Analytics Department,2,136,Backend Engineer,2015.0,2009.0,2
,7,136,,-99.0,2015.0,2
Analytics Department,2,137,Data Analyst II,2017.0,2011.0,9
,6,137,,-99.0,2017.0,2
Analytics Department,12,138,Associate Data Analyst,2017.0,2011.0,7
,9,138,,-99.0,2017.0,12
IT Department,12,139,Associate Frontend Engineer,-99.0,2015.0,8
Analytics Department,4,140,Data Analyst II,-99.0,2014.0,11
Administration Department,2,141,Associate Manager,-99.0,2014.0,3
Administration Department,2,142,Associate Manager,2018.0,2012.0,6
,11,142,,-99.0,2018.0,2
IT Department,11,143,Frontend Engineer II,2016.0,2010.0,1
,8,143,,-99.0,2016.0,11
Analytics Department,1,144,Backend Engineer II,2016.0,2010.0,4
,2,144,,-99.0,2016.0,1
Analytics Department,8,145,Backend Engineer II,-99.0,2015.0,2
Analytics Department,9,146,Associate Data Analyst,2017.0,2011.0,8
,1,146,,-99.0,2017.0,9
IT Department,1,147,Backend Engineer II,-99.0,2017.0,3
Analytics Department,12,148,Associate Data Analyst,2016.0,2010.0,6
,9,148,,-99.0,2016.0,12
Analytics Department,4,149,Associate Data Analyst,2018.0,2012.0,2
,3,149,,-99.0,2018.0,4
Analytics Department,5,150,Associate Data Analyst,2012.0,2006.0,8
,11,150,,2017.0,2012.0,5
,9,150,,-99.0,2017.0,11
Analytics Department,8,151,Backend Engineer II,-99.0,2014.0,4
Analytics Department,5,152,Associate Data Analyst,2012.0,2006.0,4
,3,152,,2017.0,2012.0,5
,11,152,,-99.0,2017.0,3
Analytics Department,8,153,Associate Data Analyst,2017.0,2011.0,11
,1,153,,-99.0,2017.0,8
IT Department,10,154,Associate Frontend Engineer,2016.0,2010.0,7
,8,154,,-99.0,2016.0,10
Administration Department,4,155,Manager,2016.0,2010.0,2
,6,155,,-99.0,2016.0,4
Administration Department,6,156,Associate Manager,2017.0,2011.0,1
,3,156,,-99.0,2017.0,6
Analytics Department,9,157,Data Analyst II,-99.0,2014.0,12
IT Department,11,158,Jr Backend Engineer,2019.0,2013.0,5
,8,158,,-99.0,2019.0,11
IT Department,5,159,Associate Backend Engineer,2014.0,2008.0,9
,1,159,,2019.0,2014.0,5
,6,159,,-99.0,2019.0,1
IT Department,6,160,Associate Frontend Engineer,2016.0,2010.0,12
,2,160,,-99.0,2016.0,6
Analytics Department,9,161,Jr Data Analyst,2019.0,2013.0,12
,12,161,,-99.0,2019.0,9
Administration Department,2,162,Associate Manager,2016.0,2010.0,2
,7,162,,-99.0,2016.0,2
Analytics Department,3,163,Associate Backend Engineer,-99.0,2015.0,2
Analytics Department,10,164,Associate Data Analyst,2016.0,2010.0,8
,11,164,,-99.0,2016.0,10
IT Department,12,165,Backend Engineer,2014.0,2008.0,9
,7,165,,2019.0,2014.0,12
,11,165,,-99.0,2019.0,7
IT Department,8,166,Frontend Engineer II,2018.0,2012.0,4
,8,166,,-99.0,2018.0,8
IT Department,4,167,Frontend Engineer II,2017.0,2011.0,3
,3,167,,-99.0,2017.0,4
IT Department,8,168,Associate Backend Engineer,2017.0,2011.0,4
,9,168,,-99.0,2017.0,8
Analytics Department,10,169,Data Analyst,2014.0,2008.0,4
,3,169,,2019.0,2014.0,10
,9,169,,-99.0,2019.0,3
Analytics Department,2,170,Associate Data Analyst,2014.0,2008.0,2
,4,170,,2019.0,2014.0,2
,10,170,,-99.0,2019.0,4
Analytics Department,3,171,Backend Engineer II,2018.0,2012.0,12
,8,171,,-99.0,2018.0,3
Analytics Department,12,172,Backend Engineer II,2016.0,2010.0,8
,6,172,,-99.0,2016.0,12
IT Department,7,173,Associate Backend Engineer,2017.0,2011.0,7
,2,173,,-99.0,2017.0,7
Analytics Department,9,174,Backend Engineer II,2017.0,2011.0,12
,3,174,,-99.0,2017.0,9
IT Department,5,175,Associate Frontend Engineer,-99.0,2014.0,9
IT Department,1,176,Associate Backend Engineer,2017.0,2011.0,11
,7,176,,-99.0,2017.0,1
Analytics Department,12,177,Data Analyst II,2017.0,2011.0,11
,9,177,,-99.0,2017.0,12
IT Department,7,178,Associate Backend Engineer,2017.0,2011.0,8
,8,178,,-99.0,2017.0,7
Analytics Department,11,179,Associate Data Analyst,-99.0,2014.0,9
Analytics Department,7,180,Jr Backend Engineer,-99.0,2014.0,12
Analytics Department,3,181,Associate Backend Engineer,2014.0,2008.0,7
,9,181,,2019.0,2014.0,3
,2,181,,-99.0,2019.0,9
Analytics Department,10,182,Associate Data Analyst,2014.0,2008.0,12
,2,182,,2019.0,2014.0,10
,11,182,,-99.0,2019.0,2
Analytics Department,12,183,Data Analyst II,-99.0,2016.0,7
IT Department,7,184,Associate Frontend Engineer,-99.0,2014.0,4
Administration Department,7,185,Manager,2018.0,2012.0,12
,7,185,,-99.0,2018.0,7
IT Department,2,186,Associate Backend Engineer,-99.0,2016.0,4
Analytics Department,6,187,Jr Backend Engineer,-99.0,2015.0,7
IT Department,3,188,Associate Backend Engineer,2015.0,2009.0,11
,3,188,,-99.0,2015.0,3
IT Department,2,189,Associate Frontend Engineer,2015.0,2009.0,5
,9,189,,-99.0,2015.0,2
Analytics Department,8,190,Associate Data Analyst,2013.0,2007.0,1
,11,190,,2018.0,2013.0,8
,5,190,,-99.0,2018.0,11
Analytics Department,3,191,Backend Engineer II,-99.0,2016.0,10
IT Department,12,192,Associate Frontend Engineer,2012.0,2006.0,3
,11,192,,2017.0,2012.0,12
,8,192,,-99.0,2017.0,11
IT Department,11,193,Associate Backend Engineer,2016.0,2010.0,2
,1,193,,-99.0,2016.0,11
Analytics Department,2,194,Associate Data Analyst,-99.0,2014.0,7
Analytics Department,4,195,Data Analyst II,2017.0,2011.0,9
,12,195,,-99.0,2017.0,4
Analytics Department,11,196,Associate Data Analyst,-99.0,2016.0,7
Analytics Department,10,197,Data Analyst II,-99.0,2015.0,6
Administration Department,11,198,Manager,2018.0,2012.0,2
,12,198,,-99.0,2018.0,11
IT Department,11,199,Backend Engineer II,2017.0,2011.0,6
,8,199,,-99.0,2017.0,11
Analytics Department,9,200,Backend Engineer II,-99.0,2016.0,7
IT Department,5,201,Associate Backend Engineer,-99.0,2014.0,9
IT Department,1,202,Associate Frontend Engineer,2013.0,2007.0,4
,2,202,,2018.0,2013.0,1
,3,202,,-99.0,2018.0,2
Analytics Department,1,203,Backend Engineer II,2017.0,2011.0,1
,5,203,,-99.0,2017.0,1
IT Department,1,204,Backend Engineer II,2016.0,2010.0,6
,2,204,,-99.0,2016.0,1
Administration Department,10,205,Manager,2017.0,2011.0,5
,5,205,,-99.0,2017.0,10
Administration Department,2,206,Manager,-99.0,2016.0,10
Analytics Department,4,207,Data Analyst II,2018.0,2012.0,4
,6,207,,-99.0,2018.0,4
IT Department,8,208,Backend Engineer II,2016.0,2010.0,2
,4,208,,-99.0,2016.0,8
Analytics Department,5,209,Associate Data Analyst,2018.0,2012.0,10
,6,209,,-99.0,2018.0,5
Analytics Department,4,210,Backend Engineer II,2016.0,2010.0,7
,7,210,,-99.0,2016.0,4
Analytics Department,1,211,Associate Data Analyst,2014.0,2008.0,8
,5,211,,2019.0,2014.0,1
,6,211,,-99.0,2019.0,5
IT Department,2,212,Backend Engineer II,2018.0,2012.0,12
,3,212,,-99.0,2018.0,2
IT Department,9,213,Frontend Engineer II,-99.0,2015.0,8
IT Department,10,214,Associate Backend Engineer,2013.0,2007.0,8
,12,214,,2018.0,2013.0,10
,9,214,,-99.0,2018.0,12
IT Department,6,215,Associate Frontend Engineer,2016.0,2010.0,8
,5,215,,-99.0,2016.0,6
IT Department,4,216,Associate Backend Engineer,2019.0,2013.0,7
,3,216,,-99.0,2019.0,4
Analytics Department,4,217,Backend Engineer II,-99.0,2016.0,7
Analytics Department,7,218,Jr Data Analyst,2019.0,2013.0,12
,6,218,,-99.0,2019.0,7
Analytics Department,9,219,Jr Data Analyst,-99.0,2017.0,12
IT Department,8,220,Associate Frontend Engineer,2016.0,2010.0,5
,11,220,,-99.0,2016.0,8
IT Department,6,221,Associate Backend Engineer,-99.0,2016.0,6
Analytics Department,5,222,Associate Data Analyst,2016.0,2010.0,8
,8,222,,-99.0,2016.0,5
IT Department,7,223,Backend Engineer II,2017.0,2011.0,1
,8,223,,-99.0,2017.0,7
Analytics Department,3,224,Backend Engineer II,2017.0,2011.0,7
,2,224,,-99.0,2017.0,3
IT Department,1,225,Associate Backend Engineer,-99.0,2014.0,8
Analytics Department,10,226,Associate Backend Engineer,2015.0,2009.0,11
,10,226,,-99.0,2015.0,10
IT Department,10,227,Associate Backend Engineer,-99.0,2014.0,9
IT Department,1,228,Frontend Engineer II,2019.0,2013.0,3
,9,228,,-99.0,2019.0,1
Administration Department,5,229,Associate Data Analyst,2013.0,2007.0,4
,9,229,,2018.0,2013.0,5
,5,229,,-99.0,2018.0,9
IT Department,7,230,Backend Engineer II,2019.0,2013.0,11
,3,230,,-99.0,2019.0,7
Analytics Department,3,231,Associate Data Analyst,2013.0,2007.0,10
,12,231,,2018.0,2013.0,3
,10,231,,-99.0,2018.0,12
IT Department,6,232,Associate Backend Engineer,2018.0,2012.0,3
,5,232,,-99.0,2018.0,6
Analytics Department,6,233,Associate Data Analyst,2015.0,2009.0,3
,9,233,,-99.0,2015.0,6
IT Department,6,234,Frontend Engineer II,-99.0,2017.0,7
IT Department,2,235,Backend Engineer II,-99.0,2016.0,10
Analytics Department,8,236,Associate Backend Engineer,2013.0,2007.0,6
,4,236,,2018.0,2013.0,8
,6,236,,-99.0,2018.0,4
Analytics Department,9,237,Backend Engineer II,2017.0,2011.0,5
,8,237,,-99.0,2017.0,9
Analytics Department,12,238,Data Analyst II,2017.0,2011.0,11
,1,238,,-99.0,2017.0,12
IT Department,2,239,Frontend Engineer II,-99.0,2015.0,1
Analytics Department,9,240,Associate Data Analyst,-99.0,2015.0,3
Analytics Department,12,241,Data Analyst II,2019.0,2013.0,4
,12,241,,-99.0,2019.0,12
IT Department,10,242,Backend Engineer II,-99.0,2014.0,1
Administration Department,5,243,Associate Manager,2015.0,2009.0,6
,4,243,,-99.0,2015.0,5
Analytics Department,3,244,Data Analyst II,-99.0,2015.0,11
Analytics Department,12,245,Data Analyst II,2017.0,2011.0,3
,7,245,,-99.0,2017.0,12
Analytics Department,9,246,Data Analyst II,2017.0,2011.0,7
,8,246,,-99.0,2017.0,9
Administration Department,12,247,Manager,-99.0,2016.0,8
Analytics Department,3,248,Data Analyst II,2018.0,2012.0,3
,9,248,,-99.0,2018.0,3
Analytics Department,7,249,Data Analyst II,2018.0,2012.0,6
,11,249,,-99.0,2018.0,7
Analytics Department,1,250,Backend Engineer II,-99.0,2017.0,9
Analytics Department,3,251,Data Analyst II,2018.0,2012.0,9
,11,251,,-99.0,2018.0,3
IT Department,1,252,Associate Frontend Engineer,2014.0,2008.0,10
,4,252,,2019.0,2014.0,1
,12,252,,-99.0,2019.0,4
Administration Department,7,253,Manager,2017.0,2011.0,12
,7,253,,-99.0,2017.0,7
IT Department,8,254,Associate Frontend Engineer,2018.0,2012.0,8
,7,254,,-99.0,2018.0,8
IT Department,2,255,Associate Frontend Engineer,2018.0,2012.0,9
,12,255,,-99.0,2018.0,2
Administration Department,6,256,Jr Manager,-99.0,2019.0,7
IT Department,8,257,Frontend Engineer II,-99.0,2016.0,7
Analytics Department,6,258,Data Analyst,2015.0,2009.0,3
,4,258,,-99.0,2015.0,6
IT Department,11,259,Jr Backend Engineer,-99.0,2014.0,12
Analytics Department,1,260,Associate Backend Engineer,2016.0,2010.0,4
,11,260,,-99.0,2016.0,1
Analytics Department,6,261,Backend Engineer II,2017.0,2011.0,8
,6,261,,-99.0,2017.0,6
Analytics Department,4,262,Backend Engineer II,2018.0,2012.0,1
,6,262,,-99.0,2018.0,4
Analytics Department,1,263,Data Analyst II,2018.0,2012.0,9
,3,263,,-99.0,2018.0,1
Analytics Department,4,264,Data Analyst II,2018.0,2012.0,6
,3,264,,-99.0,2018.0,4
IT Department,7,265,Associate Frontend Engineer,-99.0,2014.0,12
Analytics Department,11,266,Jr Backend Engineer,-99.0,2014.0,12
IT Department,2,267,Associate Backend Engineer,2018.0,2012.0,2
,8,267,,-99.0,2018.0,2
Analytics Department,6,268,Associate Data Analyst,2017.0,2011.0,6
,9,268,,-99.0,2017.0,6
IT Department,10,269,Frontend Engineer II,2018.0,2012.0,10
,3,269,,-99.0,2018.0,10
Analytics Department,10,270,Associate Data Analyst,-99.0,2014.0,7
Analytics Department,1,271,Backend Engineer II,-99.0,2014.0,7
Analytics Department,9,272,Data Analyst II,2017.0,2011.0,5
,10,272,,-99.0,2017.0,9
Analytics Department,8,273,Jr Data Analyst,-99.0,2016.0,5
Analytics Department,11,274,Associate Data Analyst,2017.0,2011.0,12
,6,274,,-99.0,2017.0,11
Administration Department,6,275,Associate Manager,2016.0,2010.0,9
,4,275,,-99.0,2016.0,6
IT Department,9,276,Backend Engineer II,-99.0,2016.0,8
Analytics Department,10,277,Associate Data Analyst,2015.0,2009.0,7
,9,277,,-99.0,2015.0,10
Analytics Department,8,278,Data Analyst II,2018.0,2012.0,7
,1,278,,-99.0,2018.0,8
IT Department,9,279,Associate Backend Engineer,2017.0,2011.0,11
,6,279,,-99.0,2017.0,9
IT Department,3,280,Associate Frontend Engineer,-99.0,2015.0,4
IT Department,10,281,Associate Backend Engineer,2012.0,2006.0,8
,5,281,,2017.0,2012.0,10
,4,281,,-99.0,2017.0,5
IT Department,11,282,Associate Frontend Engineer,2013.0,2007.0,12
,3,282,,2018.0,2013.0,11
,3,282,,-99.0,2018.0,3
IT Department,7,283,Associate Frontend Engineer,2016.0,2010.0,4
,12,283,,-99.0,2016.0,7
Analytics Department,5,284,Backend Engineer II,-99.0,2016.0,6
Analytics Department,6,285,Associate Backend Engineer,-99.0,2016.0,1
Analytics Department,9,286,Data Analyst II,-99.0,2016.0,5
IT Department,10,287,Associate Frontend Engineer,2014.0,2008.0,9
,5,287,,2019.0,2014.0,10
,10,287,,-99.0,2019.0,5
Analytics Department,10,288,Associate Backend Engineer,2019.0,2013.0,8
,8,288,,-99.0,2019.0,10
Analytics Department,7,289,Associate Data Analyst,-99.0,2015.0,6
IT Department,1,290,Associate Frontend Engineer,2019.0,2013.0,5
,12,290,,-99.0,2019.0,1
Administration Department,12,291,Associate Manager,2014.0,2008.0,5
,11,291,,2019.0,2014.0,12
,2,291,,-99.0,2019.0,11
IT Department,4,292,Backend Engineer II,2017.0,2011.0,11
,1,292,,-99.0,2017.0,4
Analytics Department,12,293,Associate Backend Engineer,2018.0,2012.0,8
,12,293,,-99.0,2018.0,12
Analytics Department,8,294,Data Analyst,2015.0,2009.0,12
,11,294,,-99.0,2015.0,8
IT Department,10,295,Backend Engineer II,2018.0,2012.0,4
,2,295,,-99.0,2018.0,10
Analytics Department,2,296,Jr Data Analyst,2019.0,2013.0,5
,7,296,,-99.0,2019.0,2
