id,start_year,start_month,end_year,end_month,job_title,department,last_salary
22,1992,4,1998,9,Associate Data Analyst,Analytics Department,44623
22,1998,9,2003,11,Data Analyst,Analytics Department,74205
22,2003,11,2015,8,Data Analyst II,Analytics Department,100425
23,1992,12,1998,10,Associate Backend Engineer,IT Department,41592
23,1999,10,2004,7,Backend Engineer,IT Department,63175
23,2004,7,2016,9,Backend Engineer II,IT Department,84841
24,1988,5,1999,5,Associate Data Analyst,Analytics Department,44663
24,1999,5,2004,10,Data Analyst,Analytics Department,74245
24,2004,10,2016,12,Data Analyst II,Analytics Department,100465
25,2009,12,2012,5,Associate Frontend Engineer,IT Department,44281
26,2009,7,2012,5,Associate Data Analyst,Analytics Department,44703
27,2005,12,2011,9,Associate Backend Engineer,IT Department,41692
28,1991,12,1997,2,Associate Frontend Engineer,IT Department,44221
28,1998,2,2003,2,Frontend Engineer,IT Department,64006
28,2003,2,2015,11,Frontend Engineer II,IT Department,85274
29,2008,5,2011,3,Associate Data Analyst,Analytics Department,44763
30,2006,12,2009,8,Associate Backend Engineer,IT Department,41767
31,2011,12,2014,11,Associate Backend Engineer,IT Department,41792
32,1998,12,2004,1,Associate Backend Engineer,IT Department,41817
32,2004,1,2009,9,Backend Engineer,IT Department,63400
33,2002,12,2008,9,Associate Frontend Engineer,IT Department,44121
34,2005,5,2011,6,Associate Backend Engineer,IT Department,41867
35,2006,7,2009,5,Associate Backend Engineer,IT Department,41892
36,2009,5,2012,10,Associate Data Analyst,Analytics Department,44903
37,1996,12,2002,3,Associate Data Analyst,Analytics Department,44923
37,2002,3,2007,12,Data Analyst,Analytics Department,74505
37,2007,12,2011,2,Data Analyst II,Analytics Department,100725
38,1999,5,2005,3,Associate Backend Engineer,IT Department,41967
38,2005,3,2010,8,Backend Engineer,IT Department,63550
38,2010,8,2011,9,Backend Engineer II,IT Department,85216
39,1989,7,2000,12,Associate Frontend Engineer,IT Department,44001
39,2000,12,2005,2,Frontend Engineer,IT Department,63786
39,2006,2,2010,8,Frontend Engineer II,IT Department,85054
40,1990,12,2001,11,Associate Backend Engineer,IT Department,42017
40,2002,11,2007,1,Backend Engineer,IT Department,63600
40,2007,1,2011,5,Backend Engineer II,IT Department,85266
41,2008,12,2011,7,Associate Frontend Engineer,IT Department,43961
42,2012,12,2015,3,Associate Data Analyst,Analytics Department,45023
43,2000,7,2006,3,Associate Data Analyst,Analytics Department,45043
44,1999,5,2005,9,Associate Backend Engineer,IT Department,42117
45,2009,12,2012,12,Associate Backend Engineer,IT Department,42142
46,1987,5,1998,9,Associate Frontend Engineer,IT Department,43861
46,1999,9,2004,3,Frontend Engineer,IT Department,63646
46,2004,3,2016,10,Frontend Engineer II,IT Department,84914
47,2010,5,2013,10,Associate Data Analyst,Analytics Department,45123
48,2000,12,2006,4,Associate Backend Engineer,IT Department,42217
49,2008,12,2011,4,Associate Backend Engineer,IT Department,42242
50,2009,12,2012,10,Associate Data Analyst,Analytics Department,45183
51,1999,12,2005,6,Associate Backend Engineer,IT Department,42292
51,2005,6,2010,11,Backend Engineer,IT Department,63875
51,2010,11,2011,11,Backend Engineer II,IT Department,85541
52,1997,12,2003,5,Associate Backend Engineer,IT Department,42317
52,2003,5,2008,2,Backend Engineer,IT Department,63900
53,1990,12,2001,2,Associate Manager,Administration Department,82855
53,2002,2,2007,10,Assistant Manager,Administration Department,118396
53,2008,10,2012,5,Manager,Administration Department,141832
54,1993,5,1999,11,Associate Frontend Engineer,IT Department,43701
54,1999,11,2004,11,Frontend Engineer,IT Department,63486
54,2004,11,2016,9,Backend Engineer II,IT Department,85616
55,2005,4,2011,4,Associate Data Analyst,Analytics Department,45283
57,1996,12,2002,4,Associate Data Analyst,Analytics Department,45323
57,2002,4,2007,10,Data Analyst,Analytics Department,74905
57,2007,10,2011,7,Data Analyst II,Analytics Department,101125
58,2002,5,2008,3,Associate Manager,Administration Department,82955
59,2003,5,2009,4,Associate Backend Engineer,IT Department,42492
60,1989,5,2000,8,Associate Manager,Administration Department,82995
60,2001,8,2006,11,Assistant Manager,Administration Department,118536
60,2006,11,2010,5,Manager,Administration Department,141972
61,1990,12,2001,11,Associate Backend Engineer,IT Department,42542
61,2001,11,2006,12,Backend Engineer,IT Department,64125
61,2006,12,2010,1,Backend Engineer II,IT Department,85791
63,1994,5,2000,9,Associate Data Analyst,Analytics Department,45443
63,2001,9,2006,11,Data Analyst,Analytics Department,75025
63,2006,11,2010,4,Data Analyst II,Analytics Department,101245
64,2008,7,2011,1,Associate Backend Engineer,IT Department,42617
65,2011,12,2014,3,Associate Data Analyst,Analytics Department,45483
66,1999,12,2005,10,Associate Data Analyst,Analytics Department,45503
66,2005,10,2010,3,Data Analyst,Analytics Department,75085
66,2011,3,2012,12,Data Analyst II,Analytics Department,101305
67,2012,12,2015,6,Associate Frontend Engineer,IT Department,43441
68,1999,12,2005,4,Associate Backend Engineer,IT Department,42717
68,2005,4,2010,3,Backend Engineer,IT Department,64300
68,2010,3,2011,4,Backend Engineer II,IT Department,85966
69,2010,5,2013,3,Associate Backend Engineer,IT Department,42742
70,1994,12,2000,4,Associate Data Analyst,Analytics Department,45583
70,2000,4,2005,4,Data Analyst,Analytics Department,75165
70,2006,4,2010,11,Data Analyst II,Analytics Department,101385
71,2009,5,2012,3,Associate Backend Engineer,IT Department,42792
72,1993,12,1999,12,Associate Data Analyst,Analytics Department,45623
72,1999,12,2004,2,Data Analyst,Analytics Department,75205
72,2004,2,2016,2,Data Analyst II,Analytics Department,101425
73,1996,4,2002,1,Associate Backend Engineer,IT Department,42842
73,2003,1,2008,11,Backend Engineer,IT Department,64425
74,2004,12,2010,4,Associate Data Analyst,Analytics Department,45663
75,2000,12,2006,12,Associate Frontend Engineer,IT Department,43281
76,1995,4,2001,6,Associate Data Analyst,Analytics Department,45703
76,2001,6,2006,7,Data Analyst,Analytics Department,75285
76,2006,7,2010,4,Data Analyst II,Analytics Department,101505
77,2000,12,2006,10,Associate Data Analyst,Analytics Department,45723
78,2002,5,2008,3,Associate Backend Engineer,IT Department,42967
79,1987,7,1998,2,Associate Data Analyst,Analytics Department,45763
79,1999,2,2004,4,Data Analyst,Analytics Department,75345
79,2004,4,2016,2,Data Analyst II,Analytics Department,101565
80,2001,12,2007,5,Associate Frontend Engineer,IT Department,43181
81,2012,12,2015,9,Associate Backend Engineer,IT Department,43042
82,2003,5,2009,5,Associate Backend Engineer,IT Department,43067
84,1995,12,2001,6,Associate Backend Engineer,IT Department,43117
84,2001,6,2006,7,Backend Engineer,IT Department,64700
84,2006,7,2010,8,Backend Engineer II,IT Department,86366
85,1999,12,2005,8,Associate Data Analyst,Analytics Department,45883
86,1998,12,2004,1,Associate Data Analyst,Analytics Department,45903
86,2005,1,2010,11,Data Analyst,Analytics Department,75485
86,2011,11,2012,6,Data Analyst II,Analytics Department,101705
87,2000,12,2006,5,Associate Backend Engineer,IT Department,43192
88,2004,7,2010,1,Associate Data Analyst,Analytics Department,45943
89,2003,7,2009,3,Associate Backend Engineer,IT Department,43242
90,1997,12,2003,12,Associate Backend Engineer,IT Department,43267
90,2003,12,2008,12,Backend Engineer,IT Department,64850
91,2000,12,2006,4,Associate Manager,Administration Department,83615
93,1996,5,2002,10,Associate Backend Engineer,IT Department,43342
93,2002,10,2007,9,Backend Engineer,IT Department,64925
93,2008,9,2012,5,Backend Engineer II,IT Department,86591
95,1997,12,2003,9,Associate Frontend Engineer,IT Department,42881
95,2004,9,2009,3,Frontend Engineer,IT Department,62666
95,2010,3,2011,6,Frontend Engineer II,IT Department,83934
96,1995,12,2001,5,Associate Backend Engineer,IT Department,43417
96,2001,5,2006,4,Backend Engineer,IT Department,65000
96,2007,4,2011,7,Backend Engineer II,IT Department,86666
97,1993,12,1999,5,Associate Backend Engineer,IT Department,43442
97,2000,5,2005,1,Backend Engineer,IT Department,65025
97,2006,1,2010,8,Backend Engineer II,IT Department,86691
98,1991,7,1997,8,Associate Data Analyst,Analytics Department,46143
98,1997,8,2002,10,Data Analyst,Analytics Department,75725
98,2003,10,2015,12,Data Analyst II,Analytics Department,101945
99,1996,12,2002,10,Associate Data Analyst,Analytics Department,46163
99,2002,10,2007,6,Data Analyst,Analytics Department,75745
99,2007,6,2011,3,Data Analyst II,Analytics Department,101965
100,2011,12,2014,7,Associate Backend Engineer,IT Department,43517
101,2008,12,2011,12,Associate Backend Engineer,IT Department,43542
102,2010,5,2013,12,Associate Data Analyst,Analytics Department,46223
103,2002,5,2008,3,Associate Backend Engineer,IT Department,43592
105,1995,5,2001,1,Associate Frontend Engineer,IT Department,42681
105,2001,1,2006,3,Frontend Engineer,IT Department,62466
105,2006,3,2010,8,Backend Engineer II,IT Department,86891
106,2012,12,2015,1,Associate Backend Engineer,IT Department,43667
107,1996,5,2002,4,Associate Frontend Engineer,IT Department,42641
107,2003,4,2008,12,Frontend Engineer,IT Department,62426
107,2008,12,2012,9,Frontend Engineer II,IT Department,83694
108,1995,7,2001,11,Associate Data Analyst,Analytics Department,46343
108,2001,11,2006,11,Data Analyst,Analytics Department,75925
108,2007,11,2011,10,Data Analyst II,Analytics Department,102145
109,2012,12,2015,7,Associate Frontend Engineer,IT Department,42601
110,1999,7,2005,2,Associate Backend Engineer,IT Department,43767
111,1991,7,1997,1,Associate Backend Engineer,IT Department,43792
111,1997,1,2002,7,Backend Engineer,IT Department,65375
111,2003,7,2015,8,Backend Engineer II,IT Department,87041
112,2003,12,2009,12,Associate Backend Engineer,IT Department,43817
113,1998,12,2004,12,Associate Data Analyst,Analytics Department,46443
113,2004,12,2009,2,Data Analyst,Analytics Department,76025
113,2010,2,2011,10,Data Analyst II,Analytics Department,102245
114,2006,5,2009,1,Associate Backend Engineer,IT Department,43867
115,2005,5,2011,9,Associate Backend Engineer,IT Department,43892
117,1988,5,1999,10,Associate Backend Engineer,IT Department,43942
117,1999,10,2004,8,Backend Engineer,IT Department,65525
117,2005,8,2017,10,Backend Engineer II,IT Department,87191
118,2008,12,2011,5,Associate Backend Engineer,IT Department,43967
119,2012,12,2015,11,Associate Frontend Engineer,IT Department,42401
120,1992,7,1998,8,Associate Data Analyst,Analytics Department,46583
120,1998,8,2003,9,Data Analyst,Analytics Department,76165
120,2004,9,2016,9,Data Analyst II,Analytics Department,102385
121,2011,12,2014,10,Associate Backend Engineer,IT Department,44042
122,2002,12,2008,1,Associate Frontend Engineer,IT Department,42341
123,1993,5,1999,11,Associate Frontend Engineer,IT Department,42321
123,2000,11,2005,10,Frontend Engineer,IT Department,62106
123,2005,10,2017,1,Frontend Engineer II,IT Department,83374
124,2010,5,2013,8,Associate Backend Engineer,IT Department,44117
125,1994,12,2000,5,Associate Backend Engineer,IT Department,44142
125,2001,5,2006,12,Backend Engineer,IT Department,65725
125,2007,12,2011,1,Backend Engineer II,IT Department,87391
126,2004,7,2010,2,Associate Manager,Administration Department,84315
127,1997,12,2003,8,Associate Frontend Engineer,IT Department,42241
127,2004,8,2009,8,Frontend Engineer,IT Department,62026
128,2008,5,2011,12,Associate Frontend Engineer,IT Department,42221
129,1996,12,2002,9,Associate Frontend Engineer,IT Department,42201
129,2003,9,2008,7,Frontend Engineer,IT Department,61986
129,2008,7,2012,9,Frontend Engineer II,IT Department,83254
130,2007,7,2010,4,Associate Data Analyst,Analytics Department,46783
131,2003,12,2009,10,Associate Data Analyst,Analytics Department,46803
132,2011,12,2014,12,Associate Data Analyst,Analytics Department,46823
133,1995,12,2001,10,Associate Backend Engineer,IT Department,44342
133,2001,10,2006,1,Backend Engineer,IT Department,65925
133,2007,1,2011,11,Backend Engineer II,IT Department,87591
134,1999,5,2005,7,Associate Data Analyst,Analytics Department,46863
135,1998,7,2004,6,Associate Frontend Engineer,IT Department,42081
135,2005,6,2010,11,Frontend Engineer,IT Department,61866
135,2010,11,2011,4,Backend Engineer II,IT Department,87641
136,1997,12,2003,10,Associate Backend Engineer,IT Department,44417
136,2004,10,2009,2,Backend Engineer,IT Department,66000
137,1996,4,2002,7,Associate Data Analyst,Analytics Department,46923
137,2002,7,2007,7,Data Analyst,Analytics Department,76505
137,2007,7,2011,9,Data Analyst II,Analytics Department,102725
138,2005,12,2011,7,Associate Data Analyst,Analytics Department,46943
139,2011,12,2014,8,Associate Frontend Engineer,IT Department,42001
140,1991,4,1997,11,Associate Data Analyst,Analytics Department,46983
140,1997,11,2002,5,Data Analyst,Analytics Department,76565
140,2002,5,2014,11,Data Analyst II,Analytics Department,102785
141,2010,12,2013,3,Associate Manager,Administration Department,84615
142,2008,12,2011,6,Associate Manager,Administration Department,84635
143,1995,4,2001,5,Associate Frontend Engineer,IT Department,41921
143,2001,5,2006,7,Frontend Engineer,IT Department,61706
143,2006,7,2010,1,Frontend Engineer II,IT Department,82974
144,1993,4,1999,10,Associate Backend Engineer,IT Department,44617
144,2000,10,2005,2,Backend Engineer,IT Department,66200
144,2006,2,2010,4,Backend Engineer II,IT Department,87866
145,1991,4,1997,2,Associate Backend Engineer,IT Department,44642
145,1998,2,2003,1,Backend Engineer,IT Department,66225
145,2003,1,2015,2,Backend Engineer II,IT Department,87891
146,2007,5,2010,8,Associate Data Analyst,Analytics Department,47103
147,1994,12,2000,12,Associate Backend Engineer,IT Department,44692
147,2000,12,2005,3,Backend Engineer,IT Department,66275
147,2005,3,2017,3,Backend Engineer II,IT Department,87941
148,2006,5,2009,6,Associate Data Analyst,Analytics Department,47143
149,2008,5,2011,2,Associate Data Analyst,Analytics Department,47163
150,2000,5,2006,8,Associate Data Analyst,Analytics Department,47183
151,1989,5,2000,7,Associate Backend Engineer,IT Department,44792
151,2001,7,2006,6,Backend Engineer,IT Department,66375
151,2007,6,2011,4,Backend Engineer II,IT Department,88041
152,2000,12,2006,4,Associate Data Analyst,Analytics Department,47223
153,2007,12,2010,11,Associate Data Analyst,Analytics Department,47243
154,2004,5,2010,7,Associate Frontend Engineer,IT Department,41701
155,1994,5,2000,12,Associate Manager,Administration Department,84895
155,2000,12,2005,10,Assistant Manager,Administration Department,120436
155,2006,10,2010,2,Manager,Administration Department,143872
156,2005,5,2011,1,Associate Manager,Administration Department,84915
157,1990,12,2001,9,Associate Data Analyst,Analytics Department,47323
157,2002,9,2007,4,Data Analyst,Analytics Department,76905
157,2007,4,2011,12,Data Analyst II,Analytics Department,103125
159,2002,7,2008,9,Associate Backend Engineer,IT Department,44992
160,2004,5,2010,12,Associate Frontend Engineer,IT Department,41581
162,2004,12,2010,2,Associate Manager,Administration Department,85035
163,2011,12,2014,2,Associate Backend Engineer,IT Department,45092
164,2004,5,2010,8,Associate Data Analyst,Analytics Department,47463
165,1997,5,2003,6,Associate Backend Engineer,IT Department,45142
165,2004,6,2009,9,Backend Engineer,IT Department,66725
165,2010,9,2011,6,Backend Engineer II,IT Department,88391
166,1996,12,2002,2,Associate Frontend Engineer,IT Department,41461
166,2003,2,2008,12,Frontend Engineer,IT Department,61246
166,2008,12,2012,4,Frontend Engineer II,IT Department,82514
167,1994,5,2000,8,Associate Frontend Engineer,IT Department,41441
167,2001,8,2006,3,Frontend Engineer,IT Department,61226
167,2007,3,2011,3,Frontend Engineer II,IT Department,82494
168,2007,12,2010,4,Associate Backend Engineer,IT Department,45217
169,1996,5,2002,1,Associate Data Analyst,Analytics Department,47563
169,2003,1,2008,4,Data Analyst,Analytics Department,77145
170,2002,7,2008,2,Associate Data Analyst,Analytics Department,47583
171,1995,12,2001,1,Associate Backend Engineer,IT Department,45292
171,2002,1,2007,4,Backend Engineer,IT Department,66875
171,2008,4,2012,12,Backend Engineer II,IT Department,88541
172,1987,5,1998,7,Associate Backend Engineer,IT Department,45317
172,1998,7,2003,5,Backend Engineer,IT Department,66900
172,2003,5,2015,8,Backend Engineer II,IT Department,88566
173,2007,4,2010,7,Associate Backend Engineer,IT Department,45342
174,1994,12,2000,3,Associate Backend Engineer,IT Department,45367
174,2001,3,2006,5,Backend Engineer,IT Department,66950
174,2007,5,2011,12,Backend Engineer II,IT Department,88616
175,2010,5,2013,9,Associate Frontend Engineer,IT Department,41281
176,2005,5,2011,11,Associate Backend Engineer,IT Department,45417
177,1998,12,2004,12,Associate Data Analyst,Analytics Department,47723
177,2005,12,2010,3,Data Analyst,Analytics Department,77305
177,2010,3,2011,11,Data Analyst II,Analytics Department,103525
178,2005,5,2011,8,Associate Backend Engineer,IT Department,45467
179,2010,4,2013,9,Associate Data Analyst,Analytics Department,47763
181,2002,12,2008,7,Associate Backend Engineer,IT Department,45542
182,2002,12,2008,12,Associate Data Analyst,Analytics Department,47823
183,1991,5,1997,9,Associate Data Analyst,Analytics Department,47843
183,1998,9,2003,8,Data Analyst,Analytics Department,77425
183,2004,8,2016,7,Data Analyst II,Analytics Department,103645
184,2010,4,2013,4,Associate Frontend Engineer,IT Department,41101
185,1999,4,2005,1,Associate Manager,Administration Department,85495
185,2005,1,2010,4,Assistant Manager,Administration Department,121036
185,2011,4,2012,12,Manager,Administration Department,144472
186,2012,5,2015,4,Associate Backend Engineer,IT Department,45667
188,2003,5,2009,11,Associate Backend Engineer,IT Department,45717
189,2003,12,2009,5,Associate Frontend Engineer,IT Department,41001
190,2001,12,2007,1,Associate Data Analyst,Analytics Department,47983
191,1992,12,1998,8,Associate Backend Engineer,IT Department,45792
191,1998,8,2003,10,Backend Engineer,IT Department,67375
191,2004,10,2016,10,Backend Engineer II,IT Department,89041
192,2000,12,2006,3,Associate Frontend Engineer,IT Department,40941
193,2004,7,2010,2,Associate Backend Engineer,IT Department,45842
194,2010,5,2013,7,Associate Data Analyst,Analytics Department,48063
195,1998,5,2004,12,Associate Data Analyst,Analytics Department,48083
195,2005,12,2010,4,Data Analyst,Analytics Department,77665
195,2010,4,2011,9,Data Analyst II,Analytics Department,103885
196,2012,12,2015,7,Associate Data Analyst,Analytics Department,48103
197,1991,5,1997,6,Associate Data Analyst,Analytics Department,48123
197,1997,6,2002,9,Data Analyst,Analytics Department,77705
197,2003,9,2015,6,Data Analyst II,Analytics Department,103925
198,1995,12,2001,7,Associate Manager,Administration Department,85755
198,2002,7,2007,2,Assistant Manager,Administration Department,121296
198,2008,2,2012,2,Manager,Administration Department,144732
199,1994,12,2000,10,Associate Backend Engineer,IT Department,45992
199,2001,10,2006,10,Backend Engineer,IT Department,67575
199,2007,10,2011,6,Backend Engineer II,IT Department,89241
200,1992,12,1998,9,Associate Backend Engineer,IT Department,46017
200,1999,9,2004,6,Backend Engineer,IT Department,67600
200,2004,6,2016,7,Backend Engineer II,IT Department,89266
201,2010,4,2013,9,Associate Backend Engineer,IT Department,46042
202,2001,5,2007,4,Associate Frontend Engineer,IT Department,40741
203,1999,7,2005,8,Associate Backend Engineer,IT Department,46092
203,2005,8,2010,8,Backend Engineer,IT Department,67675
203,2010,8,2011,1,Backend Engineer II,IT Department,89341
204,1986,12,1997,10,Associate Backend Engineer,IT Department,46117
204,1998,10,2003,5,Backend Engineer,IT Department,67700
204,2003,5,2015,6,Backend Engineer II,IT Department,89366
205,1998,12,2004,11,Associate Manager,Administration Department,85895
205,2005,11,2010,6,Assistant Manager,Administration Department,121436
205,2010,6,2011,5,Manager,Administration Department,144872
206,1992,12,1998,3,Associate Manager,Administration Department,85915
206,1999,3,2004,8,Assistant Manager,Administration Department,121456
206,2004,8,2016,10,Manager,Administration Department,144892
207,1995,12,2001,4,Associate Data Analyst,Analytics Department,48323
207,2002,4,2007,2,Data Analyst,Analytics Department,77905
207,2008,2,2012,4,Data Analyst II,Analytics Department,104125
208,1986,12,1997,1,Associate Backend Engineer,IT Department,46217
208,1997,1,2002,10,Backend Engineer,IT Department,67800
208,2003,10,2015,2,Backend Engineer II,IT Department,89466
209,2008,5,2011,10,Associate Data Analyst,Analytics Department,48363
210,1995,5,2001,12,Associate Backend Engineer,IT Department,46267
210,2001,12,2006,8,Backend Engineer,IT Department,67850
210,2006,8,2010,7,Backend Engineer II,IT Department,89516
211,2002,12,2008,8,Associate Data Analyst,Analytics Department,48403
212,1996,12,2002,10,Associate Frontend Engineer,IT Department,40541
212,2002,10,2007,3,Frontend Engineer,IT Department,60326
212,2008,3,2012,12,Backend Engineer II,IT Department,89566
213,1992,4,1998,8,Associate Frontend Engineer,IT Department,40521
213,1998,8,2003,5,Frontend Engineer,IT Department,60306
213,2003,5,2015,8,Frontend Engineer II,IT Department,81574
214,2001,12,2007,8,Associate Backend Engineer,IT Department,46367
215,2004,12,2010,8,Associate Frontend Engineer,IT Department,40481
216,2009,12,2012,7,Associate Backend Engineer,IT Department,46417
217,1992,7,1998,7,Associate Backend Engineer,IT Department,46442
217,1999,7,2004,11,Backend Engineer,IT Department,68025
217,2004,11,2016,7,Backend Engineer II,IT Department,89691
220,2004,12,2010,5,Associate Frontend Engineer,IT Department,40381
221,2012,7,2015,6,Associate Backend Engineer,IT Department,46542
222,2004,12,2010,8,Associate Data Analyst,Analytics Department,48623
223,1998,12,2004,9,Associate Backend Engineer,IT Department,46592
223,2004,9,2009,10,Backend Engineer,IT Department,68175
223,2010,10,2011,1,Backend Engineer II,IT Department,89841
224,1999,12,2005,1,Associate Backend Engineer,IT Department,46617
224,2005,1,2010,11,Backend Engineer,IT Department,68200
224,2010,11,2011,7,Backend Engineer II,IT Department,89866
225,2010,5,2013,8,Associate Backend Engineer,IT Department,46642
226,2003,5,2009,11,Associate Backend Engineer,IT Department,46667
227,2010,12,2013,9,Associate Backend Engineer,IT Department,46692
228,1990,5,2001,6,Associate Frontend Engineer,IT Department,40221
228,2001,6,2006,1,Frontend Engineer,IT Department,60006
228,2006,1,2010,3,Frontend Engineer II,IT Department,81274
229,2001,12,2007,4,Associate Manager,Administration Department,86375
230,1990,5,2001,7,Associate Frontend Engineer,IT Department,40181
230,2001,7,2006,11,Frontend Engineer,IT Department,59966
230,2006,11,2010,11,Backend Engineer II,IT Department,90016
231,2001,5,2007,10,Associate Data Analyst,Analytics Department,48803
232,2008,5,2011,3,Associate Backend Engineer,IT Department,46817
233,2003,12,2009,3,Associate Data Analyst,Analytics Department,48843
234,1992,5,1998,3,Associate Frontend Engineer,IT Department,40101
234,1999,3,2004,4,Frontend Engineer,IT Department,59886
234,2005,4,2017,7,Frontend Engineer II,IT Department,81154
235,1991,12,1997,8,Associate Backend Engineer,IT Department,46892
235,1998,8,2003,10,Backend Engineer,IT Department,68475
235,2004,10,2016,10,Backend Engineer II,IT Department,90141
236,2001,12,2007,6,Associate Backend Engineer,IT Department,46917
237,1987,12,1998,10,Associate Backend Engineer,IT Department,46942
237,1999,10,2004,7,Backend Engineer,IT Department,68525
237,2004,7,2016,5,Backend Engineer II,IT Department,90191
238,1994,12,2000,3,Associate Data Analyst,Analytics Department,48943
238,2001,3,2006,1,Data Analyst,Analytics Department,78525
238,2007,1,2011,11,Data Analyst II,Analytics Department,104745
239,1992,5,1998,1,Associate Frontend Engineer,IT Department,40001
239,1998,1,2003,10,Frontend Engineer,IT Department,59786
239,2003,10,2015,1,Frontend Engineer II,IT Department,81054
240,2011,7,2014,3,Associate Data Analyst,Analytics Department,48983
241,1989,5,2000,11,Associate Data Analyst,Analytics Department,49003
241,2000,11,2005,6,Data Analyst,Analytics Department,78585
241,2006,6,2010,4,Data Analyst II,Analytics Department,104805
242,1990,12,2001,7,Associate Backend Engineer,IT Department,47067
242,2001,7,2006,2,Backend Engineer,IT Department,68650
242,2007,2,2011,1,Backend Engineer II,IT Department,90316
243,2003,12,2009,6,Associate Manager,Administration Department,86655
244,1992,12,1998,11,Associate Data Analyst,Analytics Department,49063
244,1998,11,2003,6,Data Analyst,Analytics Department,78645
244,2003,6,2015,11,Data Analyst II,Analytics Department,104865
245,1995,12,2001,10,Associate Data Analyst,Analytics Department,49083
245,2002,10,2007,9,Data Analyst,Analytics Department,78665
245,2007,9,2011,3,Data Analyst II,Analytics Department,104885
246,1998,5,2004,1,Associate Data Analyst,Analytics Department,49103
246,2004,1,2009,9,Data Analyst,Analytics Department,78685
246,2010,9,2011,7,Data Analyst II,Analytics Department,104905
247,1991,5,1997,6,Associate Manager,Administration Department,86735
247,1998,6,2003,9,Assistant Manager,Administration Department,122276
247,2004,9,2016,8,Manager,Administration Department,145712
248,1997,12,2003,4,Associate Data Analyst,Analytics Department,49143
248,2003,4,2008,3,Data Analyst,Analytics Department,78725
248,2008,3,2012,3,Data Analyst II,Analytics Department,104945
249,1996,7,2002,3,Associate Data Analyst,Analytics Department,49163
249,2002,3,2007,4,Data Analyst,Analytics Department,78745
249,2008,4,2012,6,Data Analyst II,Analytics Department,104965
250,1993,12,1999,7,Associate Backend Engineer,IT Department,47267
250,1999,7,2004,9,Backend Engineer,IT Department,68850
250,2005,9,2017,9,Backend Engineer II,IT Department,90516
251,1996,4,2002,2,Associate Data Analyst,Analytics Department,49203
251,2003,2,2008,2,Data Analyst,Analytics Department,78785
251,2008,2,2012,9,Data Analyst II,Analytics Department,105005
252,2002,7,2008,10,Associate Frontend Engineer,IT Department,39741
