id,year,exp_yr_count,medical_leaves,casual_leaves
23,2018,3,6,14
23,2019,4,3,11
24,2016,1,3,11
24,2017,2,8,10
24,2018,3,3,8
24,2019,4,5,14
25,2012,1,9,9
25,2013,2,2,10
25,2014,3,0,14
25,2015,4,2,13
25,2016,5,6,6
25,2017,6,0,1
25,2018,7,9,9
25,2019,8,8,8
26,2012,1,3,1
26,2013,2,4,1
26,2014,3,1,12
26,2015,4,7,5
26,2016,5,5,8
26,2017,6,3,14
26,2018,7,6,13
26,2019,8,10,12
27,2011,1,3,1
27,2012,2,10,15
27,2013,3,7,8
27,2014,4,7,15
27,2015,5,8,4
27,2016,6,10,5
27,2017,7,3,9
27,2018,8,9,5
27,2019,9,5,1
28,2015,1,1,3
28,2016,2,2,9
28,2017,3,4,8
28,2018,4,8,9
28,2019,5,0,6
29,2011,1,3,2
29,2012,2,5,6
29,2013,3,1,10
29,2014,4,0,3
29,2015,5,1,11
29,2016,6,7,4
29,2017,7,3,3
29,2018,8,9,15
29,2019,9,5,4
30,2009,1,4,14
30,2010,2,1,0
30,2011,3,7,0
30,2012,4,4,15
30,2013,5,9,1
30,2014,6,9,15
30,2015,7,9,14
30,2016,8,5,2
30,2017,9,0,15
30,2018,10,10,10
30,2019,11,1,8
31,2014,1,0,14
31,2015,2,8,6
31,2016,3,5,7
31,2017,4,0,5
31,2018,5,7,12
31,2019,6,6,8
32,2009,1,7,13
32,2010,2,10,3
32,2011,3,3,13
32,2012,4,3,8
32,2013,5,4,2
32,2014,6,10,7
32,2015,7,1,1
32,2016,8,7,10
32,2017,9,8,9
32,2018,10,0,14
32,2019,11,2,14
33,2008,1,6,13
33,2009,2,0,14
33,2010,3,3,4
33,2011,4,10,3
33,2012,5,0,14
33,2013,6,7,12
33,2014,7,4,4
33,2015,8,8,1
33,2016,9,9,15
33,2017,10,5,3
33,2018,11,8,9
33,2019,12,10,8
34,2011,1,0,3
34,2012,2,0,2
34,2013,3,8,9
34,2014,4,9,7
34,2015,5,6,9
34,2016,6,9,12
34,2017,7,8,6
34,2018,8,6,8
34,2019,9,1,13
35,2009,1,4,13
35,2010,2,1,11
35,2011,3,1,4
35,2012,4,3,8
35,2013,5,0,7
35,2014,6,4,7
35,2015,7,1,3
35,2016,8,10,3
35,2017,9,6,4
35,2018,10,1,3
35,2019,11,10,14
36,2012,1,10,13
36,2013,2,2,10
36,2014,3,7,10
36,2015,4,3,14
36,2016,5,2,10
36,2017,6,2,5
36,2018,7,1,1
36,2019,8,0,3
37,2011,1,9,11
37,2012,2,2,6
37,2013,3,5,13
37,2014,4,9,0
37,2015,5,1,9
37,2016,6,7,12
37,2017,7,7,3
37,2018,8,8,6
37,2019,9,0,12
38,2011,1,5,9
38,2012,2,10,9
38,2013,3,0,3
38,2014,4,0,5
38,2015,5,1,9
38,2016,6,1,7
38,2017,7,1,12
38,2018,8,1,10
38,2019,9,2,10
39,2010,1,8,11
39,2011,2,9,14
39,2012,3,10,1
39,2013,4,1,4
39,2014,5,1,5
39,2015,6,5,11
39,2016,7,4,6
39,2017,8,10,2
39,2018,9,8,10
39,2019,10,2,15
40,2011,1,4,14
40,2012,2,6,8
40,2013,3,8,13
40,2014,4,7,7
40,2015,5,9,14
40,2016,6,2,3
40,2017,7,3,8
40,2018,8,7,1
40,2019,9,4,10
41,2011,1,4,12
41,2012,2,4,6
41,2013,3,7,13
41,2014,4,3,7
41,2015,5,5,14
41,2016,6,8,6
41,2017,7,4,4
41,2018,8,9,11
41,2019,9,2,9
42,2015,1,0,4
42,2016,2,1,12
42,2017,3,6,3
42,2018,4,2,11
42,2019,5,2,9
43,2006,1,2,6
43,2007,2,5,7
43,2008,3,2,14
43,2009,4,2,4
43,2010,5,9,4
43,2011,6,1,9
43,2012,7,6,5
43,2013,8,8,6
43,2014,9,6,1
43,2015,10,7,8
43,2016,11,6,2
43,2017,12,9,8
43,2018,13,6,4
43,2019,14,2,8
44,2005,1,2,6
44,2006,2,5,10
44,2007,3,7,12
44,2008,4,2,2
44,2009,5,10,14
44,2010,6,5,15
44,2011,7,1,7
44,2012,8,8,14
44,2013,9,10,14
44,2014,10,0,1
44,2015,11,2,11
44,2016,12,4,13
44,2017,13,7,9
44,2018,14,7,13
44,2019,15,6,10
45,2012,1,3,7
45,2013,2,5,1
45,2014,3,8,5
45,2015,4,7,11
45,2016,5,8,0
45,2017,6,4,6
45,2018,7,10,0
45,2019,8,6,12
46,2016,1,6,9
46,2017,2,1,11
46,2018,3,0,4
46,2019,4,3,15
47,2013,1,6,13
47,2014,2,2,13
47,2015,3,0,12
47,2016,4,3,2
47,2017,5,3,8
47,2018,6,2,13
47,2019,7,9,9
48,2006,1,5,9
48,2007,2,6,9
48,2008,3,8,5
48,2009,4,0,11
48,2010,5,2,6
48,2011,6,6,4
48,2012,7,3,13
48,2013,8,10,4
48,2014,9,1,6
48,2015,10,2,10
48,2016,11,9,14
48,2017,12,4,10
48,2018,13,3,3
48,2019,14,4,8
49,2011,1,4,3
49,2012,2,4,5
49,2013,3,0,15
49,2014,4,0,13
49,2015,5,9,11
49,2016,6,3,14
49,2017,7,5,1
49,2018,8,10,9
49,2019,9,3,7
50,2012,1,9,14
50,2013,2,8,5
50,2014,3,10,13
50,2015,4,2,9
50,2016,5,3,11
50,2017,6,0,2
50,2018,7,9,0
50,2019,8,5,9
51,2011,1,10,13
51,2012,2,0,0
51,2013,3,10,2
51,2014,4,10,4
51,2015,5,0,2
51,2016,6,5,5
51,2017,7,3,10
51,2018,8,0,7
51,2019,9,3,4
52,2008,1,9,15
52,2009,2,1,14
52,2010,3,10,13
52,2011,4,0,0
52,2012,5,8,1
52,2013,6,7,11
52,2014,7,3,11
52,2015,8,8,1
52,2016,9,1,8
52,2017,10,3,2
52,2018,11,7,3
52,2019,12,10,10
53,2012,1,10,11
53,2013,2,9,1
53,2014,3,0,5
53,2015,4,4,10
53,2016,5,10,6
53,2017,6,7,15
53,2018,7,4,5
53,2019,8,4,12
54,2016,1,6,10
54,2017,2,9,4
54,2018,3,6,6
54,2019,4,5,15
55,2011,1,8,13
55,2012,2,5,15
55,2013,3,5,3
55,2014,4,3,15
55,2015,5,2,5
55,2016,6,5,10
55,2017,7,4,5
55,2018,8,2,11
55,2019,9,0,10
56,2014,1,1,5
56,2015,2,8,7
56,2016,3,5,10
56,2017,4,3,6
56,2018,5,8,10
56,2019,6,7,0
57,2011,1,0,0
57,2012,2,10,3
57,2013,3,3,9
57,2014,4,10,5
57,2015,5,10,11
57,2016,6,3,13
57,2017,7,9,8
57,2018,8,2,10
57,2019,9,8,7
58,2008,1,9,12
58,2009,2,0,1
58,2010,3,6,5
58,2011,4,10,0
58,2012,5,10,10
58,2013,6,3,6
58,2014,7,6,5
58,2015,8,9,13
58,2016,9,10,3
58,2017,10,4,14
58,2018,11,10,3
58,2019,12,8,2
59,2009,1,7,11
59,2010,2,8,11
59,2011,3,10,15
59,2012,4,2,8
59,2013,5,9,8
59,2014,6,0,3
59,2015,7,5,10
59,2016,8,10,10
59,2017,9,9,7
59,2018,10,6,0
59,2019,11,9,11
60,2010,1,5,14
60,2011,2,2,3
60,2012,3,6,5
60,2013,4,1,7
60,2014,5,9,2
60,2015,6,4,1
60,2016,7,6,11
60,2017,8,1,8
60,2018,9,2,7
60,2019,10,10,0
61,2010,1,0,0
61,2011,2,1,10
61,2012,3,1,15
61,2013,4,7,6
61,2014,5,0,4
61,2015,6,0,1
61,2016,7,8,14
61,2017,8,4,5
61,2018,9,5,14
61,2019,10,8,5
62,2013,1,0,4
62,2014,2,9,1
62,2015,3,5,3
62,2016,4,1,6
62,2017,5,7,15
62,2018,6,2,8
62,2019,7,9,15
63,2010,1,3,5
63,2011,2,0,13
63,2012,3,2,12
63,2013,4,6,5
63,2014,5,3,14
63,2015,6,3,7
63,2016,7,1,9
63,2017,8,9,14
63,2018,9,3,9
63,2019,10,5,7
64,2011,1,6,12
64,2012,2,8,14
64,2013,3,7,1
64,2014,4,6,4
64,2015,5,0,7
64,2016,6,4,8
64,2017,7,4,4
64,2018,8,6,11
64,2019,9,6,12
65,2014,1,6,3
65,2015,2,7,0
65,2016,3,3,4
65,2017,4,10,15
65,2018,5,9,15
65,2019,6,9,8
66,2012,1,5,8
66,2013,2,3,8
66,2014,3,8,5
66,2015,4,4,2
66,2016,5,5,1
66,2017,6,10,14
66,2018,7,4,2
66,2019,8,3,11
67,2015,1,9,10
67,2016,2,0,1
67,2017,3,4,10
67,2018,4,2,10
67,2019,5,2,4
68,2011,1,7,0
68,2012,2,2,4
68,2013,3,2,13
68,2014,4,4,3
68,2015,5,8,12
68,2016,6,6,8
68,2017,7,7,11
68,2018,8,0,5
68,2019,9,9,10
69,2013,1,5,14
69,2014,2,9,6
69,2015,3,7,4
69,2016,4,5,2
69,2017,5,4,7
69,2018,6,3,15
69,2019,7,8,7
70,2010,1,1,8
70,2011,2,3,3
70,2012,3,3,2
70,2013,4,9,11
70,2014,5,3,2
70,2015,6,0,7
70,2016,7,3,10
70,2017,8,10,9
70,2018,9,10,14
70,2019,10,2,10
71,2012,1,0,14
71,2013,2,9,2
71,2014,3,4,5
71,2015,4,10,9
71,2016,5,0,10
71,2017,6,6,12
71,2018,7,2,1
71,2019,8,3,15
72,2016,1,0,14
72,2017,2,9,9
72,2018,3,0,8
72,2019,4,0,3
73,2008,1,9,10
73,2009,2,4,9
73,2010,3,7,15
73,2011,4,1,7
73,2012,5,2,9
73,2013,6,4,12
73,2014,7,3,1
73,2015,8,10,0
73,2016,9,7,5
73,2017,10,3,2
73,2018,11,3,5
73,2019,12,2,5
74,2010,1,1,7
74,2011,2,2,14
74,2012,3,6,9
74,2013,4,6,0
74,2014,5,8,3
74,2015,6,5,3
74,2016,7,4,15
74,2017,8,10,0
74,2018,9,10,15
74,2019,10,1,7
75,2006,1,2,8
75,2007,2,8,12
75,2008,3,4,13
75,2009,4,1,9
75,2010,5,6,5
75,2011,6,1,0
75,2012,7,3,8
75,2013,8,5,9
75,2014,9,6,5
75,2015,10,7,3
75,2016,11,6,11
75,2017,12,7,0
75,2018,13,0,7
75,2019,14,7,5
76,2010,1,1,14
76,2011,2,10,9
76,2012,3,3,1
76,2013,4,0,13
76,2014,5,8,14
76,2015,6,9,8
76,2016,7,6,2
76,2017,8,10,10
76,2018,9,0,8
76,2019,10,1,7
77,2006,1,1,7
77,2007,2,0,2
77,2008,3,8,4
77,2009,4,6,9
77,2010,5,7,5
77,2011,6,5,3
77,2012,7,7,7
77,2013,8,7,12
77,2014,9,3,9
77,2015,10,6,9
77,2016,11,10,2
77,2017,12,3,0
77,2018,13,9,10
77,2019,14,10,14
78,2008,1,5,13
78,2009,2,2,15
78,2010,3,9,12
78,2011,4,5,4
78,2012,5,2,8
78,2013,6,2,5
78,2014,7,9,4
78,2015,8,1,3
78,2016,9,4,11
78,2017,10,9,13
78,2018,11,2,12
78,2019,12,9,1
79,2016,1,8,3
79,2017,2,2,9
79,2018,3,1,13
79,2019,4,6,12
80,2007,1,8,13
80,2008,2,1,3
80,2009,3,1,4
80,2010,4,8,4
80,2011,5,8,15
80,2012,6,3,11
80,2013,7,5,3
80,2014,8,9,11
80,2015,9,6,11
80,2016,10,9,1
80,2017,11,1,14
80,2018,12,6,7
80,2019,13,4,3
81,2015,1,0,13
81,2016,2,3,0
81,2017,3,4,14
81,2018,4,7,8
81,2019,5,6,5
82,2009,1,1,7
82,2010,2,0,2
82,2011,3,3,7
82,2012,4,2,3
82,2013,5,4,4
82,2014,6,7,13
82,2015,7,10,8
82,2016,8,9,1
82,2017,9,6,11
82,2018,10,3,5
82,2019,11,9,6
83,2013,1,7,0
83,2014,2,4,15
83,2015,3,3,7
83,2016,4,6,8
83,2017,5,1,8
83,2018,6,2,10
83,2019,7,6,3
84,2010,1,2,4
84,2011,2,9,11
84,2012,3,6,9
84,2013,4,1,3
84,2014,5,10,3
84,2015,6,9,7
84,2016,7,0,5
84,2017,8,10,14
84,2018,9,2,6
84,2019,10,0,6
85,2005,1,10,3
85,2006,2,8,1
85,2007,3,5,5
85,2008,4,4,5
85,2009,5,4,11
85,2010,6,7,0
85,2011,7,8,9
85,2012,8,5,6
85,2013,9,8,9
85,2014,10,0,4
85,2015,11,9,2
85,2016,12,7,13
85,2017,13,8,15
85,2018,14,4,1
85,2019,15,3,5
86,2012,1,4,12
86,2013,2,7,14
86,2014,3,6,9
86,2015,4,8,14
86,2016,5,9,3
86,2017,6,9,10
86,2018,7,0,3
86,2019,8,0,14
87,2006,1,6,10
87,2007,2,8,6
87,2008,3,8,7
87,2009,4,7,5
87,2010,5,1,5
87,2011,6,4,10
87,2012,7,0,13
87,2013,8,5,8
87,2014,9,0,9
87,2015,10,10,1
87,2016,11,1,7
87,2017,12,4,13
87,2018,13,1,10
87,2019,14,10,2
88,2010,1,8,6
88,2011,2,7,12
88,2012,3,4,11
88,2013,4,8,4
88,2014,5,9,12
88,2015,6,1,14
88,2016,7,6,1
88,2017,8,2,15
88,2018,9,7,5
88,2019,10,10,9
89,2009,1,7,4
89,2010,2,10,4
89,2011,3,8,6
89,2012,4,9,5
89,2013,5,6,10
89,2014,6,4,3
89,2015,7,0,9
89,2016,8,1,11
89,2017,9,9,13
89,2018,10,8,8
89,2019,11,1,5
90,2008,1,9,5
90,2009,2,7,6
90,2010,3,7,10
90,2011,4,9,3
90,2012,5,0,7
90,2013,6,2,3
90,2014,7,8,10
90,2015,8,8,14
90,2016,9,2,8
90,2017,10,10,10
90,2018,11,7,1
90,2019,12,5,15
91,2006,1,10,4
91,2007,2,7,14
91,2008,3,6,13
91,2009,4,3,11
91,2010,5,7,13
91,2011,6,1,3
91,2012,7,1,10
91,2013,8,7,14
91,2014,9,6,13
91,2015,10,2,3
91,2016,11,6,7
91,2017,12,0,1
91,2018,13,9,6
91,2019,14,9,13
92,2013,1,1,2
92,2014,2,1,2
92,2015,3,0,3
92,2016,4,2,6
92,2017,5,4,1
92,2018,6,2,5
92,2019,7,10,14
93,2012,1,8,11
93,2013,2,3,15
93,2014,3,4,6
93,2015,4,7,5
93,2016,5,7,11
93,2017,6,6,3
93,2018,7,1,11
93,2019,8,8,10
94,2013,1,3,4
94,2014,2,5,7
94,2015,3,2,0
94,2016,4,3,15
94,2017,5,2,1
94,2018,6,4,4
94,2019,7,0,13
95,2011,1,7,1
95,2012,2,6,10
95,2013,3,2,13
95,2014,4,9,15
95,2015,5,0,14
95,2016,6,0,14
95,2017,7,8,9
95,2018,8,2,0
95,2019,9,1,11
96,2011,1,7,15
96,2012,2,3,6
96,2013,3,6,1
96,2014,4,3,2
96,2015,5,4,14
96,2016,6,10,10
96,2017,7,0,0
96,2018,8,0,0
96,2019,9,1,1
97,2010,1,3,12
97,2011,2,3,12
97,2012,3,8,12
97,2013,4,10,15
97,2014,5,4,0
97,2015,6,4,7
97,2016,7,5,10
97,2017,8,1,13
97,2018,9,10,10
97,2019,10,7,6
98,2015,1,1,14
98,2016,2,5,1
98,2017,3,0,12
98,2018,4,9,3
98,2019,5,9,0
99,2011,1,1,11
99,2012,2,2,0
99,2013,3,0,6
99,2014,4,9,2
99,2015,5,1,0
99,2016,6,1,6
99,2017,7,5,3
99,2018,8,5,7
99,2019,9,2,4
100,2014,1,2,9
100,2015,2,4,12
100,2016,3,7,1
100,2017,4,6,10
100,2018,5,3,6
100,2019,6,7,6
101,2011,1,10,1
101,2012,2,0,5
101,2013,3,0,15
101,2014,4,9,1
101,2015,5,5,7
101,2016,6,0,11
101,2017,7,0,4
101,2018,8,7,1
101,2019,9,0,5
102,2013,1,8,3
102,2014,2,7,14
102,2015,3,10,0
102,2016,4,2,12
102,2017,5,3,8
102,2018,6,1,15
102,2019,7,10,3
103,2008,1,5,8
103,2009,2,3,6
103,2010,3,10,5
103,2011,4,10,7
103,2012,5,7,10
103,2013,6,1,4
103,2014,7,7,12
103,2015,8,4,8
103,2016,9,6,2
103,2017,10,7,9
103,2018,11,7,1
103,2019,12,9,9
104,2013,1,4,5
104,2014,2,9,0
104,2015,3,1,12
104,2016,4,0,7
104,2017,5,5,3
104,2018,6,2,2
104,2019,7,9,12
105,2010,1,6,13
105,2011,2,8,10
105,2012,3,4,14
105,2013,4,2,3
105,2014,5,7,9
105,2015,6,8,10
105,2016,7,2,3
105,2017,8,6,4
105,2018,9,3,3
105,2019,10,3,2
106,2015,1,7,10
106,2016,2,4,9
106,2017,3,0,13
106,2018,4,3,10
106,2019,5,7,7
107,2012,1,0,15
107,2013,2,2,5
107,2014,3,4,2
107,2015,4,5,14
107,2016,5,0,7
107,2017,6,1,8
107,2018,7,0,0
107,2019,8,5,13
108,2011,1,4,14
108,2012,2,7,9
108,2013,3,6,7
108,2014,4,8,8
108,2015,5,10,7
108,2016,6,5,10
108,2017,7,7,6
108,2018,8,0,15
108,2019,9,2,15
109,2015,1,5,6
109,2016,2,5,15
109,2017,3,9,8
109,2018,4,1,1
109,2019,5,6,10
110,2005,1,9,10
110,2006,2,7,14
110,2007,3,2,11
110,2008,4,0,1
110,2009,5,1,15
110,2010,6,1,14
110,2011,7,7,8
110,2012,8,0,13
110,2013,9,9,7
110,2014,10,3,7
110,2015,11,9,2
110,2016,12,6,6
110,2017,13,5,6
110,2018,14,6,11
110,2019,15,3,2
111,2015,1,1,2
111,2016,2,10,8
111,2017,3,1,10
111,2018,4,2,4
111,2019,5,8,9
112,2009,1,10,1
112,2010,2,7,0
112,2011,3,3,9
112,2012,4,2,3
112,2013,5,0,2
112,2014,6,3,13
112,2015,7,7,3
112,2016,8,5,1
112,2017,9,8,14
112,2018,10,8,9
112,2019,11,0,10
113,2011,1,8,7
113,2012,2,2,2
113,2013,3,1,8
113,2014,4,5,14
113,2015,5,5,8
113,2016,6,7,6
113,2017,7,9,9
113,2018,8,0,7
113,2019,9,5,9
114,2009,1,9,9
114,2010,2,0,5
114,2011,3,4,6
114,2012,4,4,12
114,2013,5,2,7
114,2014,6,1,7
114,2015,7,2,9
114,2016,8,6,8
114,2017,9,5,1
114,2018,10,8,3
114,2019,11,6,8
115,2011,1,9,11
115,2012,2,1,14
115,2013,3,8,9
115,2014,4,4,0
115,2015,5,1,6
115,2016,6,2,6
115,2017,7,0,4
115,2018,8,10,12
115,2019,9,10,3
116,2013,1,2,15
116,2014,2,4,15
116,2015,3,2,9
116,2016,4,6,1
116,2017,5,5,5
116,2018,6,5,9
116,2019,7,1,7
117,2017,1,10,12
117,2018,2,6,9
117,2019,3,1,4
118,2011,1,7,0
118,2012,2,9,10
118,2013,3,0,6
118,2014,4,7,11
118,2015,5,0,10
118,2016,6,6,8
118,2017,7,0,7
118,2018,8,4,1
118,2019,9,10,7
119,2015,1,1,10
119,2016,2,3,2
119,2017,3,0,9
119,2018,4,3,0
119,2019,5,4,9
120,2016,1,4,5
120,2017,2,3,1
120,2018,3,5,6
120,2019,4,6,15
121,2014,1,8,15
121,2015,2,6,15
121,2016,3,4,9
121,2017,4,7,11
121,2018,5,7,2
121,2019,6,0,10
122,2008,1,9,4
122,2009,2,2,13
122,2010,3,8,0
122,2011,4,0,7
122,2012,5,6,2
122,2013,6,6,0
122,2014,7,0,12
122,2015,8,2,13
122,2016,9,4,8
122,2017,10,4,4
122,2018,11,9,11
122,2019,12,0,5
123,2017,1,1,13
123,2018,2,0,1
123,2019,3,3,12
124,2013,1,10,8
124,2014,2,2,12
124,2015,3,0,7
124,2016,4,7,12
124,2017,5,3,9
124,2018,6,1,0
124,2019,7,9,2
125,2011,1,4,14
125,2012,2,5,9
125,2013,3,9,0
125,2014,4,10,9
125,2015,5,1,9
125,2016,6,0,14
125,2017,7,3,11
125,2018,8,5,15
125,2019,9,4,13
126,2010,1,8,11
126,2011,2,1,1
126,2012,3,6,10
126,2013,4,6,12
126,2014,5,10,10
126,2015,6,5,9
126,2016,7,9,11
126,2017,8,4,14
126,2018,9,10,15
126,2019,10,6,6
127,2009,1,8,1
127,2010,2,2,5
127,2011,3,10,3
127,2012,4,8,1
127,2013,5,5,2
127,2014,6,9,1
127,2015,7,3,13
127,2016,8,3,11
127,2017,9,4,14
127,2018,10,0,12
127,2019,11,5,15
128,2011,1,8,4
128,2012,2,8,12
128,2013,3,4,5
128,2014,4,10,11
128,2015,5,5,1
128,2016,6,2,4
128,2017,7,2,11
128,2018,8,0,4
128,2019,9,3,1
129,2012,1,2,10
129,2013,2,9,11
129,2014,3,7,11
129,2015,4,10,10
129,2016,5,7,1
129,2017,6,8,4
129,2018,7,3,5
129,2019,8,7,2
130,2010,1,0,4
130,2011,2,1,3
130,2012,3,4,7
130,2013,4,3,4
130,2014,5,8,9
130,2015,6,8,8
130,2016,7,8,12
130,2017,8,7,7
130,2018,9,0,12
130,2019,10,4,9
131,2009,1,4,2
131,2010,2,1,11
131,2011,3,3,4
131,2012,4,6,4
131,2013,5,4,4
131,2014,6,3,11
131,2015,7,8,7
131,2016,8,5,9
131,2017,9,4,1
131,2018,10,8,14
131,2019,11,9,12
132,2014,1,3,2
132,2015,2,7,8
132,2016,3,8,1
132,2017,4,10,0
132,2018,5,8,11
132,2019,6,6,8
133,2011,1,7,1
133,2012,2,5,6
133,2013,3,10,3
133,2014,4,7,8
133,2015,5,4,7
133,2016,6,7,11
133,2017,7,8,15
133,2018,8,7,14
133,2019,9,7,4
134,2005,1,0,9
134,2006,2,8,11
134,2007,3,3,2
134,2008,4,3,10
134,2009,5,0,9
134,2010,6,2,3
134,2011,7,4,8
134,2012,8,10,10
134,2013,9,1,13
134,2014,10,6,7
134,2015,11,1,2
134,2016,12,6,9
134,2017,13,8,3
134,2018,14,3,0
134,2019,15,9,4
135,2011,1,7,6
135,2012,2,8,11
135,2013,3,1,15
135,2014,4,3,11
135,2015,5,8,9
135,2016,6,5,5
135,2017,7,2,4
135,2018,8,9,14
135,2019,9,7,6
136,2009,1,8,9
136,2010,2,9,5
136,2011,3,9,2
136,2012,4,10,14
136,2013,5,4,11
136,2014,6,9,6
136,2015,7,1,14
136,2016,8,2,3
136,2017,9,5,14
136,2018,10,1,12
136,2019,11,0,0
137,2011,1,10,11
137,2012,2,1,5
137,2013,3,5,5
137,2014,4,7,3
137,2015,5,9,2
137,2016,6,6,10
137,2017,7,1,3
137,2018,8,8,2
137,2019,9,10,9
138,2011,1,8,9
138,2012,2,2,4
138,2013,3,1,4
138,2014,4,3,5
138,2015,5,6,8
138,2016,6,0,1
138,2017,7,3,2
138,2018,8,5,5
138,2019,9,7,13
139,2014,1,6,2
139,2015,2,5,3
139,2016,3,6,2
139,2017,4,7,12
139,2018,5,6,9
139,2019,6,9,12
140,2014,1,3,3
140,2015,2,0,0
140,2016,3,5,13
140,2017,4,6,1
140,2018,5,7,10
140,2019,6,0,5
141,2013,1,2,1
141,2014,2,4,15
141,2015,3,5,1
141,2016,4,2,13
141,2017,5,0,15
141,2018,6,4,13
141,2019,7,3,2
142,2011,1,6,2
142,2012,2,7,2
142,2013,3,9,12
142,2014,4,1,1
142,2015,5,3,15
142,2016,6,10,6
142,2017,7,2,7
142,2018,8,1,14
142,2019,9,6,0
143,2010,1,1,0
143,2011,2,5,0
143,2012,3,1,6
143,2013,4,9,2
143,2014,5,0,5
143,2015,6,5,2
143,2016,7,5,0
143,2017,8,8,0
143,2018,9,3,5
143,2019,10,3,5
144,2010,1,2,10
144,2011,2,3,12
144,2012,3,10,11
144,2013,4,2,10
144,2014,5,9,4
144,2015,6,2,11
144,2016,7,1,2
144,2017,8,6,13
144,2018,9,10,15
144,2019,10,1,5
145,2015,1,7,4
145,2016,2,1,0
145,2017,3,6,12
145,2018,4,1,10
145,2019,5,4,14
146,2010,1,3,2
146,2011,2,6,6
146,2012,3,3,0
146,2013,4,10,14
146,2014,5,3,1
146,2015,6,1,9
146,2016,7,5,9
146,2017,8,8,10
146,2018,9,6,10
146,2019,10,1,3
147,2017,1,5,5
147,2018,2,5,11
147,2019,3,3,5
148,2009,1,2,10
148,2010,2,7,0
148,2011,3,9,3
148,2012,4,1,5
148,2013,5,10,3
148,2014,6,1,14
148,2015,7,1,5
148,2016,8,8,13
148,2017,9,5,11
