id,job_title,department,p_start,start_month,p_end,end_month,grade,salary
14,Data Analyst,Analytics Department,2019.0,2,-99.0,-99,5.0,88424.0
15,Associate Data Analyst,Analytics Department,2016.0,5,-99.0,-99,4.0,65852.0
16,Sr Backend Engineer,IT Department,2016.0,4,-99.0,-99,7.0,121300.0
17,Associate Data Analyst,Analytics Department,2011.0,7,2017.0,10,4.0,65867.0
17,Data Analyst,Analytics Department,2017.0,10,-99.0,-99,5.0,88484.0
18,Associate Frontend Engineer,IT Department,2009.0,1,2015.0,9,4.0,61436.0
18,Frontend Engineer,IT Department,2015.0,9,-99.0,-99,5.0,71062.0
19,Backend Engineer,IT Department,2014.0,12,-99.0,-99,5.0,71728.0
20,Sr Backend Engineer,IT Department,2011.0,12,2017.0,8,7.0,121400.0
20,Team Lead,IT Department,2017.0,8,-99.0,-99,8.0,170079.0
21,Frontend Engineer II,IT Department,2010.0,10,2016.0,10,6.0,95781.0
21,Sr Frontend Engineer,IT Department,2016.0,10,-99.0,-99,7.0,119657.0
22,Data Analyst II,Analytics Department,2015.0,8,-99.0,-99,6.0,115837.0
23,Sr Backend Engineer,IT Department,2016.0,9,-99.0,-99,7.0,121475.0
24,Data Analyst II,Analytics Department,2016.0,12,-99.0,-99,6.0,115877.0
25,Associate Frontend Engineer,IT Department,2012.0,5,2018.0,10,4.0,61270.0
25,Frontend Engineer,IT Department,2018.0,10,-99.0,-99,5.0,70887.0
26,Associate Data Analyst,Analytics Department,2012.0,5,2018.0,9,4.0,66052.0
26,Data Analyst,Analytics Department,2018.0,9,-99.0,-99,5.0,88664.0
27,Backend Engineer,IT Department,2011.0,9,2017.0,2,5.0,71928.0
27,Backend Engineer II,IT Department,2017.0,2,-99.0,-99,6.0,91710.0
28,Frontend Engineer II,IT Department,2015.0,11,-99.0,-99,6.0,95606.0
29,Associate Data Analyst,Analytics Department,2011.0,3,2017.0,4,4.0,66107.0
29,Data Analyst,Analytics Department,2017.0,4,-99.0,-99,5.0,88724.0
30,Backend Engineer,IT Department,2009.0,8,2015.0,2,5.0,72003.0
30,Backend Engineer II,IT Department,2015.0,2,-99.0,-99,6.0,91785.0
31,Backend Engineer,IT Department,2014.0,11,-99.0,-99,5.0,72028.0
32,Backend Engineer II,IT Department,2009.0,9,2015.0,7,6.0,91835.0
32,Sr Backend Engineer,IT Department,2015.0,7,-99.0,-99,7.0,121700.0
33,Associate Frontend Engineer,IT Department,2008.0,9,2014.0,2,4.0,61058.0
33,Frontend Engineer,IT Department,2014.0,2,2019.0,1,5.0,70687.0
33,Frontend Engineer II,IT Department,2019.0,1,-99.0,-99,6.0,95481.0
34,Backend Engineer,IT Department,2011.0,6,2017.0,4,5.0,72103.0
34,Backend Engineer II,IT Department,2017.0,4,-99.0,-99,6.0,91885.0
35,Backend Engineer,IT Department,2009.0,5,2015.0,12,5.0,72128.0
35,Backend Engineer II,IT Department,2015.0,12,-99.0,-99,6.0,91910.0
36,Associate Data Analyst,Analytics Department,2012.0,10,2018.0,12,4.0,66252.0
36,Data Analyst,Analytics Department,2018.0,12,-99.0,-99,5.0,88864.0
37,Data Analyst II,Analytics Department,2011.0,2,2017.0,4,6.0,116137.0
37,Data Scientist,Analytics Department,2017.0,4,-99.0,-99,7.0,149904.0
38,Sr Backend Engineer,IT Department,2011.0,9,2017.0,8,7.0,121850.0
38,Team Lead,IT Department,2017.0,8,-99.0,-99,8.0,170439.0
39,Frontend Engineer II,IT Department,2010.0,8,2016.0,1,6.0,95331.0
39,Sr Frontend Engineer,IT Department,2016.0,1,-99.0,-99,7.0,119207.0
40,Sr Backend Engineer,IT Department,2011.0,5,2017.0,8,7.0,121900.0
40,Team Lead,IT Department,2017.0,8,-99.0,-99,8.0,170479.0
41,Associate Frontend Engineer,IT Department,2011.0,7,2017.0,8,4.0,60867.0
41,Frontend Engineer,IT Department,2017.0,8,-99.0,-99,5.0,70487.0
42,Associate Data Analyst,Analytics Department,2015.0,3,-99.0,-99,4.0,66387.0
43,Associate Data Analyst,Analytics Department,2006.0,3,2012.0,7,4.0,66362.0
43,Data Analyst,Analytics Department,2012.0,7,2017.0,12,5.0,89004.0
43,Data Analyst II,Analytics Department,2017.0,12,-99.0,-99,6.0,116257.0
44,Backend Engineer,IT Department,2005.0,9,2011.0,10,5.0,72353.0
44,Backend Engineer II,IT Department,2011.0,10,2016.0,9,6.0,92135.0
44,Backend Engineer II,IT Department,2016.0,9,-99.0,-99,6.0,92135.0
45,Backend Engineer,IT Department,2012.0,12,2018.0,12,5.0,72378.0
45,Backend Engineer II,IT Department,2018.0,12,-99.0,-99,6.0,92160.0
46,Frontend Engineer II,IT Department,2016.0,10,-99.0,-99,6.0,95156.0
47,Associate Data Analyst,Analytics Department,2013.0,10,2019.0,2,4.0,66477.0
47,Data Analyst,Analytics Department,2019.0,2,-99.0,-99,5.0,89084.0
48,Backend Engineer,IT Department,2006.0,4,2012.0,2,5.0,72453.0
48,Backend Engineer II,IT Department,2012.0,2,2017.0,6,6.0,92235.0
48,Backend Engineer II,IT Department,2017.0,6,-99.0,-99,6.0,92235.0
49,Backend Engineer,IT Department,2011.0,4,2017.0,9,5.0,72478.0
49,Backend Engineer II,IT Department,2017.0,9,-99.0,-99,6.0,92260.0
50,Associate Data Analyst,Analytics Department,2012.0,10,2018.0,10,4.0,66532.0
50,Data Analyst,Analytics Department,2018.0,10,-99.0,-99,5.0,89144.0
51,Sr Backend Engineer,IT Department,2011.0,11,2017.0,3,7.0,122175.0
51,Team Lead,IT Department,2017.0,3,-99.0,-99,8.0,170699.0
52,Backend Engineer II,IT Department,2008.0,2,2014.0,2,6.0,92335.0
52,Sr Backend Engineer,IT Department,2014.0,2,2019.0,3,7.0,122200.0
52,Sr Backend Engineer,IT Department,2019.0,3,-99.0,-99,7.0,122200.0
53,Sr Manager,Administration Department,2012.0,5,2018.0,5,10.0,206564.0
53,Director,Administration Department,2018.0,5,-99.0,-99,12.0,423658.0
54,Sr Backend Engineer,IT Department,2016.0,9,-99.0,-99,7.0,122250.0
55,Associate Data Analyst,Analytics Department,2011.0,4,2017.0,7,4.0,66627.0
55,Data Analyst,Analytics Department,2017.0,7,-99.0,-99,5.0,89244.0
56,Backend Engineer,IT Department,2014.0,4,-99.0,-99,5.0,72653.0
57,Data Analyst II,Analytics Department,2011.0,7,2017.0,3,6.0,116537.0
57,Data Scientist,Analytics Department,2017.0,3,-99.0,-99,7.0,150304.0
58,Associate Manager,Administration Department,2008.0,3,2014.0,10,7.0,95301.0
58,Manager,Administration Department,2014.0,10,2019.0,3,9.0,158770.0
58,Manager,Administration Department,2019.0,3,-99.0,-99,9.0,158770.0
59,Backend Engineer,IT Department,2009.0,4,2015.0,6,5.0,72728.0
59,Backend Engineer II,IT Department,2015.0,6,-99.0,-99,6.0,92510.0
60,Sr Manager,Administration Department,2010.0,5,2016.0,11,10.0,206704.0
60,Director,Administration Department,2016.0,11,-99.0,-99,12.0,423798.0
61,Sr Backend Engineer,IT Department,2010.0,1,2016.0,9,7.0,122425.0
61,Team Lead,IT Department,2016.0,9,-99.0,-99,8.0,170899.0
62,Associate Manager,Administration Department,2013.0,12,2019.0,2,7.0,95471.0
62,Manager,Administration Department,2019.0,2,-99.0,-99,9.0,158850.0
63,Data Analyst II,Analytics Department,2010.0,4,2016.0,4,6.0,116657.0
63,Data Scientist,Analytics Department,2016.0,4,-99.0,-99,7.0,150424.0
64,Backend Engineer,IT Department,2011.0,1,2017.0,11,5.0,72853.0
64,Backend Engineer II,IT Department,2017.0,11,-99.0,-99,6.0,92635.0
65,Associate Data Analyst,Analytics Department,2014.0,3,-99.0,-99,4.0,66842.0
66,Data Analyst II,Analytics Department,2012.0,12,2018.0,1,6.0,116717.0
66,Data Scientist,Analytics Department,2018.0,1,-99.0,-99,7.0,150484.0
67,Associate Frontend Engineer,IT Department,2015.0,6,-99.0,-99,4.0,60229.0
68,Sr Backend Engineer,IT Department,2011.0,4,2017.0,9,7.0,122600.0
68,Team Lead,IT Department,2017.0,9,-99.0,-99,8.0,171039.0
69,Backend Engineer,IT Department,2013.0,3,2019.0,11,5.0,72978.0
69,Backend Engineer II,IT Department,2019.0,11,-99.0,-99,6.0,92760.0
70,Data Analyst II,Analytics Department,2010.0,11,2016.0,6,6.0,116797.0
70,Data Scientist,Analytics Department,2016.0,6,-99.0,-99,7.0,150564.0
71,Backend Engineer,IT Department,2012.0,3,2018.0,6,5.0,73028.0
71,Backend Engineer II,IT Department,2018.0,6,-99.0,-99,6.0,92810.0
72,Data Analyst II,Analytics Department,2016.0,2,-99.0,-99,6.0,116837.0
73,Backend Engineer II,IT Department,2008.0,11,2014.0,4,6.0,92860.0
73,Sr Backend Engineer,IT Department,2014.0,4,2019.0,12,7.0,122725.0
73,Sr Backend Engineer,IT Department,2019.0,12,-99.0,-99,7.0,122725.0
74,Associate Data Analyst,Analytics Department,2010.0,4,2016.0,9,4.0,67002.0
74,Data Analyst,Analytics Department,2016.0,9,-99.0,-99,5.0,89624.0
75,Associate Frontend Engineer,IT Department,2006.0,12,2012.0,9,4.0,60002.0
75,Frontend Engineer,IT Department,2012.0,9,2017.0,12,5.0,69637.0
75,Frontend Engineer II,IT Department,2017.0,12,-99.0,-99,6.0,94431.0
76,Data Analyst II,Analytics Department,2010.0,4,2016.0,9,6.0,116917.0
76,Data Scientist,Analytics Department,2016.0,9,-99.0,-99,7.0,150684.0
77,Associate Data Analyst,Analytics Department,2006.0,10,2012.0,12,4.0,67042.0
77,Data Analyst,Analytics Department,2012.0,12,2017.0,3,5.0,89684.0
77,Data Analyst II,Analytics Department,2017.0,3,-99.0,-99,6.0,116937.0
78,Backend Engineer,IT Department,2008.0,3,2014.0,1,5.0,73203.0
78,Backend Engineer II,IT Department,2014.0,1,2019.0,9,6.0,92985.0
78,Backend Engineer II,IT Department,2019.0,9,-99.0,-99,6.0,92985.0
79,Data Analyst II,Analytics Department,2016.0,2,-99.0,-99,6.0,116977.0
80,Associate Frontend Engineer,IT Department,2007.0,5,2013.0,3,4.0,59880.0
80,Frontend Engineer,IT Department,2013.0,3,2018.0,5,5.0,69512.0
80,Frontend Engineer II,IT Department,2018.0,5,-99.0,-99,6.0,94306.0
81,Backend Engineer,IT Department,2015.0,9,-99.0,-99,5.0,73278.0
82,Backend Engineer,IT Department,2009.0,5,2015.0,10,5.0,73303.0
82,Backend Engineer II,IT Department,2015.0,10,-99.0,-99,6.0,93085.0
83,Associate Data Analyst,Analytics Department,2013.0,12,2019.0,3,4.0,67197.0
83,Data Analyst,Analytics Department,2019.0,3,-99.0,-99,5.0,89804.0
84,Sr Backend Engineer,IT Department,2010.0,8,2016.0,11,7.0,123000.0
84,Team Lead,IT Department,2016.0,11,-99.0,-99,8.0,171359.0
85,Associate Data Analyst,Analytics Department,2005.0,8,2011.0,1,4.0,67197.0
85,Data Analyst,Analytics Department,2011.0,1,2016.0,12,5.0,89844.0
85,Data Analyst II,Analytics Department,2016.0,12,-99.0,-99,6.0,117097.0
86,Data Analyst II,Analytics Department,2012.0,6,2018.0,5,6.0,117117.0
86,Data Scientist,Analytics Department,2018.0,5,-99.0,-99,7.0,150884.0
87,Backend Engineer,IT Department,2006.0,5,2012.0,12,5.0,73428.0
87,Backend Engineer II,IT Department,2012.0,12,2017.0,1,6.0,93210.0
87,Backend Engineer II,IT Department,2017.0,1,-99.0,-99,6.0,93210.0
88,Associate Data Analyst,Analytics Department,2010.0,1,2016.0,5,4.0,67282.0
88,Data Analyst,Analytics Department,2016.0,5,-99.0,-99,5.0,89904.0
89,Backend Engineer,IT Department,2009.0,3,2015.0,11,5.0,73478.0
89,Backend Engineer II,IT Department,2015.0,11,-99.0,-99,6.0,93260.0
90,Backend Engineer II,IT Department,2008.0,12,2014.0,6,6.0,93285.0
90,Sr Backend Engineer,IT Department,2014.0,6,2019.0,1,7.0,123150.0
90,Sr Backend Engineer,IT Department,2019.0,1,-99.0,-99,7.0,123150.0
91,Associate Manager,Administration Department,2006.0,4,2012.0,5,7.0,96444.0
91,Manager,Administration Department,2012.0,5,2017.0,12,9.0,159430.0
91,Manager,Administration Department,2017.0,12,-99.0,-99,9.0,159430.0
92,Associate Frontend Engineer,IT Department,2013.0,12,2019.0,9,4.0,59598.0
92,Frontend Engineer,IT Department,2019.0,9,-99.0,-99,5.0,69212.0
93,Sr Backend Engineer,IT Department,2012.0,5,2018.0,7,7.0,123225.0
93,Team Lead,IT Department,2018.0,7,-99.0,-99,8.0,171539.0
94,Backend Engineer,IT Department,2013.0,5,2019.0,4,5.0,73603.0
94,Backend Engineer II,IT Department,2019.0,4,-99.0,-99,6.0,93385.0
95,Frontend Engineer II,IT Department,2011.0,6,2017.0,12,6.0,93931.0
95,Sr Frontend Engineer,IT Department,2017.0,12,-99.0,-99,7.0,117807.0
96,Sr Backend Engineer,IT Department,2011.0,7,2017.0,5,7.0,123300.0
96,Team Lead,IT Department,2017.0,5,-99.0,-99,8.0,171599.0
97,Sr Backend Engineer,IT Department,2010.0,8,2016.0,2,7.0,123325.0
97,Team Lead,IT Department,2016.0,2,-99.0,-99,8.0,171619.0
98,Data Analyst II,Analytics Department,2015.0,12,-99.0,-99,6.0,117357.0
99,Data Analyst II,Analytics Department,2011.0,3,2017.0,12,6.0,117377.0
99,Data Scientist,Analytics Department,2017.0,12,-99.0,-99,7.0,151144.0
100,Backend Engineer,IT Department,2014.0,7,-99.0,-99,5.0,73753.0
101,Backend Engineer,IT Department,2011.0,12,2017.0,11,5.0,73778.0
101,Backend Engineer II,IT Department,2017.0,11,-99.0,-99,6.0,93560.0
102,Associate Data Analyst,Analytics Department,2013.0,12,2019.0,5,4.0,67577.0
102,Data Analyst,Analytics Department,2019.0,5,-99.0,-99,5.0,90184.0
103,Backend Engineer,IT Department,2008.0,3,2014.0,12,5.0,73828.0
103,Backend Engineer II,IT Department,2014.0,12,2019.0,9,6.0,93610.0
103,Backend Engineer II,IT Department,2019.0,9,-99.0,-99,6.0,93610.0
104,Backend Engineer,IT Department,2013.0,12,2019.0,8,5.0,73853.0
104,Backend Engineer II,IT Department,2019.0,8,-99.0,-99,6.0,93635.0
105,Sr Backend Engineer,IT Department,2010.0,8,2016.0,7,7.0,123525.0
105,Team Lead,IT Department,2016.0,7,-99.0,-99,8.0,171779.0
106,Backend Engineer,IT Department,2015.0,1,-99.0,-99,5.0,73903.0
107,Frontend Engineer II,IT Department,2012.0,9,2018.0,12,6.0,93631.0
107,Sr Frontend Engineer,IT Department,2018.0,12,-99.0,-99,7.0,117507.0
108,Data Analyst II,Analytics Department,2011.0,10,2017.0,1,6.0,117557.0
108,Data Scientist,Analytics Department,2017.0,1,-99.0,-99,7.0,151324.0
109,Associate Frontend Engineer,IT Department,2015.0,7,-99.0,-99,4.0,59179.0
110,Backend Engineer,IT Department,2005.0,2,2011.0,5,5.0,74003.0
110,Backend Engineer II,IT Department,2011.0,5,2016.0,5,6.0,93785.0
110,Backend Engineer II,IT Department,2016.0,5,-99.0,-99,6.0,93785.0
111,Sr Backend Engineer,IT Department,2015.0,8,-99.0,-99,7.0,123675.0
112,Backend Engineer,IT Department,2009.0,12,2015.0,3,5.0,74053.0
112,Backend Engineer II,IT Department,2015.0,3,-99.0,-99,6.0,93835.0
113,Data Analyst II,Analytics Department,2011.0,10,2017.0,11,6.0,117657.0
113,Data Scientist,Analytics Department,2017.0,11,-99.0,-99,7.0,151424.0
114,Backend Engineer,IT Department,2009.0,1,2015.0,2,5.0,74103.0
114,Backend Engineer II,IT Department,2015.0,2,-99.0,-99,6.0,93885.0
115,Backend Engineer,IT Department,2011.0,9,2017.0,4,5.0,74128.0
115,Backend Engineer II,IT Department,2017.0,4,-99.0,-99,6.0,93910.0
116,Backend Engineer,IT Department,2013.0,12,2019.0,6,5.0,74153.0
116,Backend Engineer II,IT Department,2019.0,6,-99.0,-99,6.0,93935.0
117,Sr Backend Engineer,IT Department,2017.0,10,-99.0,-99,7.0,123825.0
118,Backend Engineer,IT Department,2011.0,5,2017.0,6,5.0,74203.0
118,Backend Engineer II,IT Department,2017.0,6,-99.0,-99,6.0,93985.0
119,Associate Frontend Engineer,IT Department,2015.0,11,-99.0,-99,4.0,58929.0
120,Data Analyst II,Analytics Department,2016.0,9,-99.0,-99,6.0,117797.0
121,Backend Engineer,IT Department,2014.0,10,-99.0,-99,5.0,74278.0
122,Associate Frontend Engineer,IT Department,2008.0,1,2014.0,1,4.0,58833.0
122,Frontend Engineer,IT Department,2014.0,1,2019.0,12,5.0,68462.0
122,Frontend Engineer II,IT Department,2019.0,12,-99.0,-99,6.0,93256.0
123,Frontend Engineer II,IT Department,2017.0,1,-99.0,-99,6.0,93231.0
124,Backend Engineer,IT Department,2013.0,8,2019.0,12,5.0,74353.0
124,Backend Engineer II,IT Department,2019.0,12,-99.0,-99,6.0,94135.0
125,Sr Backend Engineer,IT Department,2011.0,1,2017.0,2,7.0,124025.0
125,Team Lead,IT Department,2017.0,2,-99.0,-99,8.0,172179.0
126,Associate Manager,Administration Department,2010.0,2,2016.0,12,7.0,97693.0
126,Manager,Administration Department,2016.0,12,-99.0,-99,9.0,160130.0
127,Frontend Engineer,IT Department,2009.0,8,2015.0,10,5.0,68337.0
127,Frontend Engineer II,IT Department,2015.0,10,-99.0,-99,6.0,93131.0
128,Associate Frontend Engineer,IT Department,2011.0,12,2017.0,10,4.0,58692.0
128,Frontend Engineer,IT Department,2017.0,10,-99.0,-99,5.0,68312.0
129,Frontend Engineer II,IT Department,2012.0,9,2018.0,7,6.0,93081.0
129,Sr Frontend Engineer,IT Department,2018.0,7,-99.0,-99,7.0,116957.0
130,Associate Data Analyst,Analytics Department,2010.0,4,2016.0,9,4.0,68122.0
130,Data Analyst,Analytics Department,2016.0,9,-99.0,-99,5.0,90744.0
131,Associate Data Analyst,Analytics Department,2009.0,10,2015.0,6,4.0,68137.0
131,Data Analyst,Analytics Department,2015.0,6,-99.0,-99,5.0,90764.0
132,Associate Data Analyst,Analytics Department,2014.0,12,-99.0,-99,4.0,68182.0
133,Sr Backend Engineer,IT Department,2011.0,11,2017.0,6,7.0,124225.0
133,Team Lead,IT Department,2017.0,6,-99.0,-99,8.0,172339.0
134,Associate Data Analyst,Analytics Department,2005.0,7,2011.0,1,4.0,68177.0
134,Data Analyst,Analytics Department,2011.0,1,2016.0,1,5.0,90824.0
134,Data Analyst II,Analytics Department,2016.0,1,-99.0,-99,6.0,118077.0
135,Sr Backend Engineer,IT Department,2011.0,4,2017.0,9,7.0,124275.0
135,Team Lead,IT Department,2017.0,9,-99.0,-99,8.0,172379.0
136,Backend Engineer II,IT Department,2009.0,2,2015.0,2,6.0,94435.0
136,Sr Backend Engineer,IT Department,2015.0,2,-99.0,-99,7.0,124300.0
137,Data Analyst II,Analytics Department,2011.0,9,2017.0,2,6.0,118137.0
137,Data Scientist,Analytics Department,2017.0,2,-99.0,-99,7.0,151904.0
138,Associate Data Analyst,Analytics Department,2011.0,7,2017.0,12,4.0,68287.0
138,Data Analyst,Analytics Department,2017.0,12,-99.0,-99,5.0,90904.0
139,Associate Frontend Engineer,IT Department,2014.0,8,-99.0,-99,4.0,58426.0
140,Data Analyst II,Analytics Department,2014.0,11,-99.0,-99,6.0,118197.0
141,Associate Manager,Administration Department,2013.0,3,2019.0,2,7.0,98236.0
141,Manager,Administration Department,2019.0,2,-99.0,-99,9.0,160430.0
142,Associate Manager,Administration Department,2011.0,6,2017.0,2,7.0,98259.0
142,Manager,Administration Department,2017.0,2,-99.0,-99,9.0,160450.0
143,Frontend Engineer II,IT Department,2010.0,1,2016.0,11,6.0,92731.0
143,Sr Frontend Engineer,IT Department,2016.0,11,-99.0,-99,7.0,116607.0
144,Sr Backend Engineer,IT Department,2010.0,4,2016.0,1,7.0,124500.0
144,Team Lead,IT Department,2016.0,1,-99.0,-99,8.0,172559.0
145,Sr Backend Engineer,IT Department,2015.0,2,-99.0,-99,7.0,124525.0
146,Associate Data Analyst,Analytics Department,2010.0,8,2016.0,9,4.0,68442.0
146,Data Analyst,Analytics Department,2016.0,9,-99.0,-99,5.0,91064.0
147,Sr Backend Engineer,IT Department,2017.0,3,-99.0,-99,7.0,124575.0
148,Associate Data Analyst,Analytics Department,2009.0,6,2015.0,12,4.0,68477.0
148,Data Analyst,Analytics Department,2015.0,12,-99.0,-99,5.0,91104.0
149,Associate Data Analyst,Analytics Department,2011.0,2,2017.0,4,4.0,68507.0
149,Data Analyst,Analytics Department,2017.0,4,-99.0,-99,5.0,91124.0
150,Associate Data Analyst,Analytics Department,2006.0,8,2012.0,5,4.0,68502.0
150,Data Analyst,Analytics Department,2012.0,5,2017.0,11,5.0,91144.0
150,Data Analyst II,Analytics Department,2017.0,11,-99.0,-99,6.0,118397.0
151,Sr Backend Engineer,IT Department,2011.0,4,2017.0,8,7.0,124675.0
151,Team Lead,IT Department,2017.0,8,-99.0,-99,8.0,172699.0
152,Associate Data Analyst,Analytics Department,2006.0,4,2012.0,5,4.0,68542.0
152,Data Analyst,Analytics Department,2012.0,5,2017.0,3,5.0,91184.0
152,Data Analyst II,Analytics Department,2017.0,3,-99.0,-99,6.0,118437.0
153,Associate Data Analyst,Analytics Department,2010.0,11,2016.0,8,4.0,68582.0
153,Data Analyst,Analytics Department,2016.0,8,-99.0,-99,5.0,91204.0
154,Associate Frontend Engineer,IT Department,2010.0,7,2016.0,10,4.0,58039.0
154,Frontend Engineer,IT Department,2016.0,10,-99.0,-99,5.0,67662.0
155,Sr Manager,Administration Department,2010.0,2,2016.0,4,10.0,208604.0
155,Director,Administration Department,2016.0,4,-99.0,-99,12.0,425698.0
156,Associate Manager,Administration Department,2011.0,1,2017.0,6,7.0,98749.0
156,Manager,Administration Department,2017.0,6,-99.0,-99,9.0,160730.0
157,Data Analyst II,Analytics Department,2011.0,12,2017.0,9,6.0,118537.0
157,Data Scientist,Analytics Department,2017.0,9,-99.0,-99,7.0,152304.0
158,Backend Engineer,IT Department,2013.0,5,2019.0,11,5.0,75203.0
158,Backend Engineer II,IT Department,2019.0,11,-99.0,-99,6.0,94985.0
159,Backend Engineer,IT Department,2008.0,9,2014.0,5,5.0,75228.0
159,Backend Engineer II,IT Department,2014.0,5,2019.0,1,6.0,95010.0
159,Backend Engineer II,IT Department,2019.0,1,-99.0,-99,6.0,95010.0
160,Associate Frontend Engineer,IT Department,2010.0,12,2016.0,6,4.0,57889.0
160,Frontend Engineer,IT Department,2016.0,6,-99.0,-99,5.0,67512.0
161,Associate Data Analyst,Analytics Department,2013.0,12,2019.0,9,4.0,68757.0
161,Data Analyst,Analytics Department,2019.0,9,-99.0,-99,5.0,91364.0
162,Associate Manager,Administration Department,2010.0,2,2016.0,2,7.0,98953.0
162,Manager,Administration Department,2016.0,2,-99.0,-99,9.0,160850.0
163,Backend Engineer,IT Department,2014.0,2,-99.0,-99,5.0,75328.0
164,Associate Data Analyst,Analytics Department,2010.0,8,2016.0,10,4.0,68802.0
164,Data Analyst,Analytics Department,2016.0,10,-99.0,-99,5.0,91424.0
165,Sr Backend Engineer,IT Department,2011.0,6,2017.0,12,7.0,125025.0
165,Team Lead,IT Department,2017.0,12,-99.0,-99,8.0,172979.0
166,Frontend Engineer II,IT Department,2012.0,4,2018.0,8,6.0,92156.0
166,Sr Frontend Engineer,IT Department,2018.0,8,-99.0,-99,7.0,116032.0
167,Frontend Engineer II,IT Department,2011.0,3,2017.0,4,6.0,92131.0
167,Sr Frontend Engineer,IT Department,2017.0,4,-99.0,-99,7.0,116007.0
168,Backend Engineer,IT Department,2010.0,4,2016.0,8,5.0,75453.0
168,Backend Engineer II,IT Department,2016.0,8,-99.0,-99,6.0,95235.0
169,Data Analyst,Analytics Department,2008.0,4,2014.0,10,5.0,91524.0
169,Data Analyst II,Analytics Department,2014.0,10,2019.0,3,6.0,118777.0
169,Data Scientist,Analytics Department,2019.0,3,-99.0,-99,7.0,152544.0
170,Associate Data Analyst,Analytics Department,2008.0,2,2014.0,2,4.0,68912.0
170,Data Analyst,Analytics Department,2014.0,2,2019.0,4,5.0,91544.0
170,Data Analyst II,Analytics Department,2019.0,4,-99.0,-99,6.0,118797.0
171,Sr Backend Engineer,IT Department,2012.0,12,2018.0,3,7.0,125175.0
171,Team Lead,IT Department,2018.0,3,-99.0,-99,8.0,173099.0
172,Sr Backend Engineer,IT Department,2015.0,8,-99.0,-99,7.0,125200.0
173,Backend Engineer,IT Department,2010.0,7,2016.0,7,5.0,75578.0
173,Backend Engineer II,IT Department,2016.0,7,-99.0,-99,6.0,95360.0
174,Sr Backend Engineer,IT Department,2011.0,12,2017.0,9,7.0,125250.0
174,Team Lead,IT Department,2017.0,9,-99.0,-99,8.0,173159.0
175,Associate Frontend Engineer,IT Department,2013.0,9,2019.0,5,4.0,57523.0
175,Frontend Engineer,IT Department,2019.0,5,-99.0,-99,5.0,67137.0
176,Backend Engineer,IT Department,2011.0,11,2017.0,1,5.0,75653.0
176,Backend Engineer II,IT Department,2017.0,1,-99.0,-99,6.0,95435.0
177,Data Analyst II,Analytics Department,2011.0,11,2017.0,12,6.0,118937.0
177,Data Scientist,Analytics Department,2017.0,12,-99.0,-99,7.0,152704.0
178,Backend Engineer,IT Department,2011.0,8,2017.0,7,5.0,75703.0
178,Backend Engineer II,IT Department,2017.0,7,-99.0,-99,6.0,95485.0
179,Associate Data Analyst,Analytics Department,2013.0,9,2019.0,11,4.0,69117.0
179,Data Analyst,Analytics Department,2019.0,11,-99.0,-99,5.0,91724.0
180,Backend Engineer,IT Department,2014.0,12,-99.0,-99,5.0,75753.0
181,Backend Engineer,IT Department,2008.0,7,2014.0,3,5.0,75778.0
181,Backend Engineer II,IT Department,2014.0,3,2019.0,9,6.0,95560.0
181,Backend Engineer II,IT Department,2019.0,9,-99.0,-99,6.0,95560.0
