id,Race,Homecity,Nationality,Gender,dob_year,dob_month,dob_day
159,African Americans,San Jose,American,Male,1976,9,17
160,White Americans,San Jose,American,Male,1979,5,26
161,Punjabis,Delhi,Indian,Male,1990,2,23
162,African Americans,Victoria,Canada,Male,1984,6,15
163,Telugu People,Hyderabad,Indian,Male,1988,9,8
164,Native Hawaiian Americans,San Jose,American,Female,1982,4,5
165,Telugu People,Mumbai,Indian,Male,1969,11,9
166,African Americans,San Jose,American,Male,1973,8,1
167,White Americans,Ottawa,Canada,Female,1970,2,5
168,White Americans,Chicago,American,Male,1978,12,21
169,Latino Americans,Houston,American,Male,1975,11,15
170,Punjabis,Delhi,Indian,Male,1977,10,22
171,Punjabis,Delhi,Indian,Male,1971,11,9
172,White Americans,Chicago,American,Male,1965,10,27
173,Latino Americans,Houston,American,Female,1984,12,8
174,Native Hawaiian Americans,San Jose,American,Female,1965,6,23
175,Latino Americans,Houston,American,Male,1988,1,27
176,Dravidians,Delhi,Indian,Male,1985,11,2
177,Latino Americans,New York,American,Male,1976,3,7
178,Latino Americans,Dallas,American,Male,1983,7,10
179,Latino Americans,Houston,American,Male,1988,11,1
180,Latino Americans,New York,American,Female,1987,6,6
181,Latino Americans,Dallas,American,Female,1975,4,2
182,Uyghus,Beijing,Chinese,Female,1981,10,28
183,White Americans,Chicago,American,Male,1967,12,1
184,Indo Aryan,Mumbai,Indian,Male,1983,6,3
185,Latino Americans,Houston,American,Male,1975,11,8
186,Latino Americans,New York,American,Male,1986,11,19
187,White Americans,Chicago,American,Female,1990,4,27
188,Latino Americans,Houston,American,Male,1980,9,9
189,White Americans,Chicago,American,Male,1978,7,28
190,Latino Americans,New York,American,Male,1978,2,11
191,Latino Americans,Dallas,American,Male,1969,12,10
192,African Americans,San Jose,American,Male,1981,8,4
193,Dravidians,Delhi,Indian,Female,1973,10,24
194,Latino Americans,Houston,American,Male,1986,5,7
195,Uyghus,Beijing,Chinese,Transgender,1975,11,16
196,White Americans,Chicago,American,Male,1984,11,14
197,White Americans,Chicago,American,Male,1968,2,12
198,Bengalis,Delhi,Indian,Male,1969,7,25
199,Latino Americans,Dallas,American,Female,1970,2,9
200,Latino Americans,New York,American,Male,1969,9,16
201,Latino Americans,Dallas,American,Male,1990,8,21
202,Latino Americans,Houston,American,Male,1975,5,2
203,White Americans,Chicago,American,Female,1976,2,26
204,African Americans,San Jose,American,Male,1965,12,21
205,White Americans,Ottawa,Canada,Male,1978,11,21
206,White Americans,San Jose,American,Female,1969,5,16
207,Latino Americans,Dallas,American,Male,1972,1,20
208,Punjabis,Delhi,Indian,Female,1965,9,10
209,Latino Americans,Houston,American,Female,1986,11,10
210,Latino Americans,Houston,American,Male,1968,3,3
211,Uyghus,Beijing,Chinese,Male,1975,1,8
212,Latino Americans,New York,American,Male,1973,8,10
213,Native Hawaiian Americans,San Jose,American,Male,1971,11,11
214,Latino Americans,Houston,American,Female,1977,2,2
215,Latino Americans,Houston,American,Male,1975,12,7
216,Latino Americans,New York,American,Female,1989,1,18
217,African Americans,San Jose,American,Female,1967,3,16
218,Latino Americans,Dallas,American,Female,1989,5,10
219,Latino Americans,Houston,American,Male,1986,7,22
220,Indo Aryan,Mumbai,Indian,Female,1983,2,21
221,Native Hawaiian Americans,San Jose,American,Male,1989,5,26
222,Latino Americans,New York,American,Female,1981,6,13
223,Latino Americans,Houston,American,Female,1977,8,19
224,Latino Americans,New York,American,Male,1979,12,23
225,Uyghus,Beijing,Chinese,Male,1985,1,10
226,White Americans,Chicago,American,Male,1981,11,3
227,Latino Americans,Dallas,American,Male,1987,3,20
228,Latino Americans,Dallas,American,Male,1968,12,20
229,Latino Americans,Dallas,American,Male,1972,6,17
230,Indo Aryan,Mumbai,Indian,Male,1965,8,3
231,White Americans,Chicago,American,Male,1979,4,16
232,Latino Americans,Houston,American,Female,1985,1,10
233,Han Chinese,Shanghai,Chinese,Male,1978,5,22
234,White Americans,Chicago,American,Male,1970,5,25
235,Latino Americans,Houston,American,Female,1967,7,18
236,Indo Aryan,Mumbai,Indian,Male,1975,3,23
237,African Americans,San Jose,American,Male,1965,1,27
238,White Americans,Chicago,American,Female,1970,11,16
239,Mongols,Beijing,Chinese,Male,1968,3,28
240,White Americans,Chicago,American,Male,1988,9,5
241,Indo Aryan,Mumbai,Indian,Male,1968,6,27
242,White Americans,Chicago,American,Female,1970,4,3
243,Indo Aryan,Mumbai,Indian,Male,1980,2,3
244,White Americans,San Jose,American,Female,1970,5,24
245,White Americans,Chicago,American,Male,1972,9,6
246,Latino Americans,New York,American,Female,1975,8,8
247,Latino Americans,Houston,American,Male,1965,2,10
248,Latino Americans,Dallas,American,Male,1968,1,21
249,Latino Americans,Dallas,American,Male,1970,7,16
250,Dravidians,Delhi,Indian,Female,1972,3,1
251,White Americans,Chicago,American,Male,1974,9,19
252,Telugu People,Hyderabad,Indian,Female,1977,1,10
253,Mongols,Beijing,Chinese,Male,1975,9,22
254,Latino Americans,Houston,American,Female,1985,12,4
255,White Americans,Chicago,American,Male,1985,12,17
256,Han Chinese,Shanghai,Chinese,Female,1990,4,12
257,African Americans,San Jose,American,Male,1968,5,2
258,Latino Americans,Houston,American,Female,1974,3,22
259,White Americans,Chicago,American,Male,1989,4,23
260,Indo Aryan,Mumbai,Indian,Male,1977,10,21
261,Latino Americans,Dallas,American,Male,1978,3,15
262,Indo Aryan,Mumbai,Indian,Male,1971,5,23
263,Dravidians,Delhi,Indian,Male,1968,1,22
264,Dravidians,Delhi,Indian,Male,1972,2,7
265,Latino Americans,New York,American,Male,1986,1,11
266,White Americans,Chicago,American,Male,1983,1,17
267,Latino Americans,New York,American,Female,1985,12,23
268,Latino Americans,Dallas,American,Male,1982,4,1
269,White Americans,Chicago,American,Female,1968,8,1
270,Native Hawaiian Americans,San Jose,American,Female,1986,3,15
271,Native Hawaiian Americans,San Jose,American,Male,1965,12,9
272,Latino Americans,New York,American,Male,1969,12,18
273,White Americans,Chicago,American,Male,1990,5,25
274,Indo Aryan,Mumbai,Indian,Male,1984,5,18
275,White Americans,Chicago,American,Male,1982,11,8
276,White Americans,Chicago,American,Female,1972,11,8
277,White Americans,Chicago,American,Male,1976,2,24
278,Native Hawaiian Americans,San Jose,American,Male,1975,10,24
279,Telugu People,Hyderabad,Indian,Male,1985,8,19
280,Indo Aryan,Mumbai,Indian,Female,1988,11,11
281,White Americans,Chicago,American,Female,1980,12,12
282,Native Hawaiian Americans,San Jose,American,Female,1979,8,26
283,Indo Aryan,Delhi,Indian,Female,1982,7,4
284,Latino Americans,Houston,American,Female,1967,4,7
285,Han Chinese,Hangzhou,Chinese,Male,1988,2,5
286,Latino Americans,Houston,American,Male,1972,8,2
287,Native Hawaiian Americans,San Jose,American,Female,1981,12,9
288,White Americans,Chicago,American,Male,1987,4,19
289,Bengalis,Delhi,Indian,Male,1990,12,10
290,White Americans,Chicago,American,Male,1988,9,28
291,Indo Aryan,Mumbai,Indian,Female,1974,10,25
292,Mongols,Shanghai,Chinese,Female,1973,2,3
293,White Americans,Chicago,American,Male,1983,3,25
294,White Americans,Chicago,American,Male,1970,7,9
295,African Americans,San Jose,American,Male,1973,10,15
296,Latino Americans,Houston,American,Female,1984,10,2
297,White Americans,Chicago,American,Female,1968,2,9
298,White Americans,Chicago,American,Male,1984,7,19
299,Indo Aryan,Mumbai,Indian,Male,1983,8,23
300,African Americans,San Jose,American,Female,1966,5,25
301,Han Chinese,Hangzhou,Chinese,Male,1978,12,7
302,Latino Americans,Dallas,American,Male,1989,11,24
303,African Americans,Victoria,Canada,Female,1966,9,18
304,African Americans,San Jose,American,Female,1977,1,14
305,African Americans,San Jose,American,Male,1977,9,6
306,White Americans,Chicago,American,Male,1971,6,18
307,Latino Americans,Dallas,American,Male,1982,6,24
308,White Americans,Chicago,American,Female,1967,11,27
309,Mongols,Beijing,Chinese,Male,1965,9,23
310,Latino Americans,Dallas,American,Female,1980,9,1
311,Indo Aryan,Mumbai,Indian,Male,1988,7,13
312,White Americans,Chicago,American,Male,1977,11,9
313,African Americans,San Jose,American,Male,1975,1,20
314,White Americans,San Jose,American,Male,1975,6,8
315,Bengalis,Delhi,Indian,Male,1980,12,12
316,White Americans,Ottawa,Canada,Male,1975,7,19
317,Punjabis,Delhi,Indian,Male,1980,1,4
318,Punjabis,Delhi,Indian,Male,1966,7,26
319,Latino Americans,Dallas,American,Male,1969,10,16
320,Latino Americans,New York,American,Male,1979,7,11
321,Latino Americans,New York,American,Male,1965,3,27
322,Latino Americans,Dallas,American,Female,1971,9,22
323,Punjabis,Delhi,Indian,Male,1984,12,1
324,White Americans,Chicago,American,Female,1986,11,19
325,White Americans,Chicago,American,Male,1975,10,2
326,Latino Americans,Dallas,American,Male,1971,3,23
327,Latino Americans,Dallas,American,Female,1976,6,23
328,Latino Americans,New York,American,Male,1966,6,6
329,African Americans,San Jose,American,Female,1983,1,17
330,Punjabis,Delhi,Indian,Male,1987,6,17
331,Indo Aryan,Mumbai,Indian,Female,1979,1,16
332,Latino Americans,New York,American,Female,1989,11,24
333,White Americans,Chicago,American,Male,1969,4,3
334,Indo Aryan,Mumbai,Indian,Male,1969,12,24
335,Dravidians,Delhi,Indian,Female,1976,5,7
336,White Americans,Chicago,American,Female,1987,5,24
337,White Americans,San Jose,American,Male,1971,6,22
338,White Americans,Chicago,American,Male,1989,3,13
339,Latino Americans,New York,American,Male,1978,6,8
340,Latino Americans,Dallas,American,Female,1975,8,15
341,Mongols,Beijing,Chinese,Female,1971,8,18
342,Latino Americans,New York,American,Female,1969,9,15
343,White Americans,Chicago,American,Female,1987,7,17
344,Punjabis,Delhi,Indian,Female,1969,1,20
345,White Americans,Ottawa,Canada,Male,1965,9,21
346,Native Hawaiian Americans,San Jose,American,Male,1972,7,26
347,White Americans,Chicago,American,Female,1978,11,17
348,Latino Americans,Houston,American,Female,1965,1,17
349,White Americans,Chicago,American,Female,1966,10,23
350,Latino Americans,Houston,American,Male,1981,3,28
351,White Americans,Ottawa,Canada,Male,1970,4,4
352,Latino Americans,New York,American,Male,1969,11,2
353,Mongols,Shanghai,Chinese,Male,1969,5,11
354,Telugu People,Hyderabad,Indian,Male,1990,11,18
355,Uyghus,Beijing,Chinese,Male,1970,12,16
356,Latino Americans,New York,American,Male,1972,6,5
357,Indo Aryan,Mumbai,Indian,Female,1976,2,3
358,White Americans,San Jose,American,Male,1975,10,20
359,Han Chinese,Shanghai,Chinese,Male,1977,4,25
360,White Americans,Chicago,American,Male,1972,6,5
361,Latino Americans,Houston,American,Male,1969,7,7
362,Latino Americans,Houston,American,Male,1981,1,8
363,Telugu People,Mumbai,Indian,Male,1976,2,7
364,Native Hawaiian Americans,San Jose,American,Male,1988,6,15
365,Latino Americans,New York,American,Male,1973,2,11
366,Indo Aryan,Mumbai,Indian,Male,1965,4,14
367,Latino Americans,New York,American,Male,1988,5,19
368,Telugu People,Hyderabad,Indian,Male,1970,2,28
369,Telugu People,Hyderabad,Indian,Male,1969,9,26
370,African Americans,San Jose,American,Male,1979,10,1
371,White Americans,Chicago,American,Male,1983,8,1
372,Bengalis,Delhi,Indian,Male,1969,11,2
373,Indo Aryan,Mumbai,Indian,Male,1969,11,7
374,White Americans,Chicago,American,Male,1971,2,11
375,Indo Aryan,Mumbai,Indian,Female,1969,2,6
376,Indo Aryan,Mumbai,Indian,Male,1978,6,1
377,White Americans,San Jose,American,Female,1975,1,19
378,Latino Americans,Dallas,American,Male,1983,3,25
379,Latino Americans,Dallas,American,Male,1983,12,14
380,White Americans,Chicago,American,Male,1965,8,28
381,White Americans,Chicago,American,Male,1986,7,19
382,Latino Americans,Houston,American,Male,1987,3,11
383,Native Hawaiian Americans,San Jose,American,Female,1982,8,23
384,Latino Americans,Houston,American,Female,1979,6,3
385,Telugu People,Hyderabad,Indian,Male,1972,12,10
386,Latino Americans,Dallas,American,Female,1978,4,2
387,White Americans,Chicago,American,Female,1987,5,1
388,Latino Americans,Dallas,American,Male,1972,8,26
389,White Americans,Chicago,American,Female,1966,12,15
390,White Americans,Chicago,American,Female,1989,7,15
391,Telugu People,Hyderabad,Indian,Male,1971,12,2
392,Mongols,Shanghai,Chinese,Male,1990,8,25
393,Uyghus,Beijing,Chinese,Male,1980,3,19
394,Latino Americans,Houston,American,Female,1972,1,27
395,Native Hawaiian Americans,San Jose,American,Male,1981,7,24
396,White Americans,Chicago,American,Male,1965,3,23
397,Latino Americans,New York,American,Male,1978,1,15
398,Latino Americans,New York,American,Male,1968,5,16
399,Latino Americans,New York,American,Male,1975,1,7
400,White Americans,Chicago,American,Male,1976,9,17
401,Native Hawaiian Americans,San Jose,American,Female,1967,3,2
402,White Americans,Chicago,American,Female,1975,5,8
403,Latino Americans,Houston,American,Male,1970,11,15
404,White Americans,Chicago,American,Female,1965,11,28
405,African Americans,San Jose,American,Female,1968,8,9
406,Uyghus,Beijing,Chinese,Male,1975,9,24
407,Telugu People,Mumbai,Indian,Male,1976,12,26
408,White Americans,Chicago,American,Male,1967,9,4
409,Telugu People,Mumbai,Indian,Female,1973,10,20
410,White Americans,Chicago,American,Female,1971,11,10
411,Latino Americans,Houston,American,Male,1983,4,18
412,Latino Americans,Houston,American,Male,1988,7,7
413,Latino Americans,Dallas,American,Male,1970,6,20
414,White Americans,Chicago,American,Female,1971,5,5
415,Latino Americans,Houston,American,Male,1966,7,6
416,Telugu People,Hyderabad,Indian,Male,1970,3,19
417,Punjabis,Delhi,Indian,Female,1974,5,20
418,White Americans,Chicago,American,Male,1978,7,23
419,Latino Americans,Houston,American,Female,1971,4,2
420,Latino Americans,Houston,American,Female,1978,2,11
421,White Americans,San Jose,American,Female,1973,11,26
422,Latino Americans,New York,American,Male,1965,5,16
423,Mongols,Beijing,Chinese,Male,1971,12,8
424,White Americans,San Jose,American,Male,1984,5,6
425,African Americans,San Jose,American,Female,1972,8,28
426,White Americans,Chicago,American,Male,1983,7,12
427,White Americans,Chicago,American,Male,1978,8,25
428,Indo Aryan,Delhi,Indian,Male,1988,2,18
429,Native Hawaiian Americans,San Jose,American,Male,1978,3,14
430,African Americans,San Jose,American,Male,1970,12,15
431,Native Hawaiian Americans,San Jose,American,Male,1970,12,14
432,Dravidians,Delhi,Indian,Male,1980,6,12
433,Latino Americans,Dallas,American,Female,1975,12,7
434,Uyghus,Beijing,Chinese,Male,1971,2,17
435,Native Hawaiian Americans,San Jose,American,Female,1965,2,10
436,Latino Americans,New York,American,Male,1989,3,13
437,Punjabis,Delhi,Indian,Male,1979,6,14
438,Punjabis,Delhi,Indian,Female,1989,1,11
439,White Americans,San Jose,American,Male,1973,4,26
440,Latino Americans,New York,American,Male,1990,8,19
441,African Americans,San Jose,American,Male,1983,10,23
442,Mongols,Beijing,Chinese,Female,1982,4,13
443,Native Hawaiian Americans,San Jose,American,Male,1983,3,23
444,Native Hawaiian Americans,San Jose,American,Male,1984,10,3
445,Latino Americans,Houston,American,Male,1982,10,4
446,Han Chinese,Hangzhou,Chinese,Male,1979,2,1
447,White Americans,Chicago,American,Female,1978,7,11
448,African Americans,Victoria,Canada,Male,1965,12,9
449,African Americans,Victoria,Canada,Female,1982,5,12
450,Native Hawaiian Americans,San Jose,American,Female,1977,4,1
451,Han Chinese,Shanghai,Chinese,Female,1970,1,24
452,White Americans,Chicago,American,Male,1970,5,24
453,White Americans,San Jose,American,Female,1967,12,28
454,White Americans,San Jose,American,Male,1987,6,9
455,African Americans,San Jose,American,Male,1984,10,7
456,Native Hawaiian Americans,San Jose,American,Male,1981,2,8
457,Latino Americans,New York,American,Male,1965,9,9
458,Latino Americans,Dallas,American,Male,1985,10,1
459,White Americans,San Jose,American,Female,1987,3,24
460,White Americans,Chicago,American,Female,1980,2,19
461,Latino Americans,Dallas,American,Male,1982,7,19
462,African Americans,San Jose,American,Male,1989,7,20
463,Latino Americans,Houston,American,Female,1978,4,23
464,Latino Americans,Houston,American,Male,1976,11,12
465,African Americans,Victoria,Canada,Female,1985,11,6
466,Latino Americans,Houston,American,Male,1968,4,21
467,Native Hawaiian Americans,San Jose,American,Female,1972,1,22
468,Latino Americans,Dallas,American,Female,1983,10,23
469,Indo Aryan,Mumbai,Indian,Female,1989,9,27
470,Native Hawaiian Americans,San Jose,American,Male,1978,11,3
471,Latino Americans,Houston,American,Male,1984,9,27
472,African Americans,Victoria,Canada,Female,1983,4,23
473,White Americans,Chicago,American,Male,1976,6,19
474,Indo Aryan,Mumbai,Indian,Male,1982,2,16
475,White Americans,San Jose,American,Female,1979,1,23
476,Indo Aryan,Mumbai,Indian,Male,1985,3,16
477,Punjabis,Delhi,Indian,Male,1976,2,24
478,Punjabis,Delhi,Indian,Male,1987,11,11
479,Telugu People,Hyderabad,Indian,Female,1970,4,17
480,Indo Aryan,Delhi,Indian,Male,1965,10,20
481,African Americans,San Jose,American,Female,1966,1,13
482,Mongols,Beijing,Chinese,Male,1986,11,28
483,Punjabis,Delhi,Indian,Female,1972,4,13
484,Punjabis,Delhi,Indian,Female,1977,9,17
485,African Americans,San Jose,American,Male,1976,12,6
486,Latino Americans,New York,American,Female,1979,11,5
487,Indo Aryan,Mumbai,Indian,Male,1980,5,20
488,Indo Aryan,Mumbai,Indian,Male,1975,8,14
489,Bengalis,Delhi,Indian,Male,1965,1,11
490,White Americans,Chicago,American,Female,1982,4,3
491,Latino Americans,Dallas,American,Female,1976,5,13
492,Native Hawaiian Americans,San Jose,American,Female,1972,11,8
493,Native Hawaiian Americans,San Jose,American,Male,1976,6,28
494,Indo Aryan,Mumbai,Indian,Male,1982,2,3
495,White Americans,San Jose,American,Male,1990,8,28
496,Telugu People,Hyderabad,Indian,Male,1982,7,26
497,Latino Americans,Houston,American,Male,1969,7,6
498,African Americans,Victoria,Canada,Male,1969,2,16
499,Latino Americans,New York,American,Male,1977,5,25
500,Indo Aryan,Mumbai,Indian,Female,1971,1,4
501,Latino Americans,Houston,American,Male,1990,6,4
502,African Americans,San Jose,American,Male,1979,12,25
503,White Americans,San Jose,American,Female,1971,4,13
504,White Americans,Chicago,American,Male,1982,1,1
505,Bengalis,Delhi,Indian,Female,1965,2,1
506,White Americans,San Jose,American,Male,1973,2,19
507,Latino Americans,Houston,American,Female,1987,8,11
508,Native Hawaiian Americans,San Jose,American,Male,1979,10,5
509,White Americans,Chicago,American,Female,1983,3,8
510,Indo Aryan,Delhi,Indian,Male,1989,7,2
511,Latino Americans,Dallas,American,Female,1985,6,26
512,Latino Americans,Houston,American,Female,1978,4,2
513,Han Chinese,Hangzhou,Chinese,Male,1976,5,8
514,White Americans,Chicago,American,Male,1969,12,26
515,Latino Americans,New York,American,Male,1988,2,7
516,Latino Americans,Houston,American,Male,1984,1,11
517,Han Chinese,Hangzhou,Chinese,Male,1967,12,25
518,Telugu People,Hyderabad,Indian,Female,1976,5,5
519,Latino Americans,New York,American,Male,1965,8,3
520,White Americans,Chicago,American,Male,1976,2,5
521,African Americans,Victoria,Canada,Male,1969,1,2
522,African Americans,San Jose,American,Female,1986,2,15
523,White Americans,Chicago,American,Female,1986,1,15
524,White Americans,Chicago,American,Female,1974,9,6
525,African Americans,San Jose,American,Male,1978,8,25
526,Latino Americans,Houston,American,Female,1983,4,17
527,White Americans,Chicago,American,Male,1990,6,13
528,Latino Americans,New York,American,Transgender,1980,12,19
529,Telugu People,Hyderabad,Indian,Male,1981,2,27
